"","kvadratkod","survey","prec_breeding"
"AD90","AD90","AD90_2",185.407433067943
"AD91","AD91","AD91_2",186.399242973572
"AD92","AD92","AD92_2",193.67158152911
"AD93","AD93","AD93_2",187.837344738011
"AD94","AD94","AD94_2",181.20670454674
"AD95","AD95","AD95_2",181.275518317803
"AD96","AD96","AD96_2",181.355488635026
"AE81","AE81","AE81_2",178.365820539408
"AE82","AE82","AE82_2",179.884598000667
"AE83","AE83","AE83_2",180.872993721996
"AE90","AE90","AE90_2",177.136487969129
"AE91","AE91","AE91_2",177.51442097675
"AE92","AE92","AE92_2",178.155814794919
"AE93","AE93","AE93_2",180.221620290514
"AE94","AE94","AE94_2",181.893468390789
"AE95","AE95","AE95_2",182.568911536788
"AE96","AE96","AE96_2",184.336673310228
"AE97","AE97","AE97_2",188.964990970146
"AE98","AE98","AE98_2",185.873758644086
"AE99","AE99","AE99_2",185.243023145157
"AF81","AF81","AF81_2",166.02583267251
"AF82","AF82","AF82_2",166.97237184371
"AF90","AF90","AF90_2",166.882608259663
"AF91","AF91","AF91_2",169.501805642381
"AF92","AF92","AF92_2",169.935751249945
"AF93","AF93","AF93_2",172.187237059591
"AF94","AF94","AF94_2",173.683070319026
"AF95","AF95","AF95_2",176.993874534653
"AF96","AF96","AF96_2",178.734060228841
"AF97","AF97","AF97_2",176.049444711739
"AF98","AF98","AF98_2",175.777286121482
"AF99","AF99","AF99_2",176.760074637562
"BC10","BC10","BC10_2",192.821131288531
"BC11","BC11","BC11_2",191.544321417153
"BC20","BC20","BC20_2",187.779929871212
"BC21","BC21","BC21_2",191.62469663089
"BC22","BC22","BC22_2",193.448593877502
"BC23","BC23","BC23_2",191.272898025603
"BC30","BC30","BC30_2",194.878553813723
"BC31","BC31","BC31_2",191.28234064578
"BC32","BC32","BC32_2",193.80402530253
"BC33","BC33","BC33_2",196.799178781011
"BC34","BC34","BC34_2",193.370870941699
"BC40","BC40","BC40_2",202.334928156294
"BC41","BC41","BC41_2",198.725876309943
"BC42","BC42","BC42_2",196.725718539804
"BC43","BC43","BC43_2",200.360482388609
"BC44","BC44","BC44_2",196.549517057145
"BC45","BC45","BC45_2",198.0157478036
"BC50","BC50","BC50_2",199.173279975145
"BC51","BC51","BC51_2",197.873979976799
"BC52","BC52","BC52_2",203.135701422042
"BC53","BC53","BC53_2",201.697070029078
"BC54","BC54","BC54_2",201.563775307649
"BC55","BC55","BC55_2",204.591993912183
"BC56","BC56","BC56_2",203.446850444474
"BC60","BC60","BC60_2",213.060700525106
"BC61","BC61","BC61_2",195.526395225291
"BC62","BC62","BC62_2",201.689875808973
"BC63","BC63","BC63_2",198.870789868448
"BC64","BC64","BC64_2",193.984580929333
"BC65","BC65","BC65_2",199.348066864144
"BC70","BC70","BC70_2",204.021393013677
"BC71","BC71","BC71_2",204.653840013326
"BC72","BC72","BC72_2",204.036099769835
"BC73","BC73","BC73_2",202.988462867632
"BC74","BC74","BC74_2",204.329943016943
"BC75","BC75","BC75_2",201.255737369844
"BC80","BC80","BC80_2",202.910956348089
"BC81","BC81","BC81_2",212.042838230277
"BC82","BC82","BC82_2",206.374551119267
"BC83","BC83","BC83_2",203.436072125581
"BC84","BC84","BC84_2",208.560077521289
"BC85","BC85","BC85_2",207.820110096319
"BC86","BC86","BC86_2",204.87454587493
"BC91","BC91","BC91_2",205.679559657241
"BC92","BC92","BC92_2",205.52937171727
"BC93","BC93","BC93_2",207.933649407776
"BC94","BC94","BC94_2",205.693291507797
"BC95","BC95","BC95_2",206.338621590025
"BC96","BC96","BC96_2",207.43239548633
"BD00","BD00","BD00_2",191.311573019773
"BD01","BD01","BD01_2",193.033205033231
"BD02","BD02","BD02_2",197.868493147701
"BD03","BD03","BD03_2",190.033283259174
"BD04","BD04","BD04_2",185.180470888056
"BD05","BD05","BD05_2",182.84873796458
"BD06","BD06","BD06_2",182.880344488855
"BD07","BD07","BD07_2",183.376932516914
"BD08","BD08","BD08_2",182.978957012895
"BD09","BD09","BD09_2",186.655522665977
"BD10","BD10","BD10_2",198.193901053545
"BD11","BD11","BD11_2",200.171505495789
"BD12","BD12","BD12_2",199.335152493818
"BD13","BD13","BD13_2",195.867155060677
"BD14","BD14","BD14_2",186.450260496625
"BD16","BD16","BD16_2",198.667063732776
"BD17","BD17","BD17_2",206.997643156277
"BD18","BD18","BD18_2",191.149830640904
"BD19","BD19","BD19_2",187.227030451069
"BD20","BD20","BD20_2",207.268992707002
"BD21","BD21","BD21_2",209.131789287252
"BD22","BD22","BD22_2",202.956510887135
"BD23","BD23","BD23_2",206.677578763334
"BD24","BD24","BD24_2",190.354946637251
"BD26","BD26","BD26_2",197.413912116636
"BD27","BD27","BD27_2",206.581754426421
