"","kvadratkod","survey","tmean_breeding"
"AD90","AD90","AD90_2",8.27057761573176
"AD91","AD91","AD91_2",8.24618243732409
"AD92","AD92","AD92_2",8.13159891900955
"AD93","AD93","AD93_2",8.14952929366916
"AD94","AD94","AD94_2",8.21414643181472
"AD95","AD95","AD95_2",8.20240399265561
"AD96","AD96","AD96_2",8.20269235185863
"AE81","AE81","AE81_2",8.32403126086022
"AE82","AE82","AE82_2",8.31148625034915
"AE83","AE83","AE83_2",8.30294427923372
"AE90","AE90","AE90_2",8.3703618110356
"AE91","AE91","AE91_2",8.35551832206544
"AE92","AE92","AE92_2",8.34760565724824
"AE93","AE93","AE93_2",8.32640468502698
"AE94","AE94","AE94_2",8.31108501012103
"AE95","AE95","AE95_2",8.31206539202769
"AE96","AE96","AE96_2",8.29843021294799
"AE97","AE97","AE97_2",8.26199370010178
"AE98","AE98","AE98_2",8.27414302202428
"AE99","AE99","AE99_2",8.27819706112176
"AF81","AF81","AF81_2",8.42286363474013
"AF82","AF82","AF82_2",8.41633497430029
"AF90","AF90","AF90_2",8.46510478089352
"AF91","AF91","AF91_2",8.42002232860194
"AF92","AF92","AF92_2",8.40573188803634
"AF93","AF93","AF93_2",8.39856090041729
"AF94","AF94","AF94_2",8.39042869383071
"AF95","AF95","AF95_2",8.38153959828437
"AF96","AF96","AF96_2",8.36554252463389
"AF97","AF97","AF97_2",8.38598019085501
"AF98","AF98","AF98_2",8.37862175216446
"AF99","AF99","AF99_2",8.37590205383932
"BC10","BC10","BC10_2",8.07993573054307
"BC11","BC11","BC11_2",8.10327711221049
"BC20","BC20","BC20_2",8.10367985150147
"BC21","BC21","BC21_2",8.07961493398679
"BC22","BC22","BC22_2",8.08069472649754
"BC23","BC23","BC23_2",8.11964999389878
"BC30","BC30","BC30_2",8.10196593367529
"BC31","BC31","BC31_2",8.09730987951613
"BC32","BC32","BC32_2",8.0566237707365
"BC33","BC33","BC33_2",8.04408228464529
"BC34","BC34","BC34_2",8.12027641606809
"BC40","BC40","BC40_2",8.07845754595146
"BC41","BC41","BC41_2",8.07681474701111
"BC42","BC42","BC42_2",8.05688758891294
"BC43","BC43","BC43_2",7.99122246880096
"BC44","BC44","BC44_2",8.08109759645854
"BC45","BC45","BC45_2",8.1119921277874
"BC50","BC50","BC50_2",8.14204576413778
"BC51","BC51","BC51_2",8.11861907470297
"BC52","BC52","BC52_2",8.0548501103804
"BC53","BC53","BC53_2",7.99653210839187
"BC54","BC54","BC54_2",8.03255619699981
"BC55","BC55","BC55_2",8.03815647757517
"BC56","BC56","BC56_2",8.04956598762762
"BC60","BC60","BC60_2",8.0733276993085
"BC61","BC61","BC61_2",8.2270080092341
"BC62","BC62","BC62_2",8.14432387755691
"BC63","BC63","BC63_2",8.08726070440086
"BC64","BC64","BC64_2",8.13306059771885
"BC65","BC65","BC65_2",8.09221887856696
"BC70","BC70","BC70_2",8.1667258164493
"BC71","BC71","BC71_2",8.19026737125244
"BC72","BC72","BC72_2",8.18944269274196
"BC73","BC73","BC73_2",8.15214136555775
"BC74","BC74","BC74_2",8.15833722644241
"BC75","BC75","BC75_2",8.16120362300228
"BC80","BC80","BC80_2",8.26979937929031
"BC81","BC81","BC81_2",8.17798434084546
"BC82","BC82","BC82_2",8.21576590445629
"BC83","BC83","BC83_2",8.21927380736978
"BC84","BC84","BC84_2",8.16082637927947
"BC85","BC85","BC85_2",8.14182113558345
"BC86","BC86","BC86_2",8.18085559765205
"BC91","BC91","BC91_2",8.27307530723644
"BC92","BC92","BC92_2",8.26389777964849
"BC93","BC93","BC93_2",8.23313829260816
"BC94","BC94","BC94_2",8.20114428413964
"BC95","BC95","BC95_2",8.1662648376472
"BC96","BC96","BC96_2",8.16427962713564
"BD00","BD00","BD00_2",8.26978172322137
"BD01","BD01","BD01_2",8.21803205808246
"BD02","BD02","BD02_2",8.07308799102196
"BD03","BD03","BD03_2",8.07952401959352
"BD04","BD04","BD04_2",8.1768536463786
"BD05","BD05","BD05_2",8.21752212858261
"BD06","BD06","BD06_2",8.20240779874759
"BD07","BD07","BD07_2",8.20048265984473
"BD08","BD08","BD08_2",8.18043112762411
"BD09","BD09","BD09_2",8.15999991983129
"BD10","BD10","BD10_2",8.2505170919124
"BD11","BD11","BD11_2",8.17629225460863
"BD12","BD12","BD12_2",8.07218794072031
"BD13","BD13","BD13_2",8.04953023902991
"BD14","BD14","BD14_2",8.18544859272676
"BD16","BD16","BD16_2",8.16738440891751
"BD17","BD17","BD17_2",8.0001953946691
"BD18","BD18","BD18_2",8.11217087985656
"BD19","BD19","BD19_2",8.1390077779468
"BD20","BD20","BD20_2",8.19886513132119
"BD21","BD21","BD21_2",8.13248734485283
"BD22","BD22","BD22_2",8.07813684548187
"BD23","BD23","BD23_2",7.95498423051537
"BD24","BD24","BD24_2",8.14791034500678
"BD26","BD26","BD26_2",8.17945420796712
"BD27","BD27","BD27_2",7.92651300107056
"BD28","BD28","BD28_2",7.99664489374965
"BD29","BD29","BD29_2",8.10325201417792
"BD30","BD30","BD30_2",8.14464506499238
"BD31","BD31","BD31_2",8.07944975483462
"BD32","BD32","BD32_2",8.08486591863416
"BD33","BD33","BD33_2",8.14649946549293
"BD34","BD34","BD34_2",8.23653429446312
"BD35","BD35","BD35_2",8.21355332655547
"BD36","BD36","BD36_2",8.18855475909381
"BD37","BD37","BD37_2",8.13908655109583
"BD38","BD38","BD38_2",8.13277276427364
"BD39","BD39","BD39_2",8.11492623607328
"BD40","BD40","BD40_2",8.08202093485212
"BD41","BD41","BD41_2",8.11707460276733
"BD42","BD42","BD42_2",8.19404876845104
"BD43","BD43","BD43_2",8.24225391374102
"BD44","BD44","BD44_2",8.25470045939539
"BD45","BD45","BD45_2",8.16512025232672
"BD46","BD46","BD46_2",8.23569126079573
"BD47","BD47","BD47_2",8.2231907121476
"BD48","BD48","BD48_2",8.22710049548174
"BD49","BD49","BD49_2",8.17612285563734
"BD50","BD50","BD50_2",8.09808611163982
"BD51","BD51","BD51_2",8.20845732874056
"BD52","BD52","BD52_2",8.2982964313198
"BD53","BD53","BD53_2",8.2964190574795
"BD54","BD54","BD54_2",8.2949987579363
"BD55","BD55","BD55_2",8.2775897649298
"BD56","BD56","BD56_2",8.25936372008686
"BD57","BD57","BD57_2",8.18558589330953
"BD58","BD58","BD58_2",8.13111759781045
"BD59","BD59","BD59_2",8.22356970154151
"BD60","BD60","BD60_2",8.14499774814509
"BD61","BD61","BD61_2",8.21781738655482
"BD62","BD62","BD62_2",8.3156227695439
"BD63","BD63","BD63_2",8.2981316936954
"BD64","BD64","BD64_2",8.2058426184379
"BD65","BD65","BD65_2",8.28247077051445
"BD66","BD66","BD66_2",8.24547036104467
"BD67","BD67","BD67_2",8.15252066844609
"BD68","BD68","BD68_2",8.05144515118118
"BD69","BD69","BD69_2",8.18726067203795
"BD70","BD70","BD70_2",8.06011720175403
"BD71","BD71","BD71_2",8.11564201892843
"BD72","BD72","BD72_2",8.27561258897507
"BD73","BD73","BD73_2",8.28177335366747
"BD74","BD74","BD74_2",8.1848603431319
"BD75","BD75","BD75_2",8.22574128522869
"BD76","BD76","BD76_2",8.28247577860457
"BD77","BD77","BD77_2",8.20612812078598
