"","kvadratkod","survey","tmean_winter"
"AD90","AD90","AD90_2",0.891612010326492
"AD91","AD91","AD91_2",0.910350596563126
"AD92","AD92","AD92_2",0.860224434201195
"AD93","AD93","AD93_2",0.918815114133055
"AD94","AD94","AD94_2",1.01689653582011
"AD95","AD95","AD95_2",1.05126191117106
"AD96","AD96","AD96_2",1.08203785101418
"AE81","AE81","AE81_2",0.972243906918936
"AE82","AE82","AE82_2",0.948496598888211
"AE83","AE83","AE83_2",0.922781638067444
"AE90","AE90","AE90_2",0.927400405219748
"AE91","AE91","AE91_2",0.916599803141091
"AE92","AE92","AE92_2",0.880457975739795
"AE93","AE93","AE93_2",0.837487846204134
"AE94","AE94","AE94_2",0.828605307621495
"AE95","AE95","AE95_2",0.825910427255088
"AE96","AE96","AE96_2",0.816827161857
"AE97","AE97","AE97_2",0.79378048191246
"AE98","AE98","AE98_2",0.827967069742729
"AE99","AE99","AE99_2",0.871013488753502
"AF81","AF81","AF81_2",1.36388551639769
"AF82","AF82","AF82_2",1.32115365757102
"AF90","AF90","AF90_2",1.28352093501119
"AF91","AF91","AF91_2",1.24274380073957
"AF92","AF92","AF92_2",1.20002602787513
"AF93","AF93","AF93_2",1.14804235491739
"AF94","AF94","AF94_2",1.09777407545796
"AF95","AF95","AF95_2",1.06447658574591
"AF96","AF96","AF96_2",1.01734540563157
"AF97","AF97","AF97_2",1.01001242792606
"AF98","AF98","AF98_2",0.95535904127199
"AF99","AF99","AF99_2",0.945161825439712
"BC10","BC10","BC10_2",1.01265787164494
"BC11","BC11","BC11_2",1.05924044277679
"BC20","BC20","BC20_2",0.943960294148959
"BC21","BC21","BC21_2",0.965363256903076
"BC22","BC22","BC22_2",1.00042069090812
"BC23","BC23","BC23_2",1.06026195186358
"BC30","BC30","BC30_2",0.840932788361784
"BC31","BC31","BC31_2",0.884271069289551
"BC32","BC32","BC32_2",0.903685198909327
"BC33","BC33","BC33_2",0.94343132023479
"BC34","BC34","BC34_2",1.02231447478266
"BC40","BC40","BC40_2",0.725743389744139
"BC41","BC41","BC41_2",0.784652365617476
"BC42","BC42","BC42_2",0.823002335936843
"BC43","BC43","BC43_2",0.828547591718598
"BC44","BC44","BC44_2",0.953368077823554
"BC45","BC45","BC45_2",0.997812377565533
"BC50","BC50","BC50_2",0.696875534268635
"BC51","BC51","BC51_2",0.740405018390322
"BC52","BC52","BC52_2",0.745732461101467
"BC53","BC53","BC53_2",0.756824447712374
"BC54","BC54","BC54_2",0.822439993878636
"BC55","BC55","BC55_2",0.883817928386866
"BC56","BC56","BC56_2",0.918993116184863
"BC60","BC60","BC60_2",0.54902735483982
"BC61","BC61","BC61_2",0.754719227927506
"BC62","BC62","BC62_2",0.762495119667695
"BC63","BC63","BC63_2",0.754908807704417
"BC64","BC64","BC64_2",0.842899593547419
"BC65","BC65","BC65_2",0.85227868879111
"BC70","BC70","BC70_2",0.550804216572754
"BC71","BC71","BC71_2",0.645533524930405
"BC72","BC72","BC72_2",0.71904688060719
"BC73","BC73","BC73_2",0.735052677907058
"BC74","BC74","BC74_2",0.795288265657924
"BC75","BC75","BC75_2",0.832299433705259
"BC80","BC80","BC80_2",0.555395414537915
"BC81","BC81","BC81_2",0.539437667457091
"BC82","BC82","BC82_2",0.643911881938438
"BC83","BC83","BC83_2",0.712817149181999
"BC84","BC84","BC84_2",0.707451364105871
"BC85","BC85","BC85_2",0.735291127193156
"BC86","BC86","BC86_2",0.766647411305861
"BC91","BC91","BC91_2",0.547030767671135
"BC92","BC92","BC92_2",0.596933394540544
"BC93","BC93","BC93_2",0.623986117263724
"BC94","BC94","BC94_2",0.647002159088502
"BC95","BC95","BC95_2",0.65577684125914
"BC96","BC96","BC96_2",0.686739032386168
"BD00","BD00","BD00_2",0.753213908276315
"BD01","BD01","BD01_2",0.75491372682674
"BD02","BD02","BD02_2",0.670765357277934
"BD03","BD03","BD03_2",0.732127399911836
"BD04","BD04","BD04_2",0.883569329805267
"BD05","BD05","BD05_2",0.999528116032819
"BD06","BD06","BD06_2",1.03982012243177
"BD07","BD07","BD07_2",1.03904562302403
"BD08","BD08","BD08_2",1.0909993404035
