"","kvadratkod","survey","tmean_year"
"AD90","AD90","AD90_2",8.30205529354869
"AD91","AD91","AD91_2",8.2847466311702
"AD92","AD92","AD92_2",8.18860668512161
"AD93","AD93","AD93_2",8.21672657490771
"AD94","AD94","AD94_2",8.28423241085171
"AD95","AD95","AD95_2",8.28573729774953
"AD96","AD96","AD96_2",8.28824586305283
"AE81","AE81","AE81_2",8.39255350067687
"AE82","AE82","AE82_2",8.37339900513552
"AE83","AE83","AE83_2",8.35968770712407
"AE90","AE90","AE90_2",8.41034206725984
"AE91","AE91","AE91_2",8.39367421209477
"AE92","AE92","AE92_2",8.3760603023943
"AE93","AE93","AE93_2",8.35485751092288
"AE94","AE94","AE94_2",8.33839468966986
"AE95","AE95","AE95_2",8.3327765649828
"AE96","AE96","AE96_2",8.31319735571797
"AE97","AE97","AE97_2",8.27411262030221
"AE98","AE98","AE98_2",8.29232661331424
"AE99","AE99","AE99_2",8.30529267308618
"AF81","AF81","AF81_2",8.59939724743097
"AF82","AF82","AF82_2",8.57940530340756
"AF90","AF90","AF90_2",8.60526753167463
"AF91","AF91","AF91_2",8.56289577981564
"AF92","AF92","AF92_2",8.54018538909285
"AF93","AF93","AF93_2",8.51644633769473
"AF94","AF94","AF94_2",8.49367157759578
"AF95","AF95","AF95_2",8.46994670302239
"AF96","AF96","AF96_2",8.44474283820529
"AF97","AF97","AF97_2",8.45743415082681
"AF98","AF98","AF98_2",8.44113778581971
"AF99","AF99","AF99_2",8.42453781203385
"BC10","BC10","BC10_2",8.16971546691341
"BC11","BC11","BC11_2",8.19546245812637
"BC20","BC20","BC20_2",8.16140609197928
"BC21","BC21","BC21_2",8.15268988552784
"BC22","BC22","BC22_2",8.16275312703561
"BC23","BC23","BC23_2",8.1936950398531
"BC30","BC30","BC30_2",8.12834060857651
"BC31","BC31","BC31_2",8.13730022181561
"BC32","BC32","BC32_2",8.10921982144404
"BC33","BC33","BC33_2",8.1088793777429
"BC34","BC34","BC34_2",8.17442439847478
"BC40","BC40","BC40_2",8.07594736090203
"BC41","BC41","BC41_2",8.09018092795433
"BC42","BC42","BC42_2",8.07967647973457
"BC43","BC43","BC43_2",8.02944603725644
"BC44","BC44","BC44_2",8.12880867268785
"BC45","BC45","BC45_2",8.16414136856282
"BC50","BC50","BC50_2",8.10857618023217
"BC51","BC51","BC51_2",8.10014170453451
"BC52","BC52","BC52_2",8.05081885534983
"BC53","BC53","BC53_2",8.01358933688194
"BC54","BC54","BC54_2",8.05762311838678
"BC55","BC55","BC55_2",8.08087756588886
"BC56","BC56","BC56_2",8.09896286330738
"BC60","BC60","BC60_2",8.01498427551116
"BC61","BC61","BC61_2",8.1779937236845
"BC62","BC62","BC62_2",8.11792649069903
"BC63","BC63","BC63_2",8.07894993299644
"BC64","BC64","BC64_2",8.136253998209
"BC65","BC65","BC65_2",8.10866302056508
"BC70","BC70","BC70_2",8.08299507471841
"BC71","BC71","BC71_2",8.11928673443994
"BC72","BC72","BC72_2",8.13675852209224
"BC73","BC73","BC73_2",8.1165308712308
"BC74","BC74","BC74_2",8.13870408549983
"BC75","BC75","BC75_2",8.15004867794577
"BC80","BC80","BC80_2",8.1575159506478
"BC81","BC81","BC81_2",8.083588175506
"BC82","BC82","BC82_2",8.13733665762946
"BC83","BC83","BC83_2",8.15959625699199
"BC84","BC84","BC84_2",8.1157656173287
"BC85","BC85","BC85_2",8.10650924924673
"BC86","BC86","BC86_2",8.14236406444066
"BC91","BC91","BC91_2",8.15050230370696
"BC92","BC92","BC92_2",8.1525819769011
"BC93","BC93","BC93_2",8.14332097800226
"BC94","BC94","BC94_2",8.13296480524204
"BC95","BC95","BC95_2",8.10489192788265
"BC96","BC96","BC96_2",8.10543321203498
"BD00","BD00","BD00_2",8.255791534811
"BD01","BD01","BD01_2",8.2176452833059
"BD02","BD02","BD02_2",8.09047036742102
"BD03","BD03","BD03_2",8.10926008547925
"BD04","BD04","BD04_2",8.21645742228424
"BD05","BD05","BD05_2",8.27351764456428
"BD06","BD06","BD06_2",8.27297919984235
"BD07","BD07","BD07_2",8.2731781732922
"BD08","BD08","BD08_2",8.27122095089147
"BD09","BD09","BD09_2",8.24839383819273
