"","kvadratkod","survey","hh","unique","LULC_0","LULC_11","LULC_22","LULC_33","LULC_44","LULC_55","LULC_66","LULC_77"
"AD90","AD90","AD90_2",0.612256088315386,5,0.536778303885711,0,0.0385471577576163,0.293243759132357,0,0.107076112133483,0,0.0243546670908331
"AD91","AD91","AD91_2",0.499116695188066,5,0.244640381161782,0,0.660747068793923,0.0175873189854381,0,0.0587592307418494,0.0182660003170078,0
"AD92","AD92","AD92_2",0.381072293488059,3,0.234590484598112,0,0.750688917628297,0.014720597773591,0,0,0,0
"AD93","AD93","AD93_2",0.699644930859921,6,0.278690697757466,0.024354667090847,0.44081480345876,0.114620950170081,0,0.024354667090847,0,0.117164214431999
"AD94","AD94","AD94_2",0.599156095244182,5,0.44468232871536,0,0.443358067713552,0.0342864812941608,0,0,0.0730640012687884,0.00460912100813852
"AD95","AD95","AD95_2",0.509164194562646,5,0.674637801262838,0.0463856708146477,0.0362481191793552,0.0702592071485652,0,0.0089575220596234,0,0.16351167953497
"AD96","AD96","AD96_2",0.0163283093908955,2,0.991768080811018,0,0,0.00617393939173625,0,0.00205797979724542,0,0
"AE81","AE81","AE81_2",0.0911504996161365,3,0.95260556118476,0,0,0.0352952530432685,0,0,0,0.0120991857719719
"AE82","AE82","AE82_2",0.355892197194599,2,0.768428577842785,0,0,0.231571422157215,0,0,0,0
"AE83","AE83","AE83_2",0.37958014656535,3,0.766411021571138,0,0,0.170423278251731,0,0,0,0.0631657001771302
"AE90","AE90","AE90_2",0.495336796858299,4,0.666455108232159,0.0487093341805405,0,0.23612622340676,0,0,0,0.0487093341805405
"AE91","AE91","AE91_2",0.334344296480302,4,0.807882877651956,0.0487093341801753,0,0.0844605281740283,0,0,0,0.0589472599938402
"AE92","AE92","AE92_2",0.237256780764457,3,0.862828183756253,0,0,0.135154260082938,0,0,0,0.00201755616080884
"AE93","AE93","AE93_2",0.624798053717169,5,0.527568902543729,0.0243546670910123,0.164776611581978,0.262064036795291,0,0,0,0.0212357819879909
"AE94","AE94","AE94_2",0.744527393012646,6,0.0695085987243568,0.0730640012684725,0.205298579631298,0.411783821181405,0,0.0764872206606774,0,0.163857778533791
"AE95","AE95","AE95_2",0.765856152319347,5,0.153950069243348,0,0.34102843263906,0.223035151240833,0,0.0939954489589602,0,0.187990897917799
"AE96","AE96","AE96_2",0.679994030745086,6,0.31865411933542,0.0232868478271317,0.250353125232242,0.362286176096065,0,0.0210650644193966,0,0.0243546670897447
"AE97","AE97","AE97_2",0.725960217334394,6,0.234590484599774,0.0334407731488741,0.0700654096342207,0.26924073139805,0.369665658197535,0.0229969430215465,0,0
"AE98","AE98","AE98_2",0.72947419822608,6,0.378720762909835,0.0580747243501769,0.00608866677274296,0.30053114999915,0.163813354339277,0.0243546670909719,0,0.0684166745378464
"AE99","AE99","AE99_2",0.258104319171487,3,0.855593202455727,0,0,0.0652541295032995,0,0.00608866677238256,0,0.0730640012685907
"AF81","AF81","AF81_2",0.552353800798451,4,0.620574202480835,0,0,0.184267015101048,0,0.134350259794947,0,0.0608085226231695
"AF82","AF82","AF82_2",0.38277833801588,4,0.768508775964087,0,0,0.119934264902442,0.0483967430845215,0.0631602160489489,0,0
"AF90","AF90","AF90_2",0.100895230182079,3,0.947453881511191,0,0,0.0210116457851128,0.0315344727036963,0,0,0
"AF91","AF91","AF91_2",0.647738175765834,5,0.048515392319355,0,0,0.395784514096603,0.296720386224949,0.246724225376813,0,0.0122554819822801
"AF92","AF92","AF92_2",0.550303318544868,3,0,0,0,0.307074459888321,0.32260743132039,0.370318108791288,0,0
"AF93","AF93","AF93_2",0.597196774230094,4,0.0971913647341833,0,0,0.399378273924791,0.1868124951736,0.316617866167427,0,0
"AF94","AF94","AF94_2",0.63703873664557,4,0.432475312495405,0,0,0.105026819195038,0.396592393725484,0.0659054745840728,0,0
"AF95","AF95","AF95_2",0.616584586574859,5,0.546710118086632,0,0,0.237375598570483,0.066116483672219,0.113987572785464,0,0.0358102268852017
"AF96","AF96","AF96_2",0.627371655504463,4,0.546710118086649,0,0,0.0807903952071454,0.202778689883147,0.0106936870088257,0,0.159027109814233
"AF97","AF97","AF97_2",0.493856346418013,5,0.675447974675482,0,0,0.210297309210038,0.046746192954219,0.0124991483922911,0,0.0550093747679707
"AF98","AF98","AF98_2",0.464712421207272,3,0.691863212697824,0,0,0.221665486279843,0,0,0,0.0864713010223335
"AF99","AF99","AF99_2",0.474758153387068,2,0.612342882758393,0,0,0.387657117241607,0,0,0,0
"BC10","BC10","BC10_2",0.57552377522666,5,0.159246105920701,0,0,0.362932396227856,0.0831824833570298,0.29722034384032,0,0.0974186706540939
"BC11","BC11","BC11_2",0.559071342032187,5,0.596537759574353,0,0,0.247033103568186,0.0175399637249739,0.090179837808634,0,0.048709335323853
"BC20","BC20","BC20_2",0.700895049034196,6,0,0.00543142722909764,0.229882244893078,0.0543837498299692,0.458060977245698,0.098059774316203,0,0.154181826485954
"BC21","BC21","BC21_2",0.598731483252062,6,0.000498452931751062,0,0.0208677155839658,0.359420861188622,0.497267324941518,0.105644799583717,0,0.0163008457704262
"BC22","BC22","BC22_2",0.65494156281689,4,0.358421419739082,0,0,0.434128461053566,0.119982366352632,0.0874677528547205,0,0
"BC23","BC23","BC23_2",0.236244794436815,3,0.866329110387072,0,0,0.113177243941658,0.0204936456712698,0,0,0
"BC30","BC30","BC30_2",0.360609343739854,4,0,0.121879289794346,0.782618569685295,0.074264585004155,0,0.0212375555162041,0,0
"BC31","BC31","BC31_2",0.622122700728,5,0,0.0391467763495599,0.555289025579133,0.139888621164063,0.189048789762997,0.0766267871442469,0,0
"BC32","BC32","BC32_2",0.600086808308629,4,0,0,0.270395058261025,0.0954427137624548,0.55560078541242,0.0785614425641003,0,0
"BC33","BC33","BC33_2",0.645552519095426,4,0.107349511135624,0,0,0.287966213315761,0.486297994506663,0.118386281041952,0,0
"BC34","BC34","BC34_2",0.38573220263527,4,0.765031237684855,0,0,0.146718586471516,0.0848631167070811,0.0033870591365486,0,0
"BC40","BC40","BC40_2",0.155340491034104,2,0,0.0848738089653363,0.915126191034664,0,0,0,0,0
"BC41","BC41","BC41_2",0.480088526852456,3,0,0.396489386544993,0.602249940371115,0,0.00126067308389158,0,0,0
"BC42","BC42","BC42_2",0.267028710252546,5,0,0.045961484495204,0.851740223268102,0.0284181593828723,0.0159748835973703,0.0579052492564513,0,0
"BC43","BC43","BC43_2",0.692218977243895,5,0,0,0.104755493364949,0.0514605518786043,0.474181984070826,0.207248241095219,0,0.162353729590401
"BC44","BC44","BC44_2",0.686314201454123,6,0.137827108579885,0,0.00255678731890827,0.321117411727628,0.353452531251443,0.152562552102097,0,0.0324836090200385
"BC45","BC45","BC45_2",0.435506945748095,2,0.679573180419439,0,0,0.16021340979028,0,0.16021340979028,0,0
"BC50","BC50","BC50_2",0.662769755139725,5,0.312119645273173,0.0974186720438042,0.471301388764753,0,0,0.0361644753147433,0,0.082995818603526
"BC51","BC51","BC51_2",0.591041005643376,6,0.311820810003199,0.0775932457830977,0.550533379461737,0,0.00141141415267977,0.0504907275334045,0,0.00815042306588229
"BC52","BC52","BC52_2",0.506507671682574,5,0.0250477079830237,0.240429564880964,0.656890096931589,0.00137392512026035,0.0530246489823587,0.0232340561018046,0,0
"BC53","BC53","BC53_2",0.539475916349903,5,0,0.101869109892906,0.63480564635709,0.00137392512027463,0.211154911982616,0.050796406647113,0,0
"BC54","BC54","BC54_2",0.741563034749861,6,0,0.0338646879557476,0.117686179756376,0.0887424952534098,0.410739861056967,0.202838767921024,0,0.146128008056477
"BC55","BC55","BC55_2",0.701099203415154,5,0,0.00855788797426621,0.146874488261057,0.364807032698962,0.242623762594036,0.237136828471679,0,0
"BC56","BC56","BC56_2",0.389049992993147,6,0.773444960339155,0.0730640040281888,0.0115310775412614,0.0515603479147063,0,0.0317584610639444,0,0.0586411491127447
"BC60","BC60","BC60_2",0.0926734719016129,2,0,0.0487093352957614,0.951290664704239,0,0,0,0,0
"BC61","BC61","BC61_2",0.324834595845448,4,0.813375649124581,0,0.0522262740536823,0,0,0.0369794062365865,0,0.0974186705851503
"BC62","BC62","BC62_2",0.631948624410224,4,0.419785258138022,0.418096200742103,0.125139134882386,0,0,0.0369794062374888,0,0
"BC63","BC63","BC63_2",0.213983101362365,2,0,0.121835420327581,0.878164579672419,0,0,0,0,0
"BC64","BC64","BC64_2",0.395078550320055,5,0,0.0229735896390526,0.766772907309491,0.0732389600548754,0.064506115092945,0.0725084279036359,0,0
"BC65","BC65","BC65_2",0.718854298906731,6,0.114530050513057,0.0157967798011419,0.415769875916495,0.264930917114315,0.0579541868555912,0.131018189799399,0,0
"BC70","BC70","BC70_2",0.402505146583712,5,0.0122005517243808,0,0.754748428991227,0.073064003025229,0,0.149147458361504,0,0.0108395578976593
"BC71","BC71","BC71_2",0.644476744541905,5,0.521968010654431,0.121773338367422,0.245749057391838,0,0,0.084793932089588,0,0.0257156614967221
"BC72","BC72","BC72_2",0.630266988903249,7,0.554653957726629,0.109148599765803,0.20752311068882,0.0662791442520898,0.00195592314904601,0.0117299290693924,0,0.0487093353482197
"BC73","BC73","BC73_2",0.358649612560495,5,0.00813370114941463,0,0.784066320722333,0.0554941940851705,0.00617777799650277,0.146128006046579,0,0
"BC74","BC74","BC74_2",0.421537019287504,4,0,0,0.742611816865699,0.0372799618309688,0.131580179516852,0.0885280417864798,0,0
"BC75","BC75","BC75_2",0.701846475319555,5,0.0930131958722848,0,0.00249768107224989,0.394205414412101,0.334137424264019,0.0931289857741487,0,0.0830172986051965
"BC80","BC80","BC80_2",0.371778391733908,4,0.77668136411993,0,0,0.0649135802988445,0,0.0150627851545681,0,0.143342270426657
"BC81","BC81","BC81_2",0.539233344286542,7,0.164345166872868,0.174045457358607,0.634956317650031,0.00815042298440071,0.00178139149686473,0.00178139149677921,0,0.0149398521404484
"BC82","BC82","BC82_2",0.575195811624852,7,0.625739895395013,0.0451465525280213,0.0225732762639852,0.146128006602209,0.0323305590880345,0.0712826117981118,0,0.056799098324625
"BC83","BC83","BC83_2",0.749517658969687,7,0.383397494618269,0.0487093355347059,0.06210593946736,0.13091751404923,0.0308183515111081,0.0753518421747512,0,0.268699522644576
"BC84","BC84","BC84_2",0.529073911703444,6,0,0.0243546677664559,0.0834084470476761,0.161927164641938,0.657917696715608,0.0216426408159887,0,0.0507493830123332
"BC85","BC85","BC85_2",0.459679241383357,3,0,0,0.00349966628562344,0.205620737078148,0.698887013976381,0.091992582659848,0,0
"BC86","BC86","BC86_2",0.367382685794621,5,0.779734112617133,0,0,0.141674571901944,0.0234022296810044,0.0308344180334366,0,0.0243546677664822
"BC91","BC91","BC91_2",0,1,1,0,0,0,0,0,0,0
"BC92","BC92","BC92_2",0.119888192722357,2,0.935954015509459,0,0,0,0,0,0,0.0640459844905409
"BC93","BC93","BC93_2",0.478462296366189,5,0.70093272695341,0.0703543557785823,0.00258900064765139,0.145766066221075,0,0.0207120051811717,0,0.0596458452181103
"BC94","BC94","BC94_2",0.713954872478019,7,0.00537210035733971,0.0266401274048868,0.109331153020779,0.461242419652275,0.166714001521737,0.0974186707400539,0,0.133281527302928
"BC95","BC95","BC95_2",0.659827143178191,5,0,0.0478609602733503,0.103391877009307,0.262326796797072,0.499353283648727,0.0870670822715438,0,0
"BC96","BC96","BC96_2",0.592753162874344,5,0.228983019203049,0,0.00598262003376615,0.0634295391464829,0.582710890421162,0.0214752604555006,0,0.0974186707400392
"BD00","BD00","BD00_2",0.645020778497182,5,0,0.0143047711355446,0.490203136502897,0.203346741154723,0,0.219081346713932,0,0.073064004492903
"BD01","BD01","BD01_2",0.124327061766378,4,0,0.0100498970061024,0.934814690563865,0.0121773340814088,0.0227875583882972,0.0201705199603266,0,0
"BD02","BD02","BD02_2",0.434553369941755,4,0,0.178090825842576,0.724453613786567,0.0121773340814216,3.68877194836126e-05,0.0852413385699512,0,0
"BD03","BD03","BD03_2",0.0926734737660433,2,0,0.0487093363285939,0.951290663671406,0,0,0,0,0
"BD04","BD04","BD04_2",0.37028808818968,4,0.12494311179121,0.048709336326083,0.78070210999532,0.0243546681630415,0,0.0212907737243458,0,0
"BD05","BD05","BD05_2",0.481454801745268,6,0.692736330771626,0.00232366346977032,0.00790449569909546,0.0758983193139804,0,0.174557024090874,0,0.0465801666546544
"BD06","BD06","BD06_2",0.541639068351051,5,0.629202615861828,0.0738956590703231,0,0.000651180382381206,0,0.0671267165764673,0,0.229123828109
"BD07","BD07","BD07_2",0.377690200926319,5,0.771707826474879,0.0235230135783356,0,0.150802811164538,0,0.0304433352039934,0,0.0235230135782544
"BD08","BD08","BD08_2",0.442528412673608,4,0.720891447329606,0,0,0.162758171224201,0,0.0121773340820412,0,0.104173047364152
"BD09","BD09","BD09_2",0.370932786924829,5,0.773447065011321,0,0,0.041147853013462,0.00760814870303041,0.00799070421651759,0,0.169806229055669
"BD10","BD10","BD10_2",0.518376460217489,5,0,0.048709335326563,0.65593537677457,0.107081048589673,0.0974186706531259,0.090855568656068,0,0
"BD11","BD11","BD11_2",0.620985361873616,5,0,0.0487093353236198,0.245757846867567,0.0150748451987501,0.53367211443894,0.156785858171123,0,0
"BD12","BD12","BD12_2",0.557102739782818,3,0,0.0654558544393135,0.498307627680523,0,0.436236517880163,0,0,0
"BD13","BD13","BD13_2",0.650263989143008,5,0.112555096055323,0.316610679623003,0.482633795929533,0.044100214196084,0,0.0441002141960563,0,0
"BD14","BD14","BD14_2",0.464864935689273,5,0.693505833984306,0,0.0780839148246475,0.00460912111633293,0,0.00460912111638969,0,0.219192008958324
"BD16","BD16","BD16_2",0.0356197841155215,2,0.981861087806682,0.0181389121933177,0,0,0,0,0,0
"BD17","BD17","BD17_2",0.478328751110222,5,0.671243154844585,0.0277044842592141,0.263542720440262,0.0131549727937323,0,0,0,0.024354667662206
"BD18","BD18","BD18_2",0.713885300189954,6,0.181030752280256,0.0379458662984409,0.463289727563453,0.106557041221844,0,0.110795185704405,0,0.100381426931601
"BD19","BD19","BD19_2",0.79211163824864,6,0,0.0243546676620339,0.167058654041179,0.297416333300815,0.191746528010218,0.182336493836221,0,0.137087323149533
"BD20","BD20","BD20_2",0.563255634554836,4,0,0.0243546674708611,0.605717043409007,0,0.205177931004473,0.164750358115659,0,0
"BD21","BD21","BD21_2",0.319031839868239,4,0,0,0.0773281481015219,0.0365320012041202,0.817330722315913,0.0688091283784446,0,0
"BD22","BD22","BD22_2",0.53011815592234,4,0,0,0.477877684012503,0.0070135030112578,0.490754145506837,0.0243546674694014,0,0
"BD23","BD23","BD23_2",0.0945400147905879,2,0,0,0.950255474819248,0,0,0,0,0.0497445251807525
"BD24","BD24","BD24_2",0.0575771332175639,3,0.970465677172694,0,0.0243352881829334,0,0,0,0,0.00519903464437227
"BD26","BD26","BD26_2",0.719488971064998,6,0.27417192513884,0.0322337320053182,0.198995612546924,0.0974186698777999,0.00322355450138304,0.393956505929734,0,0
"BD27","BD27","BD27_2",0.280308477804339,5,0,0.0791037284559225,0.842682125242677,0.02337702851485,0.00612778284695296,0.0487093349395974,0,0
"BD28","BD28","BD28_2",0.222197829083084,3,0,0.0758917319972467,0.877499761011237,0.00155855622486019,0,0.0450499507666564,0,0
"BD29","BD29","BD29_2",0.387522252618474,4,0,0.17128546995562,0.761174260529136,0,0.0508319565698147,0.0167083129454295,0,0
"BD30","BD30","BD30_2",0.244102156220697,4,0,0.0199817115601609,0.865383477197102,0,0.0528765497155199,0.061758261527217,0,0
"BD31","BD31","BD31_2",0.495589795438939,3,0,0,0.365681246668798,0,0.608284169479602,0.0260345838516002,0,0
"BD32","BD32","BD32_2",0.335297523383828,4,0,0,0.797934789659345,0.103889890138172,0.000693381007473009,0.09748193919501,0,0
"BD33","BD33","BD33_2",0.651952416494911,6,0.331985528416801,0.0243546680384672,0.471253225922155,0.0608866700961679,0,0.0243546680384672,0,0.0871652394879431
"BD34","BD34","BD34_2",0.0942748639814555,2,0.950402673181757,0,0,0,0,0,0,0.0495973268182433
"BD35","BD35","BD35_2",0.584092960613199,4,0.478103415497445,0,0.427618835760579,0,0,0.0438111254833878,0,0.050466623258588
"BD36","BD36","BD36_2",0.643874493678318,6,0.505598513067122,0.0243546680370046,0.287510491525146,0.00062374093320232,0.0723354132674092,0.109577173170116,0,0
"BD37","BD37","BD37_2",0.779349301331367,7,0.140589197321928,0.0455922235524419,0.383596404746278,0.0846175971952213,0.11315059345524,0.159932253033634,0,0.0725217306952567
"BD38","BD38","BD38_2",0.661766260056077,4,0.319842806161138,0,0.447518674085546,0.0106187777579863,0,0.184073875112377,0,0.0379458668829526
"BD39","BD39","BD39_2",0.338584389429213,5,0.00927942064662885,0.0180144933417306,0.795737698833427,0.0109767531000715,0,0.165991634078142,0,0
"BD40","BD40","BD40_2",0.36765448781023,4,0,0.087545524063279,0.78111857983756,0,0.120030153839655,0.0113057422595065,0,0
"BD41","BD41","BD41_2",0.476985626400195,3,0,0.14303256813952,0.688637005758031,0,0,0.168330426102449,0,0
"BD42","BD42","BD42_2",0.726680728532243,5,0.071690076904371,0.262753225956763,0.40464234807726,0.0169586133880506,0,0.170891733687316,0,0.0730640019862391
"BD43","BD43","BD43_2",0.64635636856481,5,0.511827230641275,0.0487093346605009,0.274963809535986,0.0730640019907513,0,0,0,0.0914356231714867
"BD44","BD44","BD44_2",0.678251583532659,6,0.514342224661447,0.108064055813768,0.0737748526148,0.043260394376683,0,0.169108746220919,0,0.0914497263123838
"BD45","BD45","BD45_2",0.466713085811046,6,0.0674367701162101,0.135482617452647,0.711793676565496,0.027742719966235,0,0.0487093346607335,0,0.00883488123867871
"BD46","BD46","BD46_2",0.520943297941821,5,0.640699443092349,0.0243546673288098,0.24990069682658,0,0,0.0116918067406765,0,0.0733533860115849
"BD47","BD47","BD47_2",0.660450743695277,6,0.51606728220139,0.0243546673291354,0.214383149385046,0.0243546673291354,0,0.139507723704013,0,0.0813325100512796
"BD48","BD48","BD48_2",0.523538268644371,4,0.647974864853402,0,0.215757312012923,0,0,0.0875584884735187,0,0.0487093346601559
"BD49","BD49","BD49_2",0.561449211710307,4,0.447850655128457,0.0368995276500053,0.485526002044409,0,0,0.0297238151771288,0,0
"BD50","BD50","BD50_2",0.0683191678958939,2,0,0.0354137151700957,0.964586284829904,0,0,0,0,0
"BD51","BD51","BD51_2",0.561312356226436,4,0.260148634111562,0.118531481064794,0.596965216814343,0,0,0.0243546680093012,0,0
"BD52","BD52","BD52_2",0.265005041279813,4,0.846205916030242,0.0240045276161648,0.00192754930500198,0,0,0.127862007048592,0,0
