"","kvadratkod","survey","prec_year"
"AD90","AD90","AD90_3",612.543202036734
"AD91","AD91","AD91_3",615.822174036378
"AD92","AD92","AD92_3",643.227129401266
"AD93","AD93","AD93_3",626.26851024512
"AD94","AD94","AD94_3",604.061202572272
"AD95","AD95","AD95_3",603.442003479473
"AD96","AD96","AD96_3",605.20003749356
"AE81","AE81","AE81_3",609.506011996326
"AE82","AE82","AE82_3",614.317789338924
"AE83","AE83","AE83_3",614.565786483936
"AE90","AE90","AE90_3",597.683232520686
"AE91","AE91","AE91_3",597.855744549379
"AE92","AE92","AE92_3",597.417961070293
"AE93","AE93","AE93_3",602.680446558069
"AE94","AE94","AE94_3",606.772498263523
"AE95","AE95","AE95_3",606.962178753688
"AE96","AE96","AE96_3",611.537862555508
"AE97","AE97","AE97_3",625.703465538677
"AE98","AE98","AE98_3",614.483796925308
"AE99","AE99","AE99_3",612.728579056785
"AF81","AF81","AF81_3",591.877643675776
"AF82","AF82","AF82_3",592.694067544192
"AF90","AF90","AF90_3",586.064006491885
"AF91","AF91","AF91_3",595.7073882489
"AF92","AF92","AF92_3",594.718701629849
"AF93","AF93","AF93_3",599.735466349086
"AF94","AF94","AF94_3",600.490412839805
"AF95","AF95","AF95_3",608.206911076512
"AF96","AF96","AF96_3",611.545370289283
"AF97","AF97","AF97_3",599.254026141497
"AF98","AF98","AF98_3",596.36099920088
"AF99","AF99","AF99_3",597.582050714879
"BC10","BC10","BC10_3",635.873959319728
"BC11","BC11","BC11_3",634.630732181992
"BC20","BC20","BC20_3",604.75155655986
"BC21","BC21","BC21_3",622.145363490181
"BC22","BC22","BC22_3",633.448253732532
"BC23","BC23","BC23_3",628.27727455747
"BC30","BC30","BC30_3",612.998511649583
"BC31","BC31","BC31_3",606.793477717112
"BC32","BC32","BC32_3",619.290866101849
"BC33","BC33","BC33_3",635.669189904707
"BC34","BC34","BC34_3",627.103091446707
"BC40","BC40","BC40_3",620.368925351782
"BC41","BC41","BC41_3",614.634033383652
"BC42","BC42","BC42_3",613.080629494135
"BC43","BC43","BC43_3",629.257944958417
"BC44","BC44","BC44_3",622.348140038425
"BC45","BC45","BC45_3",630.066212936482
"BC50","BC50","BC50_3",596.602675842712
"BC51","BC51","BC51_3",595.134182112061
"BC52","BC52","BC52_3",614.557641445781
"BC53","BC53","BC53_3",614.84042905348
"BC54","BC54","BC54_3",619.662230014541
"BC55","BC55","BC55_3",635.982707906531
"BC56","BC56","BC56_3",637.661953861338
"BC60","BC60","BC60_3",625.651372191234
"BC61","BC61","BC61_3",576.025181502474
"BC62","BC62","BC62_3",597.457229377518
"BC63","BC63","BC63_3",592.433069189805
"BC64","BC64","BC64_3",580.101600722637
"BC65","BC65","BC65_3",602.265901080043
"BC70","BC70","BC70_3",585.567474294228
"BC71","BC71","BC71_3",588.75747470696
"BC72","BC72","BC72_3",592.447616181891
"BC73","BC73","BC73_3",590.468571653637
"BC74","BC74","BC74_3",599.177239851094
"BC75","BC75","BC75_3",594.842192845942
"BC80","BC80","BC80_3",573.948495092213
"BC81","BC81","BC81_3",600.532899447951
"BC82","BC82","BC82_3",586.787945715658
"BC83","BC83","BC83_3",581.872548695904
"BC84","BC84","BC84_3",599.959873574109
"BC85","BC85","BC85_3",602.58527496347
"BC86","BC86","BC86_3",596.227071678022
"BC91","BC91","BC91_3",574.189704722283
"BC92","BC92","BC92_3",575.444468659041
"BC93","BC93","BC93_3",585.920075783408
"BC94","BC94","BC94_3",582.99731903506
"BC95","BC95","BC95_3",588.749496367994
"BC96","BC96","BC96_3",596.905741686354
"BD00","BD00","BD00_3",617.312619390676
"BD01","BD01","BD01_3",624.223187984269
"BD02","BD02","BD02_3",641.634814642061
"BD03","BD03","BD03_3",615.552316472281
"BD04","BD04","BD04_3",603.01575174908
"BD05","BD05","BD05_3",600.753696505479
"BD06","BD06","BD06_3",603.839145661293
"BD07","BD07","BD07_3",602.42124289611
"BD08","BD08","BD08_3",605.207097385806
"BD09","BD09","BD09_3",621.294230927662
"BD10","BD10","BD10_3",625.856205720992
"BD11","BD11","BD11_3",633.026320728674
"BD12","BD12","BD12_3",631.338361952639
"BD13","BD13","BD13_3",620.453975025248
"BD14","BD14","BD14_3",593.602503033135
"BD16","BD16","BD16_3",634.951223255042
"BD17","BD17","BD17_3",667.939316331249
"BD18","BD18","BD18_3",624.347500784695
"BD19","BD19","BD19_3",614.608739399297
"BD20","BD20","BD20_3",642.329016098668
"BD21","BD21","BD21_3",649.427488715082
"BD22","BD22","BD22_3",630.762065095188
"BD23","BD23","BD23_3",641.310107677146
"BD24","BD24","BD24_3",589.129915336502
"BD26","BD26","BD26_3",621.73575667621
"BD27","BD27","BD27_3",652.335369814653
"BD28","BD28","BD28_3",621.869785081029
"BD29","BD29","BD29_3",612.307617375614
"BD30","BD30","BD30_3",663.476726086794
"BD31","BD31","BD31_3",647.956939035754
"BD32","BD32","BD32_3",628.201835410234
"BD33","BD33","BD33_3",589.97196614031
"BD34","BD34","BD34_3",620.811663810815
"BD35","BD35","BD35_3",628.830889164411
"BD36","BD36","BD36_3",614.072783083556
"BD37","BD37","BD37_3",584.01768213507
"BD38","BD38","BD38_3",574.195555689612
"BD39","BD39","BD39_3",600.884625207828
"BD40","BD40","BD40_3",664.741405674722
"BD41","BD41","BD41_3",632.160378359138
"BD42","BD42","BD42_3",607.794647186658
"BD43","BD43","BD43_3",610.207109742445
"BD44","BD44","BD44_3",620.890193919684
"BD45","BD45","BD45_3",630.542312221197
"BD46","BD46","BD46_3",597.835447396111
"BD47","BD47","BD47_3",597.935376829167
"BD48","BD48","BD48_3",589.69759845055
"BD49","BD49","BD49_3",599.724432892929
"BD50","BD50","BD50_3",656.439467242886
"BD51","BD51","BD51_3",610.501888700916
"BD52","BD52","BD52_3",601.541284101428
"BD53","BD53","BD53_3",612.609207393722
"BD54","BD54","BD54_3",609.758474486113
"BD55","BD55","BD55_3",597.247079573969
"BD56","BD56","BD56_3",603.300612841119
"BD57","BD57","BD57_3",622.291841707623
"BD58","BD58","BD58_3",627.703532821791
"BD59","BD59","BD59_3",592.107699987999
"BD60","BD60","BD60_3",632.853235775868
"BD61","BD61","BD61_3",617.381775058985
"BD62","BD62","BD62_3",617.199614599664
"BD63","BD63","BD63_3",619.84432243857
"BD64","BD64","BD64_3",642.162179647581
"BD65","BD65","BD65_3",603.498277705668
"BD66","BD66","BD66_3",609.873963903968
"BD67","BD67","BD67_3",623.495106792181
"BD68","BD68","BD68_3",617.894780115438
"BD69","BD69","BD69_3",600.02710574379
"BD70","BD70","BD70_3",671.152182451607
"BD71","BD71","BD71_3",648.28552178241
"BD72","BD72","BD72_3",622.855116978871
"BD73","BD73","BD73_3",610.728227338925
"BD74","BD74","BD74_3",615.449695001479
"BD75","BD75","BD75_3",606.600438006662
"BD76","BD76","BD76_3",590.318178457473
"BD77","BD77","BD77_3",594.762699675271
"BD78","BD78","BD78_3",584.882759606587
"BD79","BD79","BD79_3",597.55805731055
"BD80","BD80","BD80_3",629.716640017507
"BD81","BD81","BD81_3",592.236573683486
"BD82","BD82","BD82_3",608.500873841151
"BD83","BD83","BD83_3",604.764195186437
"BD84","BD84","BD84_3",627.198610315893
"BD85","BD85","BD85_3",607.039903297104
"BD86","BD86","BD86_3",590.884258200094
"BD87","BD87","BD87_3",601.974590052844
"BD88","BD88","BD88_3",570.618457810461
"BD89","BD89","BD89_3",569.112763459255
"BD90","BD90","BD90_3",586.916299292703
"BD91","BD91","BD91_3",584.987004995167
"BD92","BD92","BD92_3",589.552956024597
"BD93","BD93","BD93_3",596.907792690962
"BD94","BD94","BD94_3",615.794752992127
"BD95","BD95","BD95_3",589.164467722827
"BD96","BD96","BD96_3",597.281716039792
"BD97","BD97","BD97_3",597.411910849483
"BD98","BD98","BD98_3",572.544408731784
"BD99","BD99","BD99_3",587.387362415471
"BE02","BE02","BE02_3",604.434382835414
"BE03","BE03","BE03_3",609.647794650635
"BE04","BE04","BE04_3",605.756579407147
"BE05","BE05","BE05_3",611.472261950783
"BE06","BE06","BE06_3",617.17228471216
"BE07","BE07","BE07_3",613.953553702786
"BE08","BE08","BE08_3",608.810875300296
"BE09","BE09","BE09_3",618.60993120524
"BE10","BE10","BE10_3",613.978369905304
"BE11","BE11","BE11_3",615.308314907583
"BE12","BE12","BE12_3",621.32219967383
"BE13","BE13","BE13_3",626.366566000016
"BE14","BE14","BE14_3",631.625227028177
"BE15","BE15","BE15_3",631.809543946414
"BE16","BE16","BE16_3",638.529270933044
"BE17","BE17","BE17_3",627.362891442999
"BE18","BE18","BE18_3",623.56074832734
"BE19","BE19","BE19_3",632.668797208288
"BE20","BE20","BE20_3",637.989010570578
"BE21","BE21","BE21_3",655.770194033925
"BE22","BE22","BE22_3",671.127869852665
"BE23","BE23","BE23_3",659.45442478072
"BE24","BE24","BE24_3",659.744597958743
"BE25","BE25","BE25_3",664.944879217425
"BE26","BE26","BE26_3",662.611309039988
"BE27","BE27","BE27_3",655.310751721343
"BE28","BE28","BE28_3",640.317007581045
"BE29","BE29","BE29_3",635.164444468995
"BE30","BE30","BE30_3",653.288708789317
"BE31","BE31","BE31_3",669.065128853829
"BE32","BE32","BE32_3",684.128989889119
"BE33","BE33","BE33_3",670.561389706232
"BE34","BE34","BE34_3",657.499911886312
"BE35","BE35","BE35_3",640.806520154883
"BE36","BE36","BE36_3",666.855894463085
"BE37","BE37","BE37_3",654.83593541396
"BE38","BE38","BE38_3",652.62354850157
"BE39","BE39","BE39_3",641.822504092409
"BE40","BE40","BE40_3",668.310555934309
"BE41","BE41","BE41_3",671.639631007979
"BE42","BE42","BE42_3",658.179315621841
"BE43","BE43","BE43_3",665.122388613435
"BE44","BE44","BE44_3",677.245399010932
"BE45","BE45","BE45_3",678.790383197952
"BE46","BE46","BE46_3",668.611329226079
"BE47","BE47","BE47_3",663.336746299566
"BE48","BE48","BE48_3",646.654577734347
"BE49","BE49","BE49_3",647.109876421827
"BE50","BE50","BE50_3",683.540542410121
"BE51","BE51","BE51_3",680.959254470042
"BE52","BE52","BE52_3",657.553198514504
"BE53","BE53","BE53_3",642.935409678338
"BE54","BE54","BE54_3",659.102318231625
"BE55","BE55","BE55_3",694.924516152583
"BE56","BE56","BE56_3",680.013773640603
"BE57","BE57","BE57_3",646.352286542203
"BE58","BE58","BE58_3",645.162798537371
"BE59","BE59","BE59_3",661.724554647637
"BE60","BE60","BE60_3",680.271067230772
"BE61","BE61","BE61_3",667.860833344063
"BE62","BE62","BE62_3",671.559207700317
"BE63","BE63","BE63_3",664.487326461778
"BE64","BE64","BE64_3",662.445058571443
"BE65","BE65","BE65_3",640.859666736778
"BE66","BE66","BE66_3",645.182965532489
"BE67","BE67","BE67_3",663.966226052061
"BE68","BE68","BE68_3",640.317837611854
"BE69","BE69","BE69_3",655.319830723919
"BE70","BE70","BE70_3",692.062194460489
"BE71","BE71","BE71_3",695.577353937371
"BE72","BE72","BE72_3",703.195663695265
"BE73","BE73","BE73_3",691.742952385083
"BE74","BE74","BE74_3",692.363038247659
"BE75","BE75","BE75_3",666.056234898842
"BE76","BE76","BE76_3",649.608827670129
"BE77","BE77","BE77_3",639.183487383615
"BE78","BE78","BE78_3",634.999027408922
"BE79","BE79","BE79_3",644.706104342986
"BE80","BE80","BE80_3",684.678571355776
