"","order","family","genus","species","ssp"
"1","Struthioniformes","Struthionidae","Struthio","Struthio camelus",NA
"2","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Struthio camelus syriacus"
"3","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Struthio camelus camelus"
"4","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Struthio camelus massaicus"
"5","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Struthio camelus australis"
"6","Struthioniformes","Struthionidae","Struthio","Struthio molybdophanes",NA
"7","Rheiformes","Rheidae","Rhea","Rhea americana",NA
"8","Rheiformes","Rheidae","Rhea","Rhea americana","Rhea americana americana"
"9","Rheiformes","Rheidae","Rhea","Rhea americana","Rhea americana intermedia"
"10","Rheiformes","Rheidae","Rhea","Rhea americana","Rhea americana nobilis"
"11","Rheiformes","Rheidae","Rhea","Rhea americana","Rhea americana araneipes"
"12","Rheiformes","Rheidae","Rhea","Rhea americana","Rhea americana albescens"
"13","Rheiformes","Rheidae","Rhea","Rhea pennata",NA
"14","Rheiformes","Rheidae","Rhea","Rhea pennata","Rhea pennata garleppi"
"15","Rheiformes","Rheidae","Rhea","Rhea pennata","Rhea pennata tarapacensis"
"16","Rheiformes","Rheidae","Rhea","Rhea pennata","Rhea pennata pennata"
"17","Apterygiformes","Apterygidae","Apteryx","Apteryx australis",NA
"18","Apterygiformes","Apterygidae","Apteryx","Apteryx australis","Apteryx australis australis"
"19","Apterygiformes","Apterygidae","Apteryx","Apteryx australis","Apteryx australis lawryi"
"20","Apterygiformes","Apterygidae","Apteryx","Apteryx mantelli",NA
"21","Apterygiformes","Apterygidae","Apteryx","Apteryx rowi",NA
"22","Apterygiformes","Apterygidae","Apteryx","Apteryx owenii",NA
"23","Apterygiformes","Apterygidae","Apteryx","Apteryx maxima",NA
"24","Casuariiformes","Casuariidae","Casuarius","Casuarius casuarius",NA
"25","Casuariiformes","Casuariidae","Casuarius","Casuarius bennetti",NA
"26","Casuariiformes","Casuariidae","Casuarius","Casuarius bennetti","Casuarius bennetti westermanni"
"27","Casuariiformes","Casuariidae","Casuarius","Casuarius bennetti","Casuarius bennetti bennetti"
"28","Casuariiformes","Casuariidae","Casuarius","Casuarius unappendiculatus",NA
"29","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae",NA
"30","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae","Dromaius novaehollandiae novaehollandiae"
"31","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae","Dromaius novaehollandiae diemenensis"
"32","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae","Dromaius novaehollandiae minor"
"33","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae","Dromaius novaehollandiae baudinianus"
"34","Tinamiformes","Tinamidae","Tinamus","Tinamus tao",NA
"35","Tinamiformes","Tinamidae","Tinamus","Tinamus tao","Tinamus tao larensis"
"36","Tinamiformes","Tinamidae","Tinamus","Tinamus tao","Tinamus tao septentrionalis"
"37","Tinamiformes","Tinamidae","Tinamus","Tinamus tao","Tinamus tao tao"
"38","Tinamiformes","Tinamidae","Tinamus","Tinamus tao","Tinamus tao kleei"
"39","Tinamiformes","Tinamidae","Tinamus","Tinamus solitarius",NA
"40","Tinamiformes","Tinamidae","Tinamus","Tinamus osgoodi",NA
"41","Tinamiformes","Tinamidae","Tinamus","Tinamus osgoodi","Tinamus osgoodi hershkovitzi"
"42","Tinamiformes","Tinamidae","Tinamus","Tinamus osgoodi","Tinamus osgoodi osgoodi"
"43","Tinamiformes","Tinamidae","Tinamus","Tinamus major",NA
"44","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major robustus"
"45","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major percautus"
"46","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major fuscipennis"
