"artnr_DOF","artnavn_DOF","species_IOC","order_IOC","family_IOC","genus_IOC","ssp_IOC","latin_DOF","english_DOF","english_nospace_DOF","Habitat_AVONET","Habitat.Density_AVONET","Migration_AVONET","Trophic.Level_AVONET","Trophic.Niche_AVONET","Primary.Lifestyle_AVONET","name_latin_gotelli","foraging_guild_gotelli_gotelli","foraging_guild_davison_davison","foraging_guild_rahbek","foraging_guild_consensus","occ_a1_DOF","occ_a2_DOF","occ_a3_DOF","trend_DOF","trend_a1a2_DOF","tend_a2a3_DOF","trend_a1a2a3_DOF","Carsten Comment","not_breeding","introduced","rare","domestic"
70,"Lille Lappedykker","Tachybaptus ruficollis","Podicipediformes","Podicipedidae","Tachybaptus",NA,"Tachybaptus ruficollis","Little Grebe","LittleGrebe","Wetland",3,1,"Carnivore","Aquatic predator","Aquatic","Tachybaptus ruficollis","Aquatic pursuers","Aquatic pursuers",NA,"Aquatic pursuers",15.56581986,30.85450346,37.36720554,"+","+","+","++",NA,NA,NA,NA,NA
90,"Toppet Lappedykker","Podiceps cristatus","Podicipediformes","Podicipedidae","Podiceps",NA,"Podiceps cristatus","Great Crested Grebe","GreatCrestedGrebe","Wetland",3,1,"Carnivore","Aquatic predator","Aquatic","Podiceps cristatus","Aquatic pursuers","Aquatic pursuers",NA,"Aquatic pursuers",20.23094688,26.18937644,22.58660508,"+","+","-","+-",NA,NA,NA,NA,NA
100,"GrÂstrubet Lappedykker","Podiceps grisegena","Podicipediformes","Podicipedidae","Podiceps",NA,"Podiceps grisegena","Red-necked Grebe","RedneckedGrebe","Wetland",3,3,"Carnivore","Aquatic predator","Aquatic","Podiceps griseigena","Aquatic pursuers","Aquatic pursuers",NA,"Aquatic pursuers",12.9330254,24.57274827,30.20785219,"+","+","+","++",NA,NA,NA,NA,NA
110,"Nordisk Lappedykker","Podiceps auritus","Podicipediformes","Podicipedidae","Podiceps",NA,"Podiceps auritus","Horned Grebe","HornedGrebe","Wetland",3,3,"Carnivore","Aquatic predator","Aquatic","Podiceps auritus","Aquatic pursuers",NA,NA,"Aquatic pursuers",0,0.092378753,0.046189376,"+","+","-","+-",NA,NA,NA,NA,NA
120,"Sorthalset Lappedykker","Podiceps nigricollis","Podicipediformes","Podicipedidae","Podiceps",NA,"Podiceps nigricollis","Black-necked Grebe","BlackneckedGrebe","Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",NA,NA,"Aquatic pursuers",NA,"Aquatic pursuers",1.43187067,2.494226328,2.217090069,"+","+","-","+-",NA,NA,NA,NA,NA
720,"Skarv","Phalacrocorax carbo","Suliformes","Phalacrocoracidae","Phalacrocorax",NA,"Phalacrocorax carbo","Great Cormorant","GreatCormorant","Wetland",3,2,"Carnivore","Aquatic predator","Aquatic","Phalacrocorax carbo","Aquatic pursuers","Aquatic pursuers",NA,"Aquatic pursuers",0.184757506,2.401847575,4.896073903,"+","+","+","++",NA,NA,NA,NA,NA
950,"R¯rdrum","Botaurus stellaris","Pelecaniformes","Ardeidae","Botaurus",NA,"Botaurus stellaris","Eurasian Bittern","EurasianBittern","Wetland",1,2,"Carnivore","Aquatic predator","Terrestrial","Botaurus stellaris","Wading birds","Wading birds",NA,"Wading birds",1.570438799,3.187066975,9.468822171,"+","+","+","++",NA,NA,NA,NA,NA
1220,"Fiskehejre","Ardea cinerea","Pelecaniformes","Ardeidae","Ardea",NA,"Ardea cinerea","Grey Heron","GreyHeron","Wetland",3,1,"Carnivore","Aquatic predator","Terrestrial",NA,NA,"Wading birds",NA,"Wading birds",4.988452656,10.80831409,13.34872979,"+","+","+","++",NA,NA,NA,NA,NA
1340,"Hvid Stork","Ciconia ciconia","Ciconiiformes","Ciconiidae","Ciconia",NA,"Ciconia ciconia","White Stork","WhiteStork","Grassland",3,3,"Carnivore","Omnivore","Terrestrial","Ciconia ciconia","Wading birds","Wading birds",NA,"Wading birds",2.909930716,0.369515012,0.138568129,"-","-","-","--",NA,NA,NA,NA,NA
1440,"Skestork","Platalea leucorodia","Pelecaniformes","Threskiornithidae","Platalea",NA,"Platalea leucorodia","Eurasian Spoonbill","EurasianSpoonbill","Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial","Platalea leucorodia","Wading birds","Wading birds",NA,"Wading birds",0,0.092378753,0.64665127,"+","+","+","++",NA,NA,NA,NA,NA
