"","latin_DOF_underscores","Species2_AVONET","Family2_AVONET","Order2_AVONET","genus"
"1","Accipiter_nisus","Accipiter nisus","Accipitridae","Accipitriformes","Accipiter"
"2","Aquila_chrysaetos","Aquila chrysaetos","Accipitridae","Accipitriformes","Aquila"
"3","Astur_gentilis","Astur gentilis","Accipitridae","Accipitriformes","Astur"
"4","Buteo_buteo","Buteo buteo","Accipitridae","Accipitriformes","Buteo"
"5","Circus_aeruginosus","Circus aeruginosus","Accipitridae","Accipitriformes","Circus"
"6","Circus_cyaneus","Circus cyaneus","Accipitridae","Accipitriformes","Circus"
"7","Circus_pygargus","Circus pygargus","Accipitridae","Accipitriformes","Circus"
"8","Haliaeetus_albicilla","Haliaeetus albicilla","Accipitridae","Accipitriformes","Haliaeetus"
"9","Milvus_milvus","Milvus milvus","Accipitridae","Accipitriformes","Milvus"
"10","Pandion_haliaetus","Pandion haliaetus","Pandionidae","Accipitriformes","Pandion"
"11","Pernis_apivorus","Pernis apivorus","Accipitridae","Accipitriformes","Pernis"
"12","Anas_acuta","Anas acuta","Anatidae","Anseriformes","Anas"
"13","Anas_crecca","Anas crecca","Anatidae","Anseriformes","Anas"
"14","Anas_platyrhynchos","Anas platyrhynchos","Anatidae","Anseriformes","Anas"
"15","Anser_anser","Anser anser","Anatidae","Anseriformes","Anser"
"16","Aythya_ferina","Aythya ferina","Anatidae","Anseriformes","Aythya"
"17","Aythya_fuligula","Aythya fuligula","Anatidae","Anseriformes","Aythya"
"18","Branta_leucopsis","Branta leucopsis","Anatidae","Anseriformes","Branta"
"19","Bucephala_clangula","Bucephala clangula","Anatidae","Anseriformes","Bucephala"
"20","Cygnus_cygnus","Cygnus cygnus","Anatidae","Anseriformes","Cygnus"
"21","Cygnus_olor","Cygnus olor","Anatidae","Anseriformes","Cygnus"
"22","Mareca_penelope","Mareca penelope","Anatidae","Anseriformes","Mareca"
"23","Mareca_strepera","Mareca strepera","Anatidae","Anseriformes","Mareca"
"24","Mergus_merganser","Mergus merganser","Anatidae","Anseriformes","Mergus"
"25","Mergus_serrator","Mergus serrator","Anatidae","Anseriformes","Mergus"
"26","Netta_rufina","Netta rufina","Anatidae","Anseriformes","Netta"
"27","Somateria_mollissima","Somateria mollissima","Anatidae","Anseriformes","Somateria"
"28","Spatula_clypeata","Spatula clypeata","Anatidae","Anseriformes","Spatula"
"29","Spatula_querquedula","Spatula querquedula","Anatidae","Anseriformes","Spatula"
"30","Tadorna_tadorna","Tadorna tadorna","Anatidae","Anseriformes","Tadorna"
"31","Apus_apus","Apus apus","Apodidae","Caprimulgiformes","Apus"
"32","Caprimulgus_europaeus","Caprimulgus europaeus","Caprimulgidae","Caprimulgiformes","Caprimulgus"
"33","Actitis_hypoleucos","Actitis hypoleucos","Scolopacidae","Charadriiformes","Actitis"
"34","Alca_torda","Alca torda","Alcidae","Charadriiformes","Alca"
"35","Anarhynchus_alexandrinus","Anarhynchus alexandrinus","Charadriidae","Charadriiformes","Anarhynchus"
"36","Arenaria_interpres","Arenaria interpres","Scolopacidae","Charadriiformes","Arenaria"
"37","Calidris_alpina","Calidris alpina","Scolopacidae","Charadriiformes","Calidris"
"38","Calidris_pugnax","Calidris pugnax","Scolopacidae","Charadriiformes","Calidris"
"39","Cepphus_grylle","Cepphus grylle","Alcidae","Charadriiformes","Cepphus"
"40","Charadrius_dubius","Charadrius dubius","Charadriidae","Charadriiformes","Charadrius"
"41","Charadrius_hiaticula","Charadrius hiaticula","Charadriidae","Charadriiformes","Charadrius"
"42","Chlidonias_niger","Chlidonias niger","Laridae","Charadriiformes","Chlidonias"
"43","Chroicocephalus_ridibundus","Chroicocephalus ridibundus","Laridae","Charadriiformes","Chroicocephalus"
"44","Gallinago_gallinago","Gallinago gallinago","Scolopacidae","Charadriiformes","Gallinago"
"45","Gelochelidon_nilotica","Gelochelidon nilotica","Laridae","Charadriiformes","Gelochelidon"
"46","Haematopus_ostralegus","Haematopus ostralegus","Haematopodidae","Charadriiformes","Haematopus"
"47","Hydrocoloeus_minutus","Hydrocoloeus minutus","Laridae","Charadriiformes","Hydrocoloeus"
"48","Hydroprogne_caspia","Hydroprogne caspia","Laridae","Charadriiformes","Hydroprogne"
"49","Ichthyaetus_melanocephalus","Ichthyaetus melanocephalus","Laridae","Charadriiformes","Ichthyaetus"
"50","Larus_argentatus","Larus argentatus","Laridae","Charadriiformes","Larus"
"51","Larus_canus","Larus canus","Laridae","Charadriiformes","Larus"
"52","Larus_fuscus","Larus fuscus","Laridae","Charadriiformes","Larus"
"53","Larus_marinus","Larus marinus","Laridae","Charadriiformes","Larus"
"54","Limosa_limosa","Limosa limosa","Scolopacidae","Charadriiformes","Limosa"
"55","Numenius_arquata","Numenius arquata","Scolopacidae","Charadriiformes","Numenius"
"56","Pluvialis_apricaria","Pluvialis apricaria","Charadriidae","Charadriiformes","Pluvialis"
"57","Recurvirostra_avosetta","Recurvirostra avosetta","Recurvirostridae","Charadriiformes","Recurvirostra"
"58","Rissa_tridactyla","Rissa tridactyla","Laridae","Charadriiformes","Rissa"
"59","Scolopax_rusticola","Scolopax rusticola","Scolopacidae","Charadriiformes","Scolopax"
"60","Sterna_hirundo","Sterna hirundo","Laridae","Charadriiformes","Sterna"
"61","Sterna_paradisaea","Sterna paradisaea","Laridae","Charadriiformes","Sterna"
"62","Sternula_albifrons","Sternula albifrons","Laridae","Charadriiformes","Sternula"
"63","Thalasseus_sandvicensis","Thalasseus sandvicensis","Laridae","Charadriiformes","Thalasseus"
"64","Tringa_glareola","Tringa glareola","Scolopacidae","Charadriiformes","Tringa"
"65","Tringa_ochropus","Tringa ochropus","Scolopacidae","Charadriiformes","Tringa"
"66","Tringa_totanus","Tringa totanus","Scolopacidae","Charadriiformes","Tringa"
"67","Uria_aalge","Uria aalge","Alcidae","Charadriiformes","Uria"
"68","Vanellus_vanellus","Vanellus vanellus","Charadriidae","Charadriiformes","Vanellus"
"69","Ciconia_ciconia","Ciconia ciconia","Ciconiidae","Ciconiiformes","Ciconia"
"70","Columba_oenas","Columba oenas","Columbidae","Columbiformes","Columba"
"71","Columba_palumbus","Columba palumbus","Columbidae","Columbiformes","Columba"
"72","Streptopelia_decaocto","Streptopelia decaocto","Columbidae","Columbiformes","Streptopelia"
"73","Streptopelia_turtur","Streptopelia turtur","Columbidae","Columbiformes","Streptopelia"
