"site","lat","lon","atlas","survey"
"AD90",56.412277,8.147823,1,"AD90_1"
"AD91",56.457193,8.146817,1,"AD91_1"
"AD92",56.502109,8.145808,1,"AD92_1"
"AD93",56.547025,8.144796,1,"AD93_1"
"AD94",56.591941,8.143781,1,"AD94_1"
"AD95",56.636856,8.142763,1,"AD95_1"
"AD96",56.681771,8.141743,1,"AD96_1"
"AE81",56.007442,8.07657,1,"AE81_1"
"AE82",56.052361,8.075497,1,"AE82_1"
"AE83",56.097279,8.074421,1,"AE83_1"
"AE90",55.963097,8.157723,1,"AE90_1"
"AE91",56.008017,8.156746,1,"AE91_1"
"AE92",56.052936,8.155766,1,"AE92_1"
"AE93",56.097855,8.154784,1,"AE93_1"
"AE94",56.142774,8.153798,1,"AE94_1"
"AE95",56.187692,8.15281,1,"AE95_1"
"AE96",56.232609,8.151818,1,"AE96_1"
"AE97",56.277527,8.150824,1,"AE97_1"
"AE98",56.322444,8.149827,1,"AE98_1"
"AE99",56.367361,8.148826,1,"AE99_1"
"AF81",55.55824,8.087137,1,"AF81_1"
"AF82",55.603162,8.086094,1,"AF82_1"
"AF90",55.513882,8.167346,1,"AF90_1"
"AF91",55.558805,8.166396,1,"AF91_1"
"AF92",55.603728,8.165444,1,"AF92_1"
"AF93",55.64865,8.164488,1,"AF93_1"
"AF94",55.693572,8.16353,1,"AF94_1"
"AF95",55.738493,8.162569,1,"AF95_1"
"AF96",55.783414,8.161605,1,"AF96_1"
"AF97",55.828335,8.160639,1,"AF97_1"
"AF98",55.873256,8.15967,1,"AF98_1"
"AF99",55.918177,8.158698,1,"AF99_1"
"BC10",56.862451,8.301626,1,"BC10_1"
"BC11",56.907366,8.300787,1,"BC11_1"
"BC20",56.862883,8.383626,1,"BC20_1"
"BC21",56.907798,8.382886,1,"BC21_1"
"BC22",56.952713,8.382143,1,"BC22_1"
"BC23",56.997628,8.381399,1,"BC23_1"
"BC30",56.86326,8.465627,1,"BC30_1"
"BC31",56.908176,8.464986,1,"BC31_1"
"BC32",56.953092,8.464342,1,"BC32_1"
"BC33",56.998007,8.463697,1,"BC33_1"
