atlas,variable,direction,n_species,total_abs_sd_scaled_effect,mean_abs_sd_scaled_effect,plot_val
1970s,Land-use heterogeneity,Positive,54,13.403806026922233,0.24821863012818948,13.403806026922233
1970s,Land-use heterogeneity,Negative,3,0.3934635662250179,0.13115452207500594,-0.3934635662250179
1970s,Cropland (% coverage),Positive,59,15.813824310785302,0.26803092052178473,15.813824310785302
1970s,Cropland (% coverage),Negative,31,13.204026823062655,0.42593634913105344,-13.204026823062655
1970s,Forest (% coverage),Positive,88,26.206216328716675,0.2977979128263259,26.206216328716675
1970s,Forest (% coverage),Negative,24,7.726295189017852,0.32192896620907724,-7.726295189017852
1970s,Grass/Shrubland (% coverage),Positive,33,4.879903429779267,0.14787586150846269,4.879903429779267
1970s,Grass/Shrubland (% coverage),Negative,6,1.4026685435353363,0.2337780905892227,-1.4026685435353363
1970s,Pasture (% coverage),Positive,33,4.848399497838317,0.14692119690419142,4.848399497838317
1970s,Pasture (% coverage),Negative,8,1.1460667499570136,0.14325834374462673,-1.1460667499570136
1970s,Urban (% coverage),Positive,59,13.274434185222468,0.22499040991902483,13.274434185222468
1970s,Urban (% coverage),Negative,33,9.519147590259587,0.2884590178866542,-9.519147590259587
1970s,Precipitation,Positive,21,6.335300907071666,0.3016809955748413,6.335300907071666
1970s,Precipitation,Negative,66,16.733199814516755,0.25353333052298116,-16.733199814516755
1970s,Temperature,Positive,66,19.987160751402328,0.3028357689606413,19.987160751402328
1970s,Temperature,Negative,23,4.4672391431398255,0.1942277888321664,-4.4672391431398255
1990s,Land-use heterogeneity,Positive,96,20.796573782919435,0.21663097690541075,20.796573782919435
1990s,Cropland (% coverage),Positive,60,17.673382982787047,0.29455638304645065,17.673382982787047
1990s,Cropland (% coverage),Negative,28,12.628230480783701,0.45100823145656077,-12.628230480783701
1990s,Forest (% coverage),Positive,87,29.95710584904161,0.3443345499889841,29.95710584904161
1990s,Forest (% coverage),Negative,24,9.213993965377709,0.3839164152240712,-9.213993965377709
1990s,Grass/Shrubland (% coverage),Positive,41,7.122068896550486,0.1737089974768411,7.122068896550486
1990s,Grass/Shrubland (% coverage),Negative,12,2.4884401026784255,0.20737000855653542,-2.4884401026784255
1990s,Pasture (% coverage),Positive,52,8.609781297471198,0.16557271725906153,8.609781297471198
1990s,Pasture (% coverage),Negative,21,3.4485959567670355,0.16421885508414452,-3.4485959567670355
1990s,Urban (% coverage),Positive,62,14.226277091542439,0.22945608212165222,14.226277091542439
1990s,Urban (% coverage),Negative,30,8.048902180819331,0.2682967393606444,-8.048902180819331
1990s,Precipitation,Positive,9,1.405448532952083,0.15616094810578698,1.405448532952083
1990s,Precipitation,Negative,71,16.420633523128238,0.23127652849476385,-16.420633523128238
1990s,Temperature,Positive,61,20.228202562677673,0.33160987807668324,20.228202562677673
1990s,Temperature,Negative,28,6.580258914718722,0.23500924695424005,-6.580258914718722
2010s,Land-use heterogeneity,Positive,83,17.748397005985716,0.21383610850585208,17.748397005985716
2010s,Land-use heterogeneity,Negative,1,0.09750464182087527,0.09750464182087527,-0.09750464182087527
2010s,Cropland (% coverage),Positive,63,18.6547295860626,0.29610681882639045,18.6547295860626
2010s,Cropland (% coverage),Negative,36,14.408057043291231,0.4002238067580897,-14.408057043291231
2010s,Forest (% coverage),Positive,83,30.078482299787744,0.36239135300949094,30.078482299787744
2010s,Forest (% coverage),Negative,31,10.154913247578452,0.32757784669607926,-10.154913247578452
2010s,Grass/Shrubland (% coverage),Positive,34,5.599029803892482,0.16467734717330829,5.599029803892482
2010s,Grass/Shrubland (% coverage),Negative,28,5.840780278664803,0.2085992956666001,-5.840780278664803
2010s,Pasture (% coverage),Positive,73,14.597388072802191,0.19996422017537238,14.597388072802191
2010s,Pasture (% coverage),Negative,7,1.1994094602881498,0.1713442086125928,-1.1994094602881498
2010s,Urban (% coverage),Positive,71,18.89832181681173,0.2661735467156582,18.89832181681173
2010s,Urban (% coverage),Negative,30,8.423880634947302,0.28079602116491004,-8.423880634947302
2010s,Precipitation,Positive,19,4.694768716079011,0.24709309031994797,4.694768716079011
2010s,Precipitation,Negative,68,18.830448179792693,0.2769183555851868,-18.830448179792693
2010s,Temperature,Positive,58,17.748347966329785,0.3060059994194791,17.748347966329785
2010s,Temperature,Negative,9,1.6342790720128948,0.1815865635569883,-1.6342790720128948
