thermal_group,trait_value,n_species,thermal_group_n,prop_species,trait_total_n,weighted_thermal_position,trait_family
very cold,Aquatic pursuers,2,32,0.0625,6,3.1666666666666665,Foraging guild
very cold,Dabbling ducks,2,32,0.0625,7,2.4285714285714284,Foraging guild
very cold,Diving ducks,2,32,0.0625,3,2,Foraging guild
very cold,Flycatchers,1,32,0.03125,3,2,Foraging guild
very cold,Foliage gleaners,1,32,0.03125,9,2.5555555555555554,Foraging guild
very cold,Gulls,4,32,0.125,5,1.2,Foraging guild
very cold,Low flycatching feeders,1,32,0.03125,9,2.4444444444444446,Foraging guild
very cold,Open-land insectivores,1,32,0.03125,6,3.1666666666666665,Foraging guild
very cold,Owls,1,32,0.03125,5,3.6,Foraging guild
very cold,Passerine seedeaters,5,32,0.15625,12,3,Foraging guild
very cold,Plovers,2,32,0.0625,6,3,Foraging guild
very cold,Scolopacids,7,32,0.21875,9,1.3333333333333333,Foraging guild
very cold,Terns,1,32,0.03125,5,3.2,Foraging guild
very cold,Thrushes,1,32,0.03125,4,2.5,Foraging guild
very cold,Tit-like birds,1,32,0.03125,12,3.4166666666666665,Foraging guild
cold,Buntings,2,31,0.06451612903225806,3,3,Foraging guild
cold,Dabbling ducks,2,31,0.06451612903225806,7,2.4285714285714284,Foraging guild
cold,Dippers,1,31,0.03225806451612903,1,2,Foraging guild
cold,Diurnal raptors,1,31,0.03225806451612903,7,3.7142857142857144,Foraging guild
cold,Flycatchers,1,31,0.03225806451612903,3,2,Foraging guild
cold,Foliage gleaners,4,31,0.12903225806451613,9,2.5555555555555554,Foraging guild
cold,Grazing waterfowl,1,31,0.03225806451612903,2,2.5,Foraging guild
cold,Gulls,1,31,0.03225806451612903,5,1.2,Foraging guild
cold,Low flycatching feeders,5,31,0.16129032258064516,9,2.4444444444444446,Foraging guild
cold,Marsh warblers,2,31,0.06451612903225806,6,3.6666666666666665,Foraging guild
cold,Omnivorous corvids,1,31,0.03225806451612903,7,3.2857142857142856,Foraging guild
cold,Plovers,1,31,0.03225806451612903,6,3,Foraging guild
cold,Scolopacids,1,31,0.03225806451612903,9,1.3333333333333333,Foraging guild
cold,Shrikes,1,31,0.03225806451612903,2,3,Foraging guild
cold,Starlings,1,31,0.03225806451612903,1,2,Foraging guild
