thermal_group,trait_value,n_species,thermal_group_n,prop_species,trait_total_n,weighted_thermal_position,trait_family
very cold,long-distance,7,32,0.21875,44,2.9545454545454546,Migratory strategy
very cold,sedentary and short-distance,8,32,0.25,31,2.967741935483871,Migratory strategy
very cold,short-and long-distance,2,32,0.0625,8,3.625,Migratory strategy
very cold,short-distance,15,32,0.46875,39,2.4871794871794872,Migratory strategy
cold,long-distance,13,31,0.41935483870967744,44,2.9545454545454546,Migratory strategy
cold,sedentary,7,31,0.22580645161290322,35,3.5142857142857142,Migratory strategy
cold,sedentary and short-distance,4,31,0.12903225806451613,31,2.967741935483871,Migratory strategy
cold,short-distance,7,31,0.22580645161290322,39,2.4871794871794872,Migratory strategy
medium,long-distance,8,31,0.25806451612903225,44,2.9545454545454546,Migratory strategy
medium,sedentary,10,31,0.3225806451612903,35,3.5142857142857142,Migratory strategy
medium,sedentary and short-distance,6,31,0.1935483870967742,31,2.967741935483871,Migratory strategy
medium,short-and long-distance,1,31,0.03225806451612903,8,3.625,Migratory strategy
medium,short-distance,6,31,0.1935483870967742,39,2.4871794871794872,Migratory strategy
warm,long-distance,7,31,0.22580645161290322,44,2.9545454545454546,Migratory strategy
warm,sedentary,11,31,0.3548387096774194,35,3.5142857142857142,Migratory strategy
warm,sedentary and short-distance,7,31,0.22580645161290322,31,2.967741935483871,Migratory strategy
warm,short-and long-distance,1,31,0.03225806451612903,8,3.625,Migratory strategy
warm,short-distance,5,31,0.16129032258064516,39,2.4871794871794872,Migratory strategy
very warm,long-distance,9,32,0.28125,44,2.9545454545454546,Migratory strategy
very warm,sedentary,7,32,0.21875,35,3.5142857142857142,Migratory strategy
very warm,sedentary and short-distance,6,32,0.1875,31,2.967741935483871,Migratory strategy
very warm,short-and long-distance,4,32,0.125,8,3.625,Migratory strategy
very warm,short-distance,6,32,0.1875,39,2.4871794871794872,Migratory strategy
