thermal_group,variable_clean,atlas,atlas_label,n_species,mean_vp,median_vp,signed_vp_mean,supported_species,supported_vp,total_vp,direction_score,positive_species,negative_species,supported_vp_share,effect_direction
very cold,Cropland,1,1970s,32,0.02505046529995739,0.012422420031219157,-0.0299331988414528,22,0.7510609191360359,0.8016148895986365,-0.8768002138488119,6,18,0.9369348410083642,Lower at max
very cold,Cropland,2,1990s,32,0.032873642154631205,0.012536081569568225,-0.05306142175411866,18,1.0052499178524088,1.0519565489481986,-0.9501175524735181,3,17,0.9556002278397435,Lower at max
very cold,Cropland,3,2010s,32,0.033124423387293545,0.023145327403443515,-0.04007166534623661,24,1.021341557334987,1.0599815483933932,-0.94162424059109,5,21,0.9635465436950554,Lower at max
very cold,Forest,1,1970s,32,0.021120920618435398,0.015645453321991767,0.00299770869236808,26,0.6500542521333248,0.6758694597899327,0.1198983404012634,15,13,0.961804447171453,Higher at max
very cold,Forest,2,1990s,32,0.03442273494836265,0.0206759819262246,0.0011127314529839674,27,1.0813804914747143,1.1015275183476048,0.02778277347096894,14,15,0.9817099196004536,Mixed
very cold,Forest,3,2010s,32,0.040005161222066,0.02892651541645914,0.011422743987360548,29,1.2575703707615264,1.2801651591061125,0.26341235714138245,16,15,0.982350098982257,Higher at max
very cold,Grass/Shrubland,1,1970s,32,0.004951903890872992,0.002098051704010335,0.0030774273744226745,12,0.1266559635055751,0.1584609245079358,0.2915703885624506,10,4,0.7992883034027237,Higher at max
very cold,Grass/Shrubland,2,1990s,32,0.0069114844418727475,0.0031373480669627373,-0.0010837213913779168,14,0.19331513744031312,0.22116750213992792,-0.0784837632488831,7,9,0.874066648896757,Mixed
very cold,Grass/Shrubland,3,2010s,32,0.007156072228724456,0.004978054029109334,-0.004538543300829435,19,0.19341460773663935,0.22899431131918263,-0.44584183027776503,7,14,0.8446262556585928,Lower at max
very cold,Land-use heterogeneity,1,1970s,32,0.012723119254020678,0.005315587765053779,0.021884227731151146,16,0.3501476436984184,0.4071398161286617,1,17,1,0.8600181800636443,Higher at max
very cold,Land-use heterogeneity,2,1990s,32,0.011552738254881005,0.006398146034115367,0.018421680420965036,18,0.3315902475773706,0.3696876241561923,1,19,1,0.8969471140242292,Higher at max
very cold,Land-use heterogeneity,3,2010s,32,0.01139787035812361,0.006070530094442869,0.018582090137518555,17,0.3158955323378153,0.3647318514599554,1,18,1,0.8661034978802724,Higher at max
very cold,Pasture,1,1970s,32,0.0044992160613377095,0.0016690364808937689,0.008271696464251571,10,0.11447860860635733,0.14397491396280673,0.7225538958718809,8,4,0.7951288558222773,Higher at max
very cold,Pasture,2,1990s,32,0.005977512264227169,0.0031564997214772158,0.002997679000066885,17,0.16505190103832418,0.1912803924552694,0.30875465644775746,10,9,0.8628793517188192,Higher at max
very cold,Pasture,3,2010s,32,0.010726648907623659,0.005812043218593375,0.016825084848678645,16,0.313885158286346,0.3432527650439571,0.8576428367896123,14,4,0.9144432041098045,Higher at max
very cold,Precipitation,1,1970s,32,0.014893070345391505,0.009673870875220529,-0.010406150257971095,20,0.44640543100003455,0.47657825105252816,-0.4662196978499703,4,18,0.936688634057772,Lower at max
very cold,Precipitation,2,1990s,32,0.0099655522662928,0.003611300484611369,-0.015642477951015827,15,0.2731879713823184,0.3188976725213696,-0.8588854336374484,2,15,0.8566634219132215,Lower at max
very cold,Precipitation,3,2010s,32,0.013591150679796994,0.0068139763358117025,-0.02158229983436967,15,0.33581305911224646,0.4349168217535038,-0.9640318883707732,2,15,0.7721316866023038,Lower at max
very cold,Temperature,1,1970s,32,0.016586233956956468,0.0064647644901063075,0.017576398564768825,20,0.5030405667961689,0.5307594866226071,0.6988064074717358,14,8,0.9477749893782916,Higher at max
very cold,Temperature,2,1990s,32,0.016988035120164734,0.009148788317009346,0.013079186523440298,22,0.5050265981629646,0.5436171238452715,0.569756334740287,17,7,0.9290115708472589,Higher at max
very cold,Temperature,3,2010s,32,0.009520114693540811,0.006550528781945401,0.012972236901487232,12,0.21185312334492307,0.304643670193306,0.7347866312284757,12,2,0.6954128513830455,Higher at max
very cold,Urban,1,1970s,32,0.012204119337609055,0.009151873524885773,-0.014276621967640879,21,0.36076182507504717,0.3905318188034898,-0.8310443081334644,5,18,0.9237706320072668,Lower at max
very cold,Urban,2,1990s,32,0.01166813930128107,0.008501135995904508,-0.011958556767597913,22,0.34949172510378085,0.3733804576409943,-0.752773899894284,6,18,0.9360203994388413,Lower at max
very cold,Urban,3,2010s,32,0.016005827809534644,0.009526950445470863,-0.007361377561304196,24,0.49139622227037894,0.5121864899051086,-0.35953280359996453,11,15,0.9594087933897252,Lower at max
cold,Cropland,1,1970s,31,0.010679993590068009,0.008158091241307789,-0.0019947347237290075,17,0.28283925824333195,0.3310798012921083,-0.11989315243578848,12,7,0.8542933067480785,Lower at max
cold,Cropland,2,1990s,31,0.011163582183239576,0.006734343862098381,0.004853627544605451,18,0.2895250008968585,0.34607104768042696,0.30175389183064516,15,5,0.8366056705333383,Higher at max
cold,Cropland,3,2010s,31,0.013230011982807075,0.00677778556811966,0.011207250280080204,14,0.34575832052845124,0.4101303714670193,0.45378952466369343,12,4,0.8430449061640768,Higher at max
cold,Forest,1,1970s,31,0.015518946649669515,0.005192208252448716,0.020271498215263896,19,0.4583716708519896,0.481087346139755,0.8402754589394846,17,4,0.9527826381840304,Higher at max
cold,Forest,2,1990s,31,0.024634928329819585,0.004717224334612088,0.03896295270153916,17,0.7358824393612149,0.7636827782244072,0.9001032780468825,17,2,0.9635970069564365,Higher at max
cold,Forest,3,2010s,31,0.03179650933207827,0.00935610954498884,0.03995517091181058,22,0.9699906906166623,0.9856917892944265,0.9062084497955419,21,3,0.9840709856282731,Higher at max
cold,Grass/Shrubland,1,1970s,31,0.0022175261821425064,0.0015429798386308376,0.0036076653568706705,8,0.03753582446788062,0.06874331164641771,0.7689007305450818,8,2,0.5460287491086655,Higher at max
