thermal_group,variable_clean,n_species_min,vp_central,mean_vp_central,sd_across_atlas,supported_vp_share,direction_score,positive_species_mean,negative_species_mean,signed_vp_central,effect_direction,n_species,min_sti,median_sti,max_sti
very cold,Cropland,32,0.012536081569568225,0.03034951028062738,0.0061583244288010075,0.9520272041810544,-0.9271699870217452,4.666666666666667,18.666666666666668,-0.01162307858616011,Lower at max,32,6.7214988279,9.9136463862,10.9083374064
very cold,Forest,32,0.0206759819262246,0.031849605596288015,0.006705273189420704,0.9752881552513879,0.14695316135591072,15,14.333333333333334,0.003038400908196377,Higher at max,32,6.7214988279,9.9136463862,10.9083374064
very cold,Grass/Shrubland,32,0.0031373480669627373,0.006339820187156732,0.0014584665898186675,0.8393270693193579,-0.12558840772454938,8,9,-3.940145482075431e-4,Lower at max,32,6.7214988279,9.9136463862,10.9083374064
very cold,Land-use heterogeneity,32,0.006070530094442869,0.011891242622341765,5.551580151249043e-4,0.8743562639893819,1,18,1,0.006070530094442869,Higher at max,32,6.7214988279,9.9136463862,10.9083374064
very cold,Pasture,32,0.0031564997214772158,0.007067792411062846,0.0020987680110717043,0.8574838038836337,0.6789151129547485,10.666666666666666,5.666666666666667,0.0021429953649483363,Higher at max,32,6.7214988279,9.9136463862,10.9083374064
very cold,Precipitation,32,0.0068139763358117025,0.012816591097160433,0.0030328998534266704,0.8551612475244325,-0.726255428505472,2.6666666666666665,16,-0.0049486873035910735,Lower at max,32,6.7214988279,9.9136463862,10.9083374064
very cold,Temperature,32,0.006550528781945401,0.014364794590220671,0.0015254667061093466,0.8573998038695321,0.6516302132609318,14.333333333333334,5.666666666666667,0.004268522467150954,Higher at max,32,6.7214988279,9.9136463862,10.9083374064
very cold,Urban,32,0.009151873524885773,0.013292695482808257,5.190435615821596e-4,0.9397332749452778,-0.6154624988373428,7.333333333333333,17,-0.005632634948669519,Lower at max,32,6.7214988279,9.9136463862,10.9083374064
cold,Cropland,31,0.00677778556811966,0.011691195918704886,8.097517657758899e-4,0.8446479611484978,0.22911571295474203,13,5.333333333333333,0.0015528971726940972,Higher at max,31,11.0150016531,11.3956704897,11.8425102806
cold,Forest,31,0.005192208252448716,0.023983461437189123,0.0025522192856176798,0.9668168769229133,0.8901684418219653,18.333333333333332,3,0.004621939929697423,Higher at max,31,11.0150016531,11.3956704897,11.8425102806
cold,Grass/Shrubland,31,0.0021823921822895272,0.004028938282775066,3.8788041564668824e-4,0.7191203394294916,0.7152535577495563,10.333333333333334,3,0.0015609637727874027,Higher at max,31,11.0150016531,11.3956704897,11.8425102806
cold,Land-use heterogeneity,31,0.0055960540311961885,0.006457086285845539,0.0018754087246091763,0.7968494350511232,1,17.666666666666668,1,0.0055960540311961885,Higher at max,31,11.0150016531,11.3956704897,11.8425102806
cold,Pasture,31,0.002648779621415992,0.0044168011427777164,0.0015956514984143092,0.6985209460136609,0.9276634905417495,13.333333333333334,2,0.0024571761492786126,Higher at max,31,11.0150016531,11.3956704897,11.8425102806
cold,Precipitation,31,0.005455429280856688,0.012371751367554114,0.0014361277424944116,0.9076051008198535,-0.5304098376978726,5.333333333333333,15.666666666666666,-0.002893613359431418,Lower at max,31,11.0150016531,11.3956704897,11.8425102806
cold,Temperature,31,0.003996308201482984,0.010855863406827676,0.0014824502300436076,0.8998582397757703,0.43177290312756106,12,6.333333333333333,0.00172549759394679,Higher at max,31,11.0150016531,11.3956704897,11.8425102806
cold,Urban,31,0.0029644192892818717,0.005349437626237739,5.821989421780223e-4,0.756691406295579,0.5061725513455199,11.333333333333334,3.3333333333333335,0.0015005076749136778,Higher at max,31,11.0150016531,11.3956704897,11.8425102806
medium,Cropland,31,0.007058859212967114,0.010725843060861015,0.003414436801855645,0.8870900944352743,0.49661868476891735,18,4.666666666666667,0.003505561378312683,Higher at max,31,11.8812540667,12.1293990446,12.343727765
medium,Forest,31,0.013954447562380417,0.024128605814632557,0.001234725647664072,0.9749702091327335,0.8507454748268287,21.333333333333332,5.333333333333333,0.01187168311740341,Higher at max,31,11.8812540667,12.1293990446,12.343727765
medium,Grass/Shrubland,31,0.0015532195005721232,0.0025613042840242697,0.0010029243234399622,0.49920070679571527,0.7575945224724576,8.666666666666666,2.3333333333333335,0.0011767105858308468,Higher at max,31,11.8812540667,12.1293990446,12.343727765
medium,Land-use heterogeneity,31,0.0032497732019700844,0.005756381478092402,6.562917689952467e-4,0.7508736280318471,0.9841044997077232,14.666666666666666,1.3333333333333333,0.0031981164310883356,Higher at max,31,11.8812540667,12.1293990446,12.343727765
medium,Pasture,31,0.001857838113925104,0.0030231910948904797,7.937607385987558e-4,0.6975475056885225,0.6815496630481982,10.333333333333334,3.6666666666666665,0.0012662089405437546,Higher at max,31,11.8812540667,12.1293990446,12.343727765
medium,Precipitation,31,0.004157655227133183,0.008448528455384659,0.0011720173283140012,0.7968517580062896,-0.2819105462818888,4,11,-0.0011720868563328659,Lower at max,31,11.8812540667,12.1293990446,12.343727765
medium,Temperature,31,0.0032806401653290487,0.014720766612864875,7.340773099961977e-4,0.9065583853756486,0.7298457058665613,10,5.666666666666667,0.002394361137158772,Higher at max,31,11.8812540667,12.1293990446,12.343727765
medium,Urban,31,0.004510044283775856,0.009737850109607047,0.001844585603913388,0.9454129765274456,0.48440589441130044,16.333333333333332,6,0.0021846920351170163,Higher at max,31,11.8812540667,12.1293990446,12.343727765
warm,Cropland,31,0.0075926562280867515,0.010664907379122365,9.509622689211124e-4,0.8885742911324757,0.9608997274356166,20,1.6666666666666667,0.007295781300080896,Higher at max,31,12.3470551373,12.6607518772,12.9763477132
warm,Forest,31,0.0060657936176769095,0.018834518879080074,0.0015991741676417137,0.9774783043740258,0.9620246078323097,23.333333333333332,2.3333333333333335,0.0058354427262373556,Higher at max,31,12.3470551373,12.6607518772,12.9763477132
warm,Grass/Shrubland,31,0.0011954937792878735,0.0018173298649916977,1.371345058760433e-4,0.45809963360543127,0.7940285286293104,7.666666666666667,1.3333333333333333,9.492561665534438e-4,Higher at max,31,12.3470551373,12.6607518772,12.9763477132
warm,Land-use heterogeneity,31,0.003405054059939602,0.005305164206556765,0.0018866933623076176,0.8454120340555935,0.941211890022544,18,2,0.00320487736738469,Higher at max,31,12.3470551373,12.6607518772,12.9763477132
warm,Pasture,31,0.0014900998563026368,0.003158931484107443,6.0129457017073945e-5,0.6970870190183983,0.866304381046776,10.666666666666666,2.3333333333333335,0.0012908800337121456,Higher at max,31,12.3470551373,12.6607518772,12.9763477132
warm,Precipitation,31,0.004092546199464329,0.00699926452345299,3.429453984199883e-4,0.8420531681809816,-0.8565867054568612,2.6666666666666665,16,-0.003505620665929148,Lower at max,31,12.3470551373,12.6607518772,12.9763477132
warm,Temperature,31,0.0024009679981254707,0.007191883364949152,5.983320492801924e-4,0.8628190730996107,0.30661071432070514,9.333333333333334,6.333333333333333,7.36162512966404e-4,Higher at max,31,12.3470551373,12.6607518772,12.9763477132
warm,Urban,31,0.005883170029334423,0.015195103997636706,0.004562923061398771,0.9613025756252729,0.8367779157743084,21.333333333333332,3.3333333333333335,0.004922906755292335,Higher at max,31,12.3470551373,12.6607518772,12.9763477132
very warm,Cropland,32,0.007079991702214336,0.01371053656424877,0.002534687279298926,0.8161619452033376,0.1473092237071623,10,6.333333333333333,0.0010429480815063443,Higher at max,32,13.0082465521,13.5019455895,16.3071703744
very warm,Forest,32,0.004762235782673263,0.016141453021918436,5.909986599145636e-4,0.9155184563456099,0.4931928903787102,13,6.333333333333333,0.002348700830321546,Higher at max,32,13.0082465521,13.5019455895,16.3071703744
very warm,Grass/Shrubland,32,0.002198162065380162,0.0031787316650660406,2.857913855005718e-4,0.5870170251373575,0.005244454523383988,6.333333333333333,4.666666666666667,1.1528160986914079e-5,Mixed,32,13.0082465521,13.5019455895,16.3071703744
very warm,Land-use heterogeneity,32,0.004585302293172352,0.0076992445424801026,0.001810236219851259,0.7377622949987123,1,14.333333333333334,1,0.004585302293172352,Higher at max,32,13.0082465521,13.5019455895,16.3071703744
very warm,Pasture,32,0.002847518941244013,0.004449258900513593,8.848135880904951e-4,0.7167990835148432,0.7562134441310449,12.666666666666666,3.3333333333333335,0.0021533321057865215,Higher at max,32,13.0082465521,13.5019455895,16.3071703744
very warm,Precipitation,32,0.0061015152694407614,0.013281279239640023,0.0032932864645975964,0.9217705973075279,-0.39317763569594044,6.666666666666667,14.666666666666666,-0.002398979347801398,Lower at max,32,13.0082465521,13.5019455895,16.3071703744
very warm,Temperature,32,0.007309138168935631,0.021636477851967043,0.0016504531008079482,0.9591966278247767,1,21,1,0.007309138168935631,Higher at max,32,13.0082465521,13.5019455895,16.3071703744
very warm,Urban,32,0.00509605236662625,0.009224908422540775,8.905642329749593e-4,0.8584416670978444,0.2682076629561694,12.666666666666666,6.333333333333333,0.0013668002955550826,Higher at max,32,13.0082465521,13.5019455895,16.3071703744
