species,variable,variable_label,period_from,weighted_beta_from,standardized_beta_from,prob_positive_from,support_state_from,period_to,weighted_beta_to,standardized_beta_to,prob_positive_to,support_state_to,atlas_from,atlas_to,transition,delta_weighted_beta,abs_delta_weighted_beta,delta_standardized_beta,abs_delta_standardized_beta,support_state_switch,supported_sign_flip,large_jump_cutoff,predictor_large_jump
Accipiter_nisus,tmean_breeding,Temperature,1970s,-0.11037646985880731,-0.11262905087633399,0.01,Supported negative,1990s,-0.16062679095083834,-0.16062679095083834,0,Supported negative,1,2,1970s to 1990s,-0.050250321092031036,0.050250321092031036,-0.04799774007450436,0.04799774007450436,FALSE,FALSE,0.1398968467719789,FALSE
Accipiter_nisus,prec_breeding,Precipitation,1970s,0.01426391651047286,0.031839099353734066,0.724,Unsupported,1990s,-0.19471991202215058,-0.19471991202215058,0,Supported negative,1,2,1970s to 1990s,-0.20898382853262343,0.20898382853262343,-0.22655901137588463,0.22655901137588463,TRUE,FALSE,0.1398968467719789,TRUE
Accipiter_nisus,hh,Land-use heterogeneity,1970s,-8.19995828422569e-4,-0.00911106476025077,0.455,Unsupported,1990s,0.02623271354802984,0.044162817420925655,0.797,Unsupported,1,2,1970s to 1990s,0.027052709376452412,0.027052709376452412,0.05327388218117643,0.05327388218117643,FALSE,FALSE,0.1398968467719789,FALSE
Accipiter_nisus,perc_urban,Urban,1970s,0.008091641471324245,0.023939767666639772,0.669,Unsupported,1990s,0.1813159666666243,0.1813159666666243,1,Supported positive,1,2,1970s to 1990s,0.17322432519530007,0.17322432519530007,0.15737619899998453,0.15737619899998453,TRUE,FALSE,0.1398968467719789,TRUE
Accipiter_nisus,perc_cropland,Cropland,1970s,0.13658607444594303,0.14499583274516248,0.971,Supported positive,1990s,0.0884729978955313,0.10239930311982788,0.932,Unsupported,1,2,1970s to 1990s,-0.048113076550411735,0.048113076550411735,-0.0425965296253346,0.0425965296253346,TRUE,FALSE,0.1398968467719789,FALSE
Accipiter_nisus,perc_pasture,Pasture,1970s,0.015870662267920964,0.03136494519351969,0.753,Unsupported,1990s,0.02509674848017008,0.03884945585165647,0.823,Unsupported,1,2,1970s to 1990s,0.009226086212249116,0.009226086212249116,0.007484510658136781,0.007484510658136781,FALSE,FALSE,0.1398968467719789,FALSE
Accipiter_nisus,perc_forest,Forest,1970s,0.4198173666072074,0.4198173666072074,1,Supported positive,1990s,0.3916409759749602,0.3916409759749602,1,Supported positive,1,2,1970s to 1990s,-0.028176390632247195,0.028176390632247195,-0.028176390632247195,0.028176390632247195,FALSE,FALSE,0.1398968467719789,FALSE
Accipiter_nisus,perc_grass_shrub,Grass/Shrubland,1970s,0.10849799533268083,0.1093729791660089,0.996,Supported positive,1990s,0.11257216581791568,0.11325167587315461,0.997,Supported positive,1,2,1970s to 1990s,0.004074170485234854,0.004074170485234854,0.003878696707145718,0.003878696707145718,FALSE,FALSE,0.1398968467719789,FALSE
Astur_gentilis,tmean_breeding,Temperature,1970s,0.18972546838639973,0.18972546838639973,1,Supported positive,1990s,-0.011203898620941618,-0.02654952279843985,0.289,Unsupported,1,2,1970s to 1990s,-0.20092936700734135,0.20092936700734135,-0.2162749911848396,0.2162749911848396,TRUE,FALSE,0.1398968467719789,TRUE
Astur_gentilis,prec_breeding,Precipitation,1970s,0.3403123375482242,0.3403123375482242,1,Supported positive,1990s,-1.1303416473464604e-4,-0.002260683294692919,0.475,Unsupported,1,2,1970s to 1990s,-0.34042537171295884,0.34042537171295884,-0.34257302084291713,0.34257302084291713,TRUE,FALSE,0.1398968467719789,TRUE
Astur_gentilis,hh,Land-use heterogeneity,1970s,0.06069437925792658,0.08337140007956949,0.864,Unsupported,1990s,0.11975853918023936,0.12295537903515336,0.987,Supported positive,1,2,1970s to 1990s,0.05906415992231278,0.05906415992231278,0.03958397895558387,0.03958397895558387,TRUE,FALSE,0.1398968467719789,FALSE
Astur_gentilis,perc_urban,Urban,1970s,-0.028479720103050974,-0.05178130927827449,0.225,Unsupported,1990s,-0.03274862737158041,-0.05022795609138099,0.174,Unsupported,1,2,1970s to 1990s,-0.004268907268529434,0.004268907268529434,0.001553353186893501,0.001553353186893501,FALSE,FALSE,0.1398968467719789,FALSE
Astur_gentilis,perc_cropland,Cropland,1970s,0.16198397451774535,0.1734303795693205,0.967,Supported positive,1990s,0.3187817070344931,0.3187817070344931,1,Supported positive,1,2,1970s to 1990s,0.15679773251674775,0.15679773251674775,0.1453513274651726,0.1453513274651726,FALSE,FALSE,0.1398968467719789,TRUE
Astur_gentilis,perc_pasture,Pasture,1970s,0.007181936595514873,0.023019027549727154,0.656,Unsupported,1990s,0.058362915098466084,0.06662433230418503,0.938,Unsupported,1,2,1970s to 1990s,0.05118097850295121,0.05118097850295121,0.04360530475445788,0.04360530475445788,FALSE,FALSE,0.1398968467719789,FALSE
Astur_gentilis,perc_forest,Forest,1970s,0.5746724510925552,0.5746724510925552,1,Supported positive,1990s,0.6824889743570389,0.6824889743570389,1,Supported positive,1,2,1970s to 1990s,0.10781652326448377,0.10781652326448377,0.10781652326448377,0.10781652326448377,FALSE,FALSE,0.1398968467719789,FALSE
Astur_gentilis,perc_grass_shrub,Grass/Shrubland,1970s,0.03239500481207324,0.049685590202566327,0.826,Unsupported,1990s,0.2229613439120696,0.2229613439120696,1,Supported positive,1,2,1970s to 1990s,0.19056633909999635,0.19056633909999635,0.17327575370950327,0.17327575370950327,TRUE,FALSE,0.1398968467719789,TRUE
Buteo_buteo,tmean_breeding,Temperature,1970s,0.02473946034678315,0.04370929389891015,0.783,Unsupported,1990s,-0.15374495007216324,-0.15374495007216324,0,Supported negative,1,2,1970s to 1990s,-0.1784844104189464,0.1784844104189464,-0.1974542439710734,0.1974542439710734,TRUE,FALSE,0.1398968467719789,TRUE
Buteo_buteo,prec_breeding,Precipitation,1970s,0.17059426366389854,0.17266625876912808,0.994,Supported positive,1990s,0.036849911166525515,0.0551645376744394,0.834,Unsupported,1,2,1970s to 1990s,-0.13374435249737304,0.13374435249737304,-0.11750172109468868,0.11750172109468868,TRUE,FALSE,0.1398968467719789,FALSE
Buteo_buteo,hh,Land-use heterogeneity,1970s,0.0931253638333841,0.10324319715452784,0.951,Supported positive,1990s,0.254902006913126,0.254902006913126,1,Supported positive,1,2,1970s to 1990s,0.16177664307974188,0.16177664307974188,0.15165880975859813,0.15165880975859813,FALSE,FALSE,0.1398968467719789,TRUE
Buteo_buteo,perc_urban,Urban,1970s,-0.008873283614729006,-0.025794429112584324,0.328,Unsupported,1990s,-0.05963064898647582,-0.06982511590922227,0.073,Unsupported,1,2,1970s to 1990s,-0.05075736537174681,0.05075736537174681,-0.04403068679663795,0.04403068679663795,FALSE,FALSE,0.1398968467719789,FALSE
