species,transition,atlas_from,atlas_to,period_from,period_to,total_beta_jump,mean_abs_predictor_jump,max_abs_predictor_jump,dominant_driver,n_support_state_switches,n_supported_sign_flips,n_predictors_with_large_jump,n_predictors,migratory_strategy,foraging_guild,species_thermal_index,thermal_group,jump_percentile,species_stability_rank,species_jump_rank
Acanthis_flammea,1970s to 1990s,1,2,1970s,1990s,0.4094496033513713,0.08305019237475969,0.3873650969418697,Urban,2,1,1,8,short-distance,Passerine seedeaters,8.1923087262,very cold,0.7115384615384616,112,46
Acanthis_flammea,1990s to 2010s,2,3,1990s,2010s,0.264895265197264,0.07913541845145215,0.1484518520087208,Cropland,5,0,1,8,short-distance,Passerine seedeaters,8.1923087262,very cold,0.2564102564102564,41,117
Accipiter_nisus,1970s to 1990s,1,2,1970s,1990s,0.2831048355965055,0.06863761350956873,0.20898382853262343,Precipitation,3,0,2,8,sedentary and short-distance,Diurnal raptors,11.9162821341,medium,0.32051282051282054,51,107
Accipiter_nisus,1990s to 2010s,2,3,1990s,2010s,0.3703349693142431,0.10610798163589806,0.2428843117430877,Forest,4,0,2,8,sedentary and short-distance,Diurnal raptors,11.9162821341,medium,0.6025641025641025,95,63
Acrocephalus_arundinaceus,1970s to 1990s,1,2,1970s,1990s,0.47053541614172945,0.13302594888378264,0.28897613926498766,Urban,4,0,3,8,long-distance,Marsh warblers,13.8793523116,very warm,0.8076923076923077,127,31
Acrocephalus_arundinaceus,1990s to 2010s,2,3,1990s,2010s,0.4392895813435877,0.12211390189522647,0.2848428275370725,Urban,5,0,2,8,long-distance,Marsh warblers,13.8793523116,very warm,0.7243589743589743,114,44
Acrocephalus_palustris,1970s to 1990s,1,2,1970s,1990s,0.26777895314647115,0.08068128036329292,0.1596728533169006,Cropland,2,0,1,8,long-distance,Marsh warblers,12.248077272,medium,0.2692307692307692,43,115
Acrocephalus_palustris,1990s to 2010s,2,3,1990s,2010s,0.2519617417662054,0.07173619308690113,0.14585305791188244,Forest,2,0,0,8,long-distance,Marsh warblers,12.248077272,medium,0.22435897435897437,36,122
Acrocephalus_schoenobaenus,1970s to 1990s,1,2,1970s,1990s,0.298600194271589,0.09289174085051304,0.15679715871953287,Precipitation,4,0,2,8,long-distance,Marsh warblers,11.3913898283,cold,0.38461538461538464,61,97
Acrocephalus_schoenobaenus,1990s to 2010s,2,3,1990s,2010s,0.3547201417961986,0.10225585551689498,0.22469924931731397,Temperature,3,0,2,8,long-distance,Marsh warblers,11.3913898283,cold,0.5192307692307693,82,76
Acrocephalus_scirpaceus,1970s to 1990s,1,2,1970s,1990s,0.2311269532855028,0.06489138943973237,0.1528796735124839,Pasture,2,0,1,8,long-distance,Marsh warblers,13.1524057431,very warm,0.16025641025641027,26,132
Acrocephalus_scirpaceus,1990s to 2010s,2,3,1990s,2010s,0.35674688271865723,0.11101167190250673,0.22079069578632599,Grass/Shrubland,4,0,2,8,long-distance,Marsh warblers,13.1524057431,very warm,0.5448717948717948,86,72
Aegithalos_caudatus,1970s to 1990s,1,2,1970s,1990s,0.28361176929080195,0.08891720100158512,0.1773896553639742,Temperature,3,0,1,8,sedentary,Tit-like birds,12.6607518772,warm,0.3269230769230769,52,106
Aegithalos_caudatus,1990s to 2010s,2,3,1990s,2010s,0.3168891496645585,0.09198409360132363,0.20448081935927528,Temperature,2,0,1,8,sedentary,Tit-like birds,12.6607518772,warm,0.391025641025641,62,96
Alauda_arvensis,1970s to 1990s,1,2,1970s,1990s,0.38318094530061914,0.11369805681608577,0.22253972788180126,Cropland,2,0,3,8,sedentary and short-distance,Open-land insectivores,12.1983199326,medium,0.6538461538461539,103,55
Alauda_arvensis,1990s to 2010s,2,3,1990s,2010s,0.8035361400816055,0.25402733872711974,0.44229148983672506,Cropland,5,0,6,8,sedentary and short-distance,Open-land insectivores,12.1983199326,medium,1,157,1
Alcedo_atthis,1970s to 1990s,1,2,1970s,1990s,0.5645147314162129,0.17506495402600447,0.3271740138474215,Cropland,3,1,4,8,sedentary,Kingfishers,13.5319163712,very warm,0.9358974358974359,147,11
Alcedo_atthis,1990s to 2010s,2,3,1990s,2010s,0.40118323968846525,0.11460782169620977,0.24405990638414288,Cropland,2,0,3,8,sedentary,Kingfishers,13.5319163712,very warm,0.6666666666666666,105,53
