transition,trait_value,n_species,median_total_jump,mean_total_jump,iqr_total_jump,stable_species_share,extreme_species_share,share_with_any_state_switch,share_with_supported_sign_flip,median_predictor_jumps,trait_family,reliable_group,group_stability_rank,group_jump_rank
1970s to 1990s,Aerial insectivores,4,0.31422212160739554,0.3337151215925434,0.07778329141754986,0.25,0.25,1,0.5,1.5,Foraging guild,FALSE,11,24
1970s to 1990s,Aquatic pursuers,6,0.2469588261724367,0.2552165595627831,0.11053653027452909,0.3333333333333333,0.3333333333333333,0.5,0,0.5,Foraging guild,TRUE,2,33
1970s to 1990s,Buntings,3,0.41530429152689113,0.3775048647481333,0.08691585755515557,0.3333333333333333,0.3333333333333333,1,0.3333333333333333,2,Foraging guild,FALSE,26,9
1970s to 1990s,Columbids,4,0.3534283448471454,0.48913618781640145,0.2074070441667969,0.25,0.25,1,0,2.5,Foraging guild,FALSE,15,20
1970s to 1990s,Cuckoos,1,0.25949625283013766,0.25949625283013766,0,1,1,1,0,1,Foraging guild,FALSE,4,31
1970s to 1990s,Dabbling ducks,7,0.24333260771871787,0.330691017494679,0.07306381285486735,0.2857142857142857,0.2857142857142857,0.8571428571428571,0,1,Foraging guild,TRUE,1,34
1970s to 1990s,Dippers,1,0.5579773308486289,0.5579773308486289,0,1,1,0,0,3,Foraging guild,FALSE,33,2
1970s to 1990s,Diurnal raptors,7,0.484679065525015,0.45804175924757023,0.26678631572259814,0.2857142857142857,0.2857142857142857,1,0,3,Foraging guild,TRUE,29,6
1970s to 1990s,Diving ducks,3,0.4608170018163963,0.4599511933329633,0.10261243758643424,0.3333333333333333,0.3333333333333333,1,0,2,Foraging guild,FALSE,28,7
1970s to 1990s,Flycatchers,3,0.27174080260238903,0.28016498164302633,0.06136060095164869,0.3333333333333333,0.3333333333333333,1,0,1,Foraging guild,FALSE,6,29
1970s to 1990s,Foliage gleaners,9,0.2848450157168007,0.27374079403282103,0.06036127040913769,0.3333333333333333,0.3333333333333333,1,0,1,Foraging guild,TRUE,8,27
1970s to 1990s,Gallinaceous birds,2,0.3019588071935819,0.3019588071935819,0.03721319640560655,0.5,0.5,1,0,1,Foraging guild,FALSE,9,26
1970s to 1990s,Grazing waterfowl,2,0.25864123762181696,0.25864123762181696,0.07175806125229775,0.5,0.5,0.5,0,1,Foraging guild,FALSE,3,32
1970s to 1990s,Gulls,5,0.38715663840432035,0.38184052472016383,0.10315835854248862,0.4,0.4,1,0,3,Foraging guild,TRUE,24,11
1970s to 1990s,Kingfishers,1,0.5645147314162129,0.5645147314162129,0,1,1,1,1,4,Foraging guild,FALSE,34,1
1970s to 1990s,Low flycatching feeders,9,0.27649694127612673,0.2664653939619853,0.07377142204120629,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.1111111111111111,1,Foraging guild,TRUE,7,28
1970s to 1990s,Marsh warblers,6,0.3811654568624674,0.38055460970282534,0.1933499785418829,0.3333333333333333,0.3333333333333333,1,0.16666666666666666,2.5,Foraging guild,TRUE,22,13
1970s to 1990s,Nigthjars,1,0.33833299269568123,0.33833299269568123,0,1,1,1,0,2,Foraging guild,FALSE,14,21
1970s to 1990s,Omnivorous corvids,7,0.3661634097227486,0.3800672236127123,0.22810465976103655,0.2857142857142857,0.2857142857142857,1,0.14285714285714285,2,Foraging guild,TRUE,19,16
1970s to 1990s,Open-land insectivores,6,0.3280933620459329,0.2946404696208239,0.1631655397092549,0.3333333333333333,0.3333333333333333,1,0,2,Foraging guild,TRUE,13,22
1970s to 1990s,Orioles,1,0.39068174395119676,0.39068174395119676,0,1,1,1,0,2,Foraging guild,FALSE,25,10
1970s to 1990s,Owls,5,0.3814957273082154,0.38770942841646067,0.1177975304986279,0.4,0.4,1,0,2,Foraging guild,TRUE,23,12
1970s to 1990s,Passerine seedeaters,12,0.368163294723395,0.35068521311518003,0.11015798718377334,0.25,0.25,0.9166666666666666,0.16666666666666666,2,Foraging guild,TRUE,20,15
1970s to 1990s,Plovers,6,0.36454892128330796,0.37826625708769696,0.25534681465443787,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,2.5,Foraging guild,TRUE,18,17
1970s to 1990s,Rails,5,0.2631960695370771,0.2432935116151824,0.02818906720789996,0.4,0.4,1,0,1,Foraging guild,TRUE,5,30
1970s to 1990s,Reedlings,1,0.5495602730983788,0.5495602730983788,0,1,1,1,0,5,Foraging guild,FALSE,32,3
1970s to 1990s,Scolopacids,9,0.32060476145583217,0.33130428194834277,0.17871444836830044,0.3333333333333333,0.3333333333333333,1,0,2,Foraging guild,TRUE,12,23
1970s to 1990s,Shrikes,2,0.5054903779764144,0.5054903779764144,0.144949009237678,0.5,0.5,1,0,3.5,Foraging guild,FALSE,30,5
1970s to 1990s,Starlings,1,0.5359351019912333,0.5359351019912333,0,1,1,1,0,2,Foraging guild,FALSE,31,4
1970s to 1990s,Terns,5,0.35648091607308563,0.4012718139503002,0.144718122593947,0.4,0.4,1,0,2,Foraging guild,TRUE,16,19
1970s to 1990s,Thrushes,4,0.4292308595838632,0.40301772191122254,0.15373019018928213,0.25,0.25,1,0,2.5,Foraging guild,FALSE,27,8
1970s to 1990s,Tit-like birds,12,0.31354045217355175,0.3785672587952871,0.14014516234441537,0.25,0.25,1,0,2,Foraging guild,TRUE,10,25
1970s to 1990s,Wading birds,2,0.37105529871419207,0.37105529871419207,0.07504654711667591,0.5,0.5,1,0,1,Foraging guild,FALSE,21,14
1970s to 1990s,Woodpeckers,5,0.3584382179613719,0.3881404889691867,0.13109261936288075,0.4,0.4,1,0.2,2,Foraging guild,TRUE,17,18
1990s to 2010s,Aerial insectivores,4,0.27339829191938725,0.3180118798544368,0.07629094910163059,0.25,0.25,1,0,1,Foraging guild,FALSE,6,29
1990s to 2010s,Aquatic pursuers,6,0.2612678716091985,0.2816102897461938,0.13988696002817527,0.3333333333333333,0.3333333333333333,0.8333333333333334,0,1.5,Foraging guild,TRUE,5,30
