effect_scale,trait_family,trait_value,variable,variable_label,atlas,atlas_numeric,period,n_species,mean_weighted_beta_value,median_weighted_beta_value,mean_abs_weighted_beta_value,median_abs_weighted_beta_value,supported_positive_share,supported_negative_share,unsupported_share
Unscaled beta,All species,All species,hh,"Habitat
heterogeneity",1,1,1970s,157,0.4248293676697471,0.23160549724103296,0.48798044841698063,0.29918191103442043,0.34394904458598724,0.01910828025477707,0.6369426751592356
Unscaled beta,All species,All species,hh,"Habitat
heterogeneity",2,2,1990s,157,0.7696408858995643,0.7053751209648492,0.7801649448847946,0.7053751209648492,0.6114649681528662,0,0.3885350318471338
Unscaled beta,All species,All species,hh,"Habitat
heterogeneity",3,3,2010s,157,0.6477815909779712,0.5995726088394187,0.6722286724040383,0.5995726088394187,0.5286624203821656,0.006369426751592357,0.46496815286624205
Unscaled beta,All species,All species,perc_cropland,Cropland,1,1,1970s,157,0.08826552696041233,0.21881103523382747,0.6442125115337012,0.5331911982477711,0.37579617834394907,0.19745222929936307,0.4267515923566879
Unscaled beta,All species,All species,perc_cropland,Cropland,2,2,1990s,157,0.12378235230986914,0.18197426278423268,0.7254608351607208,0.571691405223301,0.3821656050955414,0.17834394904458598,0.4394904458598726
Unscaled beta,All species,All species,perc_cropland,Cropland,3,3,2010s,157,0.10335659228319426,0.12895651956569262,0.7686336364571393,0.677802333708445,0.4012738853503185,0.22929936305732485,0.36942675159235666
Unscaled beta,All species,All species,perc_forest,Forest,1,1,1970s,157,0.7229278504888437,0.8413123612789486,1.4192032325274067,1.2863774422447667,0.5605095541401274,0.15286624203821655,0.28662420382165604
Unscaled beta,All species,All species,perc_forest,Forest,2,2,1990s,157,0.7802456532543172,0.8684306421198087,1.540654840170447,1.245205623947594,0.554140127388535,0.15286624203821655,0.2929936305732484
Unscaled beta,All species,All species,perc_forest,Forest,3,3,2010s,157,0.7194241426507203,0.8058482924334618,1.5283938306461677,1.300442882314561,0.5286624203821656,0.19745222929936307,0.27388535031847133
Unscaled beta,All species,All species,perc_grass_shrub,"Grass/
shrubland",1,1,1970s,157,0.46046035447843475,0.3637457668034034,0.8415740635834404,0.5738253442301338,0.21019108280254778,0.03821656050955414,0.7515923566878981
