effect_scale,trait_family,trait_value,variable,variable_label,n_observations,n_species,signed_beta_slope,signed_beta_p_value,signed_beta_r_squared,beta_strength_slope,beta_strength_p_value,beta_strength_r_squared,mean_1970s,mean_2010s,mean_2010s_minus_1970s,significance,sig_label
Unscaled beta,All species,All species,hh,"Habitat
heterogeneity",471,157,0.11147611165411188,0.0013180652716535493,0.021780703042566577,0.09212411199352873,0.004992024013290252,0.016683824036025762,0.4248293676697471,0.6477815909779712,0.22295222330822406,**,**
Unscaled beta,All species,All species,perc_cropland,Cropland,471,157,0.00754553266139102,0.886941509697984,4.3144887217509155e-5,0.062210562461719035,0.07506108080054075,0.006740721957824255,0.08826552696041233,0.10335659228319426,0.015091065322781927,ns,
Unscaled beta,All species,All species,perc_forest,Forest,471,157,-0.0017518539190615873,0.985651256669371,6.903740210470184e-7,0.0545952990593806,0.39250106562122733,0.0015594640769824692,0.7229278504888437,0.7194241426507203,-0.003503707838123371,ns,
Unscaled beta,All species,All species,perc_grass_shrub,"Grass/
shrubland",471,157,-0.1964123245405951,0.013447465369480443,0.012955388668826878,0.17808394199808686,0.0025247264942158745,0.019283507416730874,0.46046035447843475,0.06763570539724428,-0.39282464908119047,*,*
Unscaled beta,All species,All species,perc_pasture,Pasture,471,157,0.32505944393483915,1.8066008748962468e-6,0.047481127466680935,0.31641330069665685,1.2307446601512418e-9,0.07577911444920868,0.32611161333682487,0.9762305012065039,0.6501188878696791,***,***
Unscaled beta,All species,All species,perc_urban,Urban,471,157,0.12779719916712037,0.12977100751603943,0.0048871424598244395,0.05040129081155835,0.3628475480322926,0.0017658094392967037,0.17174116535407194,0.4273355636883132,0.25559439833424125,ns,
Unscaled beta,All species,All species,prec_breeding,Precipitation,471,157,4.897223660851806e-4,0.48537467306948545,0.0010384423151625754,-0.0025698516286834037,9.122022656079956e-7,0.05015009990172518,-0.0060996796723616605,-0.0051202349401912985,9.79444732170362e-4,ns,
Unscaled beta,All species,All species,tmean_breeding,Temperature,471,157,0.01868316879262007,0.7644832875668309,1.9157037640148684e-4,-0.06995602587712337,0.15637631937675997,0.0042788044878736674,0.5202591987967364,0.5576255363819768,0.03736633758524033,ns,
Unscaled beta,Foraging guild,Aerial insectivores,hh,"Habitat
heterogeneity",12,4,0.1746122383643212,0.4394318699783726,0.06088654883018502,-0.034960081143561306,0.7957350915319954,0.007019437543179842,-0.20173074850916375,0.14749372821947893,0.34922447672864265,ns,
Unscaled beta,Foraging guild,Aerial insectivores,perc_cropland,Cropland,12,4,-0.27265814552892825,0.20232788156130624,0.15696107093599662,-0.10343677979095532,0.5316939573231382,0.04027647656177768,0.7130885323995427,0.16777224134168664,-0.5453162910578561,ns,
Unscaled beta,Foraging guild,Aerial insectivores,perc_forest,Forest,12,4,-0.5125380561164767,0.041218360751539326,0.35415799131957754,-0.3615565406481224,0.07581863412556226,0.2817173426202831,1.0438746626287658,0.018798550395812547,-1.0250761122329533,*,*
Unscaled beta,Foraging guild,Aerial insectivores,perc_grass_shrub,"Grass/
shrubland",12,4,-0.19897451465111982,0.4369670724317434,0.06152455065964909,-0.19897451465111982,0.4369670724317434,0.06152455065964909,1.2298514936736984,0.8319024643714591,-0.3979490293022393,ns,
Unscaled beta,Foraging guild,Aerial insectivores,perc_pasture,Pasture,12,4,-0.14680788111872137,0.6244778981945442,0.024871602319518637,0.009912706298635925,0.9628106661129194,2.2850739296453732e-4,-0.11685204399078625,-0.4104678062282291,-0.29361576223744285,ns,
