atlas,atlas_index,species,climate,land_use,environmental_variables,spatial_biotic_dependencies,total_explained,tjur_r2,scaling_check_abs_diff
1970s,1,Accipiter_nisus,0.006036674532030722,0.06632001299574786,0.07235668752777857,0.19617443348935418,0.2685311210171327,0.268531121017133,2.7755575615628914e-16
1970s,1,Astur_gentilis,0.040237984364963154,0.09976396652988913,0.1400019508948523,0.12444962906390501,0.2644515799587573,0.264451579958757,2.7755575615628914e-16
1970s,1,Buteo_buteo,0.008223897979439888,0.13339461416283177,0.14161851214227167,0.26640415429894015,0.4080226664412118,0.408022666441211,8.326672684688674e-16
1970s,1,Circus_aeruginosus,0.05697045599133533,0.04000691971881592,0.09697737571015125,0.25940487600369,0.35638225171384125,0.356382251713841,2.220446049250313e-16
1970s,1,Circus_pygargus,0.16603901954049288,0.04708638826471792,0.2131254078052108,0.16685288815644977,0.37997829596166055,0.379978295961661,4.440892098500626e-16
1970s,1,Pernis_apivorus,0.0060250444220461205,0.058997297650314445,0.06502234207236057,0.23196102629638835,0.29698336836874895,0.296983368368749,5.551115123125783e-17
1970s,1,Anas_acuta,0.043480398293288605,0.08691385534588768,0.13039425363917628,0.19475289535146262,0.3251471489906389,0.325147148990639,1.1102230246251565e-16
1970s,1,Anas_crecca,0.01765343673372927,0.028658908402716985,0.046312345136446255,0.19089595433570697,0.23720829947215322,0.237208299472153,2.220446049250313e-16
1970s,1,Anas_platyrhynchos,0.017612317028291514,0.021977954087591428,0.03959027111588294,0.32569076302953887,0.3652810341454218,0.365281034145422,2.220446049250313e-16
1970s,1,Anser_anser,0.020456767391282587,0.015744124055993434,0.03620089144727602,0.368419312357817,0.404620203805093,0.404620203805093,0
1970s,1,Aythya_ferina,0.013962215623324612,0.024638945762134757,0.03860116138545937,0.3346859743376327,0.3732871357230921,0.373287135723092,5.551115123125783e-17
1970s,1,Aythya_fuligula,0.011376766185411656,0.033679677403787196,0.04505644358919885,0.269740658364901,0.3147971019540999,0.3147971019541,1.1102230246251565e-16
1970s,1,Cygnus_olor,0.030340123476354952,0.031893697575929254,0.062233821052284206,0.38706651537582126,0.44930033642810546,0.449300336428105,4.440892098500626e-16
1970s,1,Mareca_strepera,0.005456783415749034,0.01899348616961769,0.024450269585366724,0.039697026726062214,0.06414729631142893,0.0641472963114289,2.7755575615628914e-17
1970s,1,Mergus_merganser,0.001494126653752051,0.023696026597928754,0.025190153251680805,0.06521136448671369,0.0904015177383945,0.0904015177383945,0
1970s,1,Mergus_serrator,0.017379975829301113,0.1947192356562817,0.2120992114855828,0.24938995108838158,0.4614891625739644,0.461489162573964,3.885780586188048e-16
1970s,1,Somateria_mollissima,0.06523992593122016,0.09982028963045918,0.16506021556167932,0.07807046764673385,0.2431306832084132,0.243130683208413,1.942890293094024e-16
1970s,1,Spatula_clypeata,0.044470390180243874,0.030800194085493345,0.07527058426573721,0.35432498612797486,0.4295955703937121,0.429595570393712,1.1102230246251565e-16
1970s,1,Spatula_querquedula,0.03336101560615177,0.021333317818764838,0.05469433342491661,0.3279225078742442,0.3826168412991608,0.382616841299161,2.220446049250313e-16
1970s,1,Tadorna_tadorna,0.03928370466896219,0.07683312878270086,0.11611683345166304,0.22558726738172885,0.34170410083339187,0.341704100833392,1.1102230246251565e-16
