atlas,atlas_index,component,n_draws,posterior_mean,posterior_median,q025,q10,q90,q975,pr_gt0,max_scaling_abs_diff,current_figure_mean,posterior_mean_pp,posterior_median_pp,q025_pp,q10_pp,q90_pp,q975_pp,current_figure_mean_pp,posterior_minus_current_pp
1970s,1,Climate,1000,0.02741114926726437,0.02782578369537026,0.020673731853804746,0.02256619763282162,0.03213322167547523,0.03340275964182467,1,2.220446049250313e-16,0.02412593369513592,2.741114926726437,2.7825783695370263,2.0673731853804744,2.256619763282162,3.2133221675475228,3.340275964182467,2.412593369513592,0.328521557212845
1970s,1,Land-use,1000,0.04623207091485956,0.04798662096116352,0.03440315088872853,0.036714487877047744,0.05297574197697211,0.054970373918561063,1,2.220446049250313e-16,0.0498568804622841,4.623207091485956,4.7986620961163515,3.440315088872853,3.6714487877047746,5.297574197697211,5.497037391856106,4.98568804622841,-0.36248095474245356
1970s,1,Spatial,1000,0.2036233094746611,0.20107273577083717,0.19115509427917882,0.1934539894304058,0.2172385749204539,0.2205351337153553,1,2.220446049250313e-16,0.20328371549936505,20.36233094746611,20.107273577083717,19.115509427917882,19.34539894304058,21.72385749204539,22.05351337153553,20.328371549936506,0.03395939752960375
1970s,1,mean R2,1000,0.27726652965678505,0.27725021558117924,0.27342828334062386,0.2747512886514177,0.27990832194239856,0.2813204615284695,1,2.220446049250313e-16,0.27726652965678505,27.726652965678504,27.725021558117923,27.342828334062386,27.47512886514177,27.990832194239857,28.13204615284695,27.726652965678504,0
1990s,2,Climate,1000,0.029214800265811473,0.0293051002251936,0.024007074706302138,0.025654629437149794,0.032511253446992,0.03448046001075892,1,2.220446049250313e-16,0.02464537518410653,2.9214800265811474,2.93051002251936,2.4007074706302136,2.565462943714979,3.2511253446992003,3.448046001075892,2.464537518410653,0.4569425081704943
1990s,2,Land-use,1000,0.060207741303411964,0.06060022388966985,0.051519738830436305,0.05543010520330894,0.064504184858794,0.06611451718528252,1,2.220446049250313e-16,0.06512941676986608,6.020774130341197,6.060022388966986,5.15197388304363,5.543010520330894,6.4504184858794,6.611451718528253,6.512941676986609,-0.49216754664541185
1990s,2,Spatial,1000,0.1973581281217618,0.19632428760292653,0.18905545870768525,0.19116436432651593,0.20509210525284727,0.210534285002926,1,2.220446049250313e-16,0.1970058777370126,19.735812812176178,19.632428760292655,18.905545870768524,19.116436432651593,20.509210525284725,21.0534285002926,19.700587773701262,0.035225038474917536
1990s,2,mean R2,1000,0.2867806696909852,0.2867640057708026,0.28280592572004,0.2842609295697644,0.2894061948083497,0.29077724629580565,1,2.220446049250313e-16,0.2867806696909852,28.67806696909852,28.67640057708026,28.280592572004,28.42609295697644,28.94061948083497,29.077724629580565,28.67806696909852,0
2010s,3,Climate,1000,0.027765402290817004,0.02759079037793464,0.023782374966637307,0.025149610389008675,0.030700980174931485,0.03206678409352231,1,1.6653345369377348e-16,0.02508988268616504,2.7765402290817005,2.7590790377934638,2.3782374966637305,2.5149610389008674,3.0700980174931485,3.206678409352231,2.5089882686165037,0.2675519604651965
2010s,3,Land-use,1000,0.07553884854510821,0.07569222289952046,0.069032434978628,0.07166693632898101,0.0795412965404173,0.08133247750526888,1,1.6653345369377348e-16,0.07873633741243846,7.553884854510821,7.569222289952046,6.903243497862801,7.166693632898101,7.954129654041731,8.133247750526888,7.873633741243847,-0.31974888673302476
2010s,3,Spatial,1000,0.15866323396202314,0.15860066157533326,0.15105635903546233,0.15404177901112995,0.1635095231889335,0.16633436216774097,1,1.6653345369377348e-16,0.1581412646993449,15.866323396202315,15.860066157533325,15.105635903546233,15.404177901112995,16.35095231889335,16.633436216774097,15.81412646993449,0.05219692626782513
2010s,3,mean R2,1000,0.2619674847979484,0.26198242074683964,0.25719061117011166,0.25873113873386516,0.26517496049337863,0.26661578406670944,1,1.6653345369377348e-16,0.2619674847979484,26.19674847979484,26.198242074683964,25.719061117011165,25.873113873386515,26.517496049337865,26.661578406670944,26.19674847979484,0
