contrast,component,n_draws,diff_mean,diff_median,q025,q10,q90,q975,pr_diff_gt0,pr_diff_lt0,diff_mean_pp,diff_median_pp,q025_pp,q10_pp,q90_pp,q975_pp,component_y,pr_label,label_x,label_hjust
1990s - 1970s,mean R2,1000,0.009514140034200185,0.009438621533269104,0.004234997546999817,0.005966705063844074,0.013195319964807835,0.015124999497438492,1,0,0.9514140034200185,0.9438621533269104,0.4234997546999817,0.5966705063844074,1.3195319964807835,1.5124999497438492,4,Pr(>0)=1.00,1.8248926418914078,0
1990s - 1970s,Spatial,1000,-0.006265181352899327,-0.006113612216128564,-0.027166637991339254,-0.022304117631388086,0.00987948430257773,0.015724622578172195,0.326,0.674,-0.6265181352899327,-0.6113612216128563,-2.7166637991339253,-2.2304117631388087,0.9879484302577729,1.5724622578172194,3,Pr(>0)=0.33,-3.029056491281484,1
1990s - 1970s,Land-use,1000,0.0139756703885524,0.013810235345947441,-5.067754607388134e-4,0.0036538909407655496,0.02485190624722504,0.028049162757731626,0.97,0.03,1.39756703885524,1.3810235345947441,-0.05067754607388134,0.36538909407655495,2.4851906247225037,2.8049162757731625,2,Pr(>0)=0.97,3.1173089679207213,0
1990s - 1970s,Climate,1000,0.0018036509985471017,0.001936834729727846,-0.007577188269851873,-0.00480276330991716,0.008151627806599747,0.011449431821685428,0.627,0.373,0.18036509985471016,0.1936834729727846,-0.7577188269851873,-0.480276330991716,0.8151627806599747,1.1449431821685427,1,Pr(>0)=0.63,1.4573358743161013,0
2010s - 1990s,mean R2,1000,-0.024813184893036844,-0.02474908812853896,-0.03100956775738368,-0.02891353192249532,-0.021008869064378256,-0.01872153338047315,0,1,-2.4813184893036846,-2.474908812853896,-3.100956775738368,-2.891353192249532,-2.1008869064378257,-1.8721533380473152,4,Pr(>0)=0.00,-3.4133494678859266,1
2010s - 1990s,Spatial,1000,-0.03869489415973863,-0.0384733715228848,-0.053835197078459664,-0.04726218161157301,-0.030836299634147926,-0.027538330952756027,0,1,-3.869489415973863,-3.8473371522884796,-5.3835197078459665,-4.726218161157301,-3.0836299634147926,-2.7538330952756027,3,Pr(>0)=0.00,-5.695912399993525,1
2010s - 1990s,Land-use,1000,0.015331107241696259,0.0150415522845255,0.006080915712081066,0.009005665681927162,0.022012083004844304,0.027045103599359153,1,0,1.5331107241696258,1.5041552284525501,0.6080915712081066,0.9005665681927162,2.2012083004844305,2.7045103599359153,2,Pr(>0)=1.00,3.016903052083474,0
2010s - 1990s,Climate,1000,-0.0014493979749944652,-0.0015024879224184579,-0.008118372614596914,-0.005942326641421522,0.002938273232566787,0.005177312925112159,0.344,0.656,-0.14493979749944652,-0.15024879224184579,-0.8118372614596914,-0.5942326641421523,0.2938273232566787,0.5177312925112159,1,Pr(>0)=0.34,-1.1242299536072502,1
2010s - 1970s,mean R2,1000,-0.01529904485883666,-0.015370052575707699,-0.02141239635717277,-0.01918699885154119,-0.01127747726324374,-0.008839723074127948,0,1,-1.529904485883666,-1.5370052575707698,-2.141239635717277,-1.9186998851541188,-1.127747726324374,-0.8839723074127948,4,Pr(>0)=0.00,-2.453632327864836,1
2010s - 1970s,Spatial,1000,-0.04496007551263794,-0.04393028476671183,-0.06247853842951174,-0.0583027158035937,-0.03221729638511,-0.028914412920363824,0,1,-4.496007551263794,-4.393028476671184,-6.247853842951174,-5.830271580359369,-3.221729638511,-2.8914412920363826,3,Pr(>0)=0.00,-6.560246535098733,1
2010s - 1970s,Land-use,1000,0.029306777630248654,0.02869845376428444,0.018988285199099834,0.021850071196365894,0.037642699536397844,0.040679844551953635,1,0,2.9306777630248653,2.869845376428444,1.8988285199099835,2.1850071196365892,3.7642699536397846,4.067984455195363,2,Pr(>0)=1.00,4.380377147342922,0
2010s - 1970s,Climate,1000,3.542530235526365e-4,2.376927287044174e-4,-0.007292406948211716,-0.005152184546856793,0.0062436712866862,0.00830208140978385,0.519,0.481,0.03542530235526365,0.02376927287044174,-0.7292406948211716,-0.5152184546856793,0.62436712866862,0.830208140978385,1,Pr(>0)=0.52,1.1426008331259436,0
