atlas,trait_clean,variable,trait_category,n_species,effect_size,support_pos,gamma_support,trait_label
1970s,Species thermal index,Temperature,Species thermal index,157,0.09885610975628531,0.874,No supported effect,Species thermal index (n = 157)
1970s,Species thermal index,Precipitation,Species thermal index,157,7.449867206476906e-4,0.712,No supported effect,Species thermal index (n = 157)
1970s,Species thermal index,Land-Use Heterogeneity,Species thermal index,157,-0.06755344465352363,0.119,No supported effect,Species thermal index (n = 157)
1970s,Species thermal index,Urban,Species thermal index,157,0.2872610777014631,0.998,Positive,Species thermal index (n = 157)
1970s,Species thermal index,Cropland,Species thermal index,157,0.1390850614205228,0.995,Positive,Species thermal index (n = 157)
1970s,Species thermal index,Pasture,Species thermal index,157,0.03586727574857777,0.65,No supported effect,Species thermal index (n = 157)
1970s,Species thermal index,Forest,Species thermal index,157,0.06820399229976613,0.756,No supported effect,Species thermal index (n = 157)
1970s,Species thermal index,Grass/Shrubland,Species thermal index,157,0.08426401020507505,0.742,No supported effect,Species thermal index (n = 157)
1970s,short-and long-distance,Temperature,Migration,8,-1.412372945326388,0.014,Negative,Short- and Long-Distance (n = 8)
1970s,short-and long-distance,Precipitation,Migration,8,-0.007260574447364464,0.216,No supported effect,Short- and Long-Distance (n = 8)
1970s,short-and long-distance,Land-Use Heterogeneity,Migration,8,0.2527530365182208,0.723,No supported effect,Short- and Long-Distance (n = 8)
1970s,short-and long-distance,Urban,Migration,8,0.0426222577040118,0.525,No supported effect,Short- and Long-Distance (n = 8)
1970s,short-and long-distance,Cropland,Migration,8,-0.0508089448604714,0.461,No supported effect,Short- and Long-Distance (n = 8)
1970s,short-and long-distance,Pasture,Migration,8,-0.07904947438678421,0.442,No supported effect,Short- and Long-Distance (n = 8)
1970s,short-and long-distance,Forest,Migration,8,0.5824505337082012,0.804,No supported effect,Short- and Long-Distance (n = 8)
1970s,short-and long-distance,Grass/Shrubland,Migration,8,0.3287943618403124,0.627,No supported effect,Short- and Long-Distance (n = 8)
1970s,short-distance,Temperature,Migration,39,0.05412291852728445,0.549,No supported effect,Short-Distance (n = 39)
1970s,short-distance,Precipitation,Migration,39,1.202504994435976e-4,0.519,No supported effect,Short-Distance (n = 39)
1970s,short-distance,Land-Use Heterogeneity,Migration,39,0.003065078985518192,0.508,No supported effect,Short-Distance (n = 39)
1970s,short-distance,Urban,Migration,39,-0.2390954663993765,0.273,No supported effect,Short-Distance (n = 39)
