variable,trait_family,trait_value,n,n_species,r_squared,slope,direction,p_value,significance,variable_clean,sig_label
tmean_breeding,All species,All species,471,157,4.861530785893592e-4,-6.397057147471414e-4,decreasing,0.6331463117488828,ns,Temperature,
prec_breeding,All species,All species,471,157,0.00396743013563609,0.0011216802102617003,increasing,0.17234348412871334,ns,Precipitation,
hh,All species,All species,471,157,0.002458572496828289,5.524729446596686e-4,increasing,0.28286767413054714,ns,"Habitat
heterogeneity",
perc_urban,All species,All species,471,157,0.022827934924345292,0.002865472387009647,increasing,0.0010047040361236543,**,Urban,**
perc_cropland,All species,All species,471,157,0.008744892863304729,0.002295330826587386,increasing,0.04250435364888991,*,Cropland,*
perc_pasture,All species,All species,471,157,0.060505360858576725,0.0020893052070837773,increasing,6.392073309762998e-8,***,Pasture,***
perc_forest,All species,All species,471,157,0.02340450697479435,0.0057971619050764065,increasing,8.654237341124588e-4,***,Forest,***
perc_grass_shrub,All species,All species,471,157,0.0211055353308712,8.39985204660281e-4,increasing,0.0015706772723044274,**,"Grass/
shrubland",**
tmean_breeding,Thermal affinity,very cold,96,32,0.027867453126974088,-0.003533059631707829,decreasing,0.10402840455270707,ns,Temperature,
tmean_breeding,Thermal affinity,cold,93,31,0.0015512885738561335,-8.118906014549971e-4,decreasing,0.7077816051659479,ns,Temperature,
tmean_breeding,Thermal affinity,medium,93,31,8.344495326237345e-5,-3.716497862366448e-4,decreasing,0.9307483061891892,ns,Temperature,
tmean_breeding,Thermal affinity,warm,93,31,0.001815031476574922,7.481846741444245e-4,increasing,0.6851263349914238,ns,Temperature,
tmean_breeding,Thermal affinity,very warm,96,32,5.560941696942316e-4,8.162543162285309e-4,increasing,0.819601879727556,ns,Temperature,
prec_breeding,Thermal affinity,very cold,96,32,0.0012015794306234275,-6.509598327972561e-4,decreasing,0.7374091354443055,ns,Precipitation,
prec_breeding,Thermal affinity,cold,93,31,3.6190797853495896e-6,-3.822752522089581e-5,decreasing,0.985560790091085,ns,Precipitation,
prec_breeding,Thermal affinity,medium,93,31,0.03750638867581325,0.003322483036501049,increasing,0.06288042428507944,.,Precipitation,.
prec_breeding,Thermal affinity,warm,93,31,0.0012688724650038955,-3.088891067949365e-4,decreasing,0.7346245142372902,ns,Precipitation,
prec_breeding,Thermal affinity,very warm,96,32,0.02635732704991398,0.0032718171600486737,increasing,0.11402461873879427,ns,Precipitation,
hh,Thermal affinity,very cold,96,32,0.001412502098533074,-6.626244479485336e-4,decreasing,0.7161985087060099,ns,"Habitat
heterogeneity",
hh,Thermal affinity,cold,93,31,0.015346783780937161,8.831009677359589e-4,increasing,0.23677665102242537,ns,"Habitat
heterogeneity",
hh,Thermal affinity,medium,93,31,0.0012562689434196198,2.729625242789248e-4,increasing,0.7358971003926339,ns,"Habitat
heterogeneity",
hh,Thermal affinity,warm,93,31,0.031180648372985613,0.0010703648175335982,increasing,0.09042089060020515,.,"Habitat
heterogeneity",.
hh,Thermal affinity,very warm,96,32,0.012976977917608271,0.0012163424078099436,increasing,0.2691030160998997,ns,"Habitat
heterogeneity",
perc_urban,Thermal affinity,very cold,96,32,0.01277814027453596,0.0019008542359627947,increasing,0.27282672143397735,ns,Urban,
perc_urban,Thermal affinity,cold,93,31,0.0014343559946703864,2.806283991508886e-4,increasing,0.7185311069561244,ns,Urban,
perc_urban,Thermal affinity,medium,93,31,0.0329946101439995,0.003378560503263601,increasing,0.08141238991724435,.,Urban,.
perc_urban,Thermal affinity,warm,93,31,0.06190985900855661,0.00709370229511032,increasing,0.016172288804077534,*,Urban,*
perc_urban,Thermal affinity,very warm,96,32,0.013734958273717766,0.001741006315201138,increasing,0.25546899192478956,ns,Urban,
perc_cropland,Thermal affinity,very cold,96,32,0.010456140277610104,0.004036979043668078,increasing,0.32150483948297537,ns,Cropland,
perc_cropland,Thermal affinity,cold,93,31,0.006590437240385689,0.0012750091963695319,increasing,0.43918166226663435,ns,Cropland,
perc_cropland,Thermal affinity,medium,93,31,0.04566958238829342,0.0022690078956411393,increasing,0.0397012430337689,*,Cropland,*
perc_cropland,Thermal affinity,warm,93,31,0.019704962272755245,0.0017195424647215504,increasing,0.1795738573309873,ns,Cropland,
perc_cropland,Thermal affinity,very warm,96,32,0.009411651252614383,0.0021254145036919574,increasing,0.34706126915523317,ns,Cropland,
perc_pasture,Thermal affinity,very cold,96,32,0.05335057155443156,0.0031137164231429737,increasing,0.023563587064880664,*,Pasture,*
perc_pasture,Thermal affinity,cold,93,31,0.1480218154299379,0.002472048191569869,increasing,1.402429392354153e-4,***,Pasture,***
perc_pasture,Thermal affinity,medium,93,31,0.08091539184957143,0.0014282172922216703,increasing,0.005719752113152923,**,Pasture,**
perc_pasture,Thermal affinity,warm,93,31,0.046038816481049065,0.001536097104733083,increasing,0.03889081470617779,*,Pasture,*
perc_pasture,Thermal affinity,very warm,96,32,0.08230004726703548,0.0018704609914785893,increasing,0.004599233076542955,**,Pasture,**
perc_forest,Thermal affinity,very cold,96,32,0.057187272258290255,0.009442120301815302,increasing,0.01894901598996464,*,Forest,*
perc_forest,Thermal affinity,cold,93,31,0.036249927853628856,0.008138781341204373,increasing,0.06754624440071999,.,Forest,.
perc_forest,Thermal affinity,medium,93,31,0.01675452164972992,0.004801664953122591,increasing,0.2162377411140721,ns,Forest,
perc_forest,Thermal affinity,warm,93,31,0.004085812572658736,0.00186925961490168,increasing,0.5427155949524433,ns,Forest,
