atlas,species,measured_environment_explained,unexplained_or_residual_spatial,vp_column_sum,foraging_guild,atlas_index
1970s,Accipiter_nisus,0.26945363819920853,0.7305463618007904,0.9999999999999989,Diurnal raptors,1
1970s,Astur_gentilis,0.5294048570883426,0.47059514291165777,1.0000000000000004,Diurnal raptors,1
1970s,Buteo_buteo,0.34708491412370157,0.6529150858762997,1.0000000000000013,Diurnal raptors,1
1970s,Circus_aeruginosus,0.272116176503705,0.727883823496296,1.0000000000000009,Diurnal raptors,1
1970s,Circus_pygargus,0.5608883719682632,0.4391116280317364,0.9999999999999997,Diurnal raptors,1
1970s,Pernis_apivorus,0.21894270520773998,0.7810572947922597,0.9999999999999997,Diurnal raptors,1
1970s,Anas_acuta,0.4010315146356409,0.5989684853643593,1.0000000000000002,Dabbling ducks,1
1970s,Anas_crecca,0.195239143147616,0.804760856852385,1.0000000000000009,Dabbling ducks,1
1970s,Anas_platyrhynchos,0.1083830459703573,0.8916169540296424,0.9999999999999997,Dabbling ducks,1
1970s,Anser_anser,0.08946881818267807,0.9105311818173218,0.9999999999999999,Grazing waterfowl,1
1970s,Aythya_ferina,0.10340876416939822,0.8965912358306015,0.9999999999999998,Diving ducks,1
1970s,Aythya_fuligula,0.14312852090921882,0.8568714790907814,1.0000000000000002,Diving ducks,1
1970s,Cygnus_olor,0.138512740825073,0.8614872591749279,1.0000000000000009,Grazing waterfowl,1
1970s,Mareca_strepera,0.3811582247623194,0.6188417752376814,1.0000000000000009,Dabbling ducks,1
1970s,Mergus_merganser,0.27864745948819664,0.7213525405118028,0.9999999999999993,Aquatic pursuers,1
1970s,Mergus_serrator,0.4595973831814283,0.540402616818572,1.0000000000000004,Aquatic pursuers,1
1970s,Somateria_mollissima,0.6788950427132587,0.3211049572867416,1.0000000000000004,Diving ducks,1
1970s,Spatula_clypeata,0.17521266384742729,0.8247873361525729,1.0000000000000002,Dabbling ducks,1
1970s,Spatula_querquedula,0.1429480553945406,0.8570519446054593,0.9999999999999999,Dabbling ducks,1
1970s,Tadorna_tadorna,0.33981691518615775,0.6601830848138425,1.0000000000000002,Dabbling ducks,1
1970s,Apus_apus,0.2680630984890097,0.7319369015109902,1,Aerial insectivores,1
1970s,Caprimulgus_europaeus,0.6156685011975772,0.3843314988024243,1.0000000000000016,Nigthjars,1
1970s,Anarhynchus_alexandrinus,0.6337142352693594,0.3662857647306402,0.9999999999999996,Plovers,1
1970s,Calidris_alpina,0.38926314998348555,0.6107368500165142,0.9999999999999998,Scolopacids,1
1970s,Calidris_pugnax,0.332617809238904,0.6673821907610967,1.0000000000000007,Scolopacids,1
1970s,Charadrius_dubius,0.3954120460061583,0.6045879539938418,1,Plovers,1
1970s,Charadrius_hiaticula,0.5765482154736479,0.423451784526352,0.9999999999999999,Plovers,1
1970s,Chlidonias_niger,0.23056582296162642,0.769434177038373,0.9999999999999994,Terns,1
1970s,Chroicocephalus_ridibundus,0.155822971268098,0.8441770287319024,1.0000000000000004,Gulls,1
1970s,Gallinago_gallinago,0.11928267737004714,0.8807173226299522,0.9999999999999993,Scolopacids,1
1970s,Haematopus_ostralegus,0.5001765273279661,0.4998234726720337,0.9999999999999998,Plovers,1
1970s,Larus_argentatus,0.40293461829750593,0.5970653817024939,0.9999999999999998,Gulls,1
1970s,Larus_canus,0.33049147802390627,0.6695085219760937,1,Gulls,1
1970s,Larus_fuscus,0.7071923185375634,0.29280768146243713,1.0000000000000004,Gulls,1
1970s,Larus_marinus,0.6471373765282082,0.3528626234717925,1.0000000000000007,Gulls,1
