atlas,atlas_index,foraging_guild,n_species,mean_environment_explained,sd_environment_explained,mean_unexplained,sd_unexplained
1970s,1,Aerial insectivores,4,0.25467233225324754,0.026387846364090653,0.7453276677467532,0.026387846364090882
1990s,2,Aerial insectivores,4,0.2887431498364965,0.10499032865820114,0.711256850163503,0.10499032865820113
2010s,3,Aerial insectivores,4,0.34432050092181754,0.20595604475033194,0.6556794990781825,0.2059560447503317
1970s,1,Aquatic pursuers,6,0.24273123767966254,0.1184873767429265,0.7572687623203374,0.11848737674292649
1990s,2,Aquatic pursuers,6,0.3191607230981518,0.2746018953826453,0.6808392769018488,0.2746018953826453
2010s,3,Aquatic pursuers,6,0.27852161157376976,0.13805416358444983,0.7214783884262302,0.13805416358444977
1970s,1,Buntings,3,0.17705755846404417,0.08907074284747325,0.8229424415359557,0.0890707428474726
1990s,2,Buntings,3,0.3199667315981809,0.13398955239303156,0.6800332684018183,0.13398955239303173
2010s,3,Buntings,3,0.3154290255279808,0.1107659346624015,0.6845709744720189,0.11076593466240171
1970s,1,Columbids,4,0.2744985853347359,0.08486489330913984,0.7255014146652644,0.08486489330914009
1990s,2,Columbids,4,0.4534781999798087,0.21689081669278223,0.5465218000201912,0.21689081669278204
2010s,3,Columbids,4,0.42329577288360354,0.17483504183958512,0.5767042271163966,0.1748350418395852
1970s,1,Cuckoos,1,0.12905611187624236,NA,0.870943888123758,NA
1990s,2,Cuckoos,1,0.19707742961395475,NA,0.802922570386045,NA
2010s,3,Cuckoos,1,0.436781913844955,NA,0.563218086155046,NA
1970s,1,Dabbling ducks,7,0.2491127947062942,0.1212311457927332,0.7508872052937061,0.121231145792733
1990s,2,Dabbling ducks,7,0.2644212273751196,0.11007257008251335,0.73557877262488,0.11007257008251345
2010s,3,Dabbling ducks,7,0.371402796293903,0.13632960099075153,0.6285972037060973,0.13632960099075137
1970s,1,Dippers,1,0.469590591139559,NA,0.5304094088604411,NA
1990s,2,Dippers,1,0.8160883874178223,NA,0.1839116125821769,NA
2010s,3,Dippers,1,0.8196264554488507,NA,0.18037354455114923,NA
1970s,1,Diurnal raptors,7,0.3352982132475917,0.15556726426948417,0.6647017867524087,0.15556726426948436
1990s,2,Diurnal raptors,7,0.3750055638713594,0.13600408012291038,0.6249944361286405,0.13600408012291032
2010s,3,Diurnal raptors,7,0.37845917233562315,0.15077162810415734,0.6215408276643769,0.1507716281041578
1970s,1,Diving ducks,3,0.30847744259729193,0.32140521717237547,0.6915225574027082,0.32140521717237525
1990s,2,Diving ducks,3,0.26935040845341346,0.309121222202713,0.7306495915465867,0.30912122220271343
2010s,3,Diving ducks,3,0.34693103192972063,0.25137050122970706,0.6530689680702794,0.25137050122970706
1970s,1,Flycatchers,3,0.2587025494010496,0.1377320778171559,0.74129745059895,0.13773207781715477
1990s,2,Flycatchers,3,0.24243145119183884,0.18101017312045206,0.7575685488081614,0.1810101731204519
2010s,3,Flycatchers,3,0.4135228405648227,0.21929780822564302,0.586477159435177,0.2192978082256427
1970s,1,Foliage gleaners,9,0.1347820624664568,0.08598614206369574,0.8652179375335428,0.0859861420636959
1990s,2,Foliage gleaners,9,0.17924306552357652,0.10573742123291031,0.8207569344764241,0.10573742123291097
2010s,3,Foliage gleaners,9,0.3413622988183479,0.07706959296945591,0.6586377011816522,0.07706959296945574
1970s,1,Gallinaceous birds,2,0.23925810345869378,0.1856987631057048,0.7607418965413049,0.18569876310570418
1990s,2,Gallinaceous birds,2,0.2447699224959566,0.13418336215486976,0.755230077504044,0.13418336215486934
2010s,3,Gallinaceous birds,2,0.36237331988669563,0.08608450262040394,0.6376266801133041,0.08608450262040433
1970s,1,Grazing waterfowl,2,0.11399077950387554,0.03467929027642592,0.8860092204961248,0.03467929027642525
1990s,2,Grazing waterfowl,2,0.15866489189223915,0.0111499987966718,0.8413351081077611,0.011149998796672448
2010s,3,Grazing waterfowl,2,0.15977443235274646,0.0010769712497053058,0.8402255676472541,0.001076971249705345
1970s,1,Gulls,5,0.4487157525310564,0.22805720153866377,0.5512842474689439,0.22805720153866355
1990s,2,Gulls,5,0.4137593003012698,0.13666853010074234,0.5862406996987304,0.13666853010074267
2010s,3,Gulls,5,0.4257082194169221,0.1293204266431221,0.5742917805830776,0.12932042664312188
1970s,1,Kingfishers,1,0.33582768463415213,NA,0.6641723153658476,NA
1990s,2,Kingfishers,1,0.3164273235906384,NA,0.6835726764093613,NA
2010s,3,Kingfishers,1,0.4124802622173151,NA,0.5875197377826847,NA
1970s,1,Low flycatching feeders,9,0.19973985066817906,0.11711341453587008,0.8002601493318211,0.11711341453587065
1990s,2,Low flycatching feeders,9,0.2604166103191711,0.1715449306826668,0.7395833896808287,0.1715449306826672
2010s,3,Low flycatching feeders,9,0.42106697162513773,0.14962879111272434,0.5789330283748618,0.14962879111272423
1970s,1,Marsh warblers,6,0.1412269591566048,0.018045414905738938,0.858773040843395,0.018045414905738993
1990s,2,Marsh warblers,6,0.29904160881888586,0.07675805501303591,0.7009583911811137,0.07675805501303604
2010s,3,Marsh warblers,6,0.3330956437685733,0.04736847866012693,0.6669043562314269,0.04736847866012666
1970s,1,Nigthjars,1,0.6156685011975772,NA,0.3843314988024243,NA
1990s,2,Nigthjars,1,0.5172744260106513,NA,0.4827255739893487,NA
2010s,3,Nigthjars,1,0.4647802702034167,NA,0.5352197297965834,NA
1970s,1,Omnivorous corvids,7,0.33985632752686845,0.2443508271506636,0.6601436724731315,0.24435082715066372
1990s,2,Omnivorous corvids,7,0.4354158193412551,0.2679042859365371,0.564584180658745,0.267904285936537
2010s,3,Omnivorous corvids,7,0.549585110924644,0.2484852631359391,0.45041488907535593,0.2484852631359394
1970s,1,Open-land insectivores,6,0.25843398604921597,0.15818905205063066,0.7415660139507838,0.1581890520506306
1990s,2,Open-land insectivores,6,0.33270467849839863,0.1795657830824224,0.6672953215016013,0.17956578308242233
2010s,3,Open-land insectivores,6,0.49190658099219137,0.26618670320763066,0.5080934190078092,0.2661867032076302
1970s,1,Orioles,1,0.19920608040353563,NA,0.800793919596465,NA
1990s,2,Orioles,1,0.5840851666711858,NA,0.4159148333288144,NA
2010s,3,Orioles,1,0.7700358996668294,NA,0.2299641003331707,NA
1970s,1,Owls,5,0.3140434013235346,0.2005963620877807,0.6859565986764654,0.20059636208778017
1990s,2,Owls,5,0.354007542255723,0.2035021058928866,0.6459924577442768,0.20350210589288642
2010s,3,Owls,5,0.5269241226103423,0.2955157112684665,0.47307587738965784,0.2955157112684656
1970s,1,Passerine seedeaters,12,0.2722300866918815,0.19070760304808354,0.7277699133081185,0.19070760304808346
1990s,2,Passerine seedeaters,12,0.27942328541670197,0.12674518436096976,0.7205767145832979,0.1267451843609697
2010s,3,Passerine seedeaters,12,0.42403743660276594,0.17267063040599792,0.5759625633972341,0.17267063040599814
1970s,1,Plovers,6,0.45629737541320237,0.16841644017841909,0.5437026245867973,0.16841644017841897
1990s,2,Plovers,6,0.4445834032726329,0.16257308272629403,0.5554165967273671,0.16257308272629398
2010s,3,Plovers,6,0.5358632963565251,0.26675046130857216,0.46413670364347487,0.2667504613085725
1970s,1,Rails,5,0.15490956232165198,0.07062247352694716,0.8450904376783475,0.07062247352694767
1990s,2,Rails,5,0.21023295437880768,0.10356130350107899,0.7897670456211925,0.10356130350107905
2010s,3,Rails,5,0.21689034177572644,0.05426419044992348,0.7831096582242739,0.05426419044992322
1970s,1,Reedlings,1,0.41116567341887394,NA,0.5888343265811252,NA
1990s,2,Reedlings,1,0.37347211862283136,NA,0.6265278813771697,NA
2010s,3,Reedlings,1,0.545453880078871,NA,0.4545461199211292,NA
1970s,1,Scolopacids,9,0.4575112417681357,0.20228688641909978,0.5424887582318645,0.20228688641909937
1990s,2,Scolopacids,9,0.42904789674023686,0.12094181989692676,0.5709521032597631,0.12094181989692648
2010s,3,Scolopacids,9,0.510019723595144,0.10871749479234802,0.4899802764048562,0.1087174947923478
1970s,1,Shrikes,2,0.5546183775227034,0.24558201100190938,0.4453816224772972,0.2455820110019098
1990s,2,Shrikes,2,0.5245984899218101,0.06132536642964879,0.4754015100781892,0.061325366429649496
2010s,3,Shrikes,2,0.712533640691795,0.057897805878186624,0.2874663593082047,0.05789780587818676
1970s,1,Starlings,1,0.23540019134220524,NA,0.764599808657794,NA
1990s,2,Starlings,1,0.22737342665749494,NA,0.7726265733425047,NA
2010s,3,Starlings,1,0.36592121316763937,NA,0.6340787868323603,NA
1970s,1,Terns,5,0.46263692959277664,0.15041487186747618,0.5373630704072239,0.1504148718674757
