foraging_guild,n_species,mean_environment_explained_1970s,mean_environment_explained_2010s,delta_environment_explained,increasingly_explained,mean_unexplained_1970s,mean_unexplained_2010s,delta_unexplained
Orioles,1,0.19920608040353563,0.7700358996668294,0.5708298192632938,TRUE,0.800793919596465,0.2299641003331707,-0.5708298192632942
Dippers,1,0.469590591139559,0.8196264554488507,0.35003586430929173,TRUE,0.5304094088604411,0.18037354455114923,-0.35003586430929184
Cuckoos,1,0.12905611187624236,0.436781913844955,0.3077258019687127,TRUE,0.870943888123758,0.563218086155046,-0.307725801968712
Open-land insectivores,6,0.25843398604921597,0.49190658099219137,0.2334725949429754,TRUE,0.7415660139507838,0.5080934190078092,-0.23347259494297457
Low flycatching feeders,9,0.19973985066817906,0.42106697162513773,0.22132712095695867,TRUE,0.8002601493318211,0.5789330283748618,-0.22132712095695928
Owls,5,0.3140434013235346,0.5269241226103423,0.21288072128680768,TRUE,0.6859565986764654,0.47307587738965784,-0.21288072128680757
Omnivorous corvids,7,0.33985632752686845,0.549585110924644,0.20972878339777556,TRUE,0.6601436724731315,0.45041488907535593,-0.20972878339777562
Foliage gleaners,9,0.1347820624664568,0.3413622988183479,0.2065802363518911,TRUE,0.8652179375335428,0.6586377011816522,-0.2065802363518906
Marsh warblers,6,0.1412269591566048,0.3330956437685733,0.19186868461196852,TRUE,0.858773040843395,0.6669043562314269,-0.19186868461196815
Thrushes,4,0.2314731949809657,0.4174369909041312,0.18596379592316553,TRUE,0.768526805019035,0.5825630090958689,-0.18596379592316614
Shrikes,2,0.5546183775227034,0.712533640691795,0.15791526316909166,TRUE,0.4453816224772972,0.2874663593082047,-0.1579152631690925
Flycatchers,3,0.2587025494010496,0.4135228405648227,0.1548202911637731,TRUE,0.74129745059895,0.586477159435177,-0.15482029116377305
Passerine seedeaters,12,0.2722300866918815,0.42403743660276594,0.15180734991088446,TRUE,0.7277699133081185,0.5759625633972341,-0.1518073499108844
Columbids,4,0.2744985853347359,0.42329577288360354,0.14879718754886762,TRUE,0.7255014146652644,0.5767042271163966,-0.14879718754886784
Terns,5,0.46263692959277664,0.6079391301971852,0.14530220060440852,TRUE,0.5373630704072239,0.3920608698028153,-0.14530220060440857
Buntings,3,0.17705755846404417,0.3154290255279808,0.13837146706393663,TRUE,0.8229424415359557,0.6845709744720189,-0.13837146706393688
Reedlings,1,0.41116567341887394,0.545453880078871,0.13428820665999702,TRUE,0.5888343265811252,0.4545461199211292,-0.13428820665999602
Starlings,1,0.23540019134220524,0.36592121316763937,0.13052102182543412,TRUE,0.764599808657794,0.6340787868323603,-0.13052102182543368
Tit-like birds,12,0.1735010779443975,0.29727177651282644,0.12377069856842893,TRUE,0.8264989220556027,0.7027282234871736,-0.12377069856842915
Gallinaceous birds,2,0.23925810345869378,0.36237331988669563,0.12311521642800186,TRUE,0.7607418965413049,0.6376266801133041,-0.12311521642800072
Dabbling ducks,7,0.2491127947062942,0.371402796293903,0.1222900015876088,TRUE,0.7508872052937061,0.6285972037060973,-0.12229000158760883
Aerial insectivores,4,0.25467233225324754,0.34432050092181754,0.08964816866857,TRUE,0.7453276677467532,0.6556794990781825,-0.08964816866857073
Plovers,6,0.45629737541320237,0.5358632963565251,0.07956592094332271,TRUE,0.5437026245867973,0.46413670364347487,-0.07956592094332243
Kingfishers,1,0.33582768463415213,0.4124802622173151,0.07665257758316296,TRUE,0.6641723153658476,0.5875197377826847,-0.0766525775831629
Rails,5,0.15490956232165198,0.21689034177572644,0.06198077945407446,TRUE,0.8450904376783475,0.7831096582242739,-0.06198077945407354
Wading birds,2,0.37133417092780097,0.43207908452983523,0.06074491360203427,TRUE,0.6286658290721996,0.5679209154701645,-0.060744913602035044
Scolopacids,9,0.4575112417681357,0.510019723595144,0.052508481827008346,TRUE,0.5424887582318645,0.4899802764048562,-0.05250848182700829
Grazing waterfowl,2,0.11399077950387554,0.15977443235274646,0.045783652848870926,TRUE,0.8860092204961248,0.8402255676472541,-0.04578365284887076
Diurnal raptors,7,0.3352982132475917,0.37845917233562315,0.04316095908803147,TRUE,0.6647017867524087,0.6215408276643769,-0.04316095908803175
Diving ducks,3,0.30847744259729193,0.34693103192972063,0.038453589332428706,TRUE,0.6915225574027082,0.6530689680702794,-0.03845358933242882
Aquatic pursuers,6,0.24273123767966254,0.27852161157376976,0.03579037389410722,TRUE,0.7572687623203374,0.7214783884262302,-0.03579037389410711
Woodpeckers,5,0.3545440769455131,0.37436459525293236,0.019820518307419266,TRUE,0.645455923054487,0.6256354047470675,-0.019820518307419488
Gulls,5,0.4487157525310564,0.4257082194169221,-0.023007533114134282,FALSE,0.5512842474689439,0.5742917805830776,0.023007533114133727
Nigthjars,1,0.6156685011975772,0.4647802702034167,-0.1508882309941605,FALSE,0.3843314988024243,0.5352197297965834,0.1508882309941591
