atlas,atlas_num,chain,iteration,rho,draw_id
1970s,1,1,1,0.86,1
1970s,1,1,2,0.88,2
1970s,1,1,3,0.87,3
1970s,1,1,4,0.83,4
1970s,1,1,5,0.82,5
1970s,1,1,6,0.83,6
1970s,1,1,7,0.93,7
1970s,1,1,8,0.78,8
1970s,1,1,9,0.99,9
1970s,1,1,10,0.93,10
1970s,1,1,11,0.9,11
1970s,1,1,12,0.96,12
1970s,1,1,13,0.95,13
1970s,1,1,14,0.83,14
1970s,1,1,15,0.95,15
1970s,1,1,16,0.83,16
1970s,1,1,17,0.86,17
1970s,1,1,18,0.83,18
1970s,1,1,19,0.93,19
1970s,1,1,20,0.88,20
1970s,1,1,21,0.91,21
1970s,1,1,22,0.9,22
1970s,1,1,23,0.85,23
1970s,1,1,24,0.94,24
1970s,1,1,25,0.85,25
1970s,1,1,26,0.83,26
1970s,1,1,27,0.87,27
1970s,1,1,28,0.94,28
1970s,1,1,29,0.88,29
1970s,1,1,30,0.88,30
1970s,1,1,31,0.83,31
1970s,1,1,32,0.87,32
1970s,1,1,33,0.92,33
1970s,1,1,34,0.85,34
1970s,1,1,35,0.82,35
1970s,1,1,36,0.88,36
1970s,1,1,37,0.91,37
1970s,1,1,38,0.91,38
1970s,1,1,39,0.77,39
1970s,1,1,40,0.87,40
1970s,1,1,41,0.84,41
1970s,1,1,42,0.9,42
1970s,1,1,43,0.9,43
1970s,1,1,44,0.79,44
1970s,1,1,45,0.85,45
1970s,1,1,46,0.92,46
1970s,1,1,47,0.96,47
1970s,1,1,48,0.9,48
1970s,1,1,49,0.88,49
1970s,1,1,50,0.87,50
1970s,1,1,51,0.88,51
1970s,1,1,52,0.8,52
1970s,1,1,53,0.89,53
1970s,1,1,54,0.81,54
1970s,1,1,55,0.9,55
1970s,1,1,56,0.94,56
1970s,1,1,57,0.93,57
1970s,1,1,58,0.87,58
1970s,1,1,59,0.9,59
1970s,1,1,60,0.9,60
1970s,1,1,61,0.9,61
1970s,1,1,62,0.85,62
1970s,1,1,63,0.84,63
1970s,1,1,64,0.9,64
1970s,1,1,65,0.9,65
1970s,1,1,66,0.95,66
1970s,1,1,67,0.89,67
1970s,1,1,68,0.97,68
1970s,1,1,69,0.86,69
1970s,1,1,70,0.92,70
1970s,1,1,71,0.79,71
1970s,1,1,72,0.9,72
1970s,1,1,73,0.92,73
1970s,1,1,74,0.98,74
1970s,1,1,75,0.9,75
1970s,1,1,76,0.87,76
1970s,1,1,77,0.82,77
1970s,1,1,78,0.9,78
1970s,1,1,79,0.89,79
1970s,1,1,80,0.77,80
1970s,1,1,81,0.86,81
1970s,1,1,82,0.85,82
1970s,1,1,83,0.91,83
1970s,1,1,84,0.95,84
1970s,1,1,85,0.9,85
1970s,1,1,86,0.87,86
1970s,1,1,87,0.97,87
1970s,1,1,88,0.82,88
1970s,1,1,89,0.89,89
1970s,1,1,90,0.96,90
1970s,1,1,91,0.91,91
1970s,1,1,92,0.91,92
1970s,1,1,93,0.77,93
1970s,1,1,94,0.9,94
1970s,1,1,95,0.91,95
1970s,1,1,96,0.87,96
1970s,1,1,97,0.98,97
1970s,1,1,98,0.94,98
1970s,1,1,99,0.93,99
1970s,1,1,100,0.84,100
1970s,1,1,101,0.83,101
1970s,1,1,102,0.89,102
1970s,1,1,103,0.77,103
1970s,1,1,104,0.89,104
1970s,1,1,105,0.9,105
1970s,1,1,106,0.71,106
1970s,1,1,107,0.91,107
1970s,1,1,108,0.88,108
1970s,1,1,109,0.89,109
1970s,1,1,110,0.88,110
1970s,1,1,111,0.91,111
1970s,1,1,112,0.91,112
1970s,1,1,113,0.89,113
1970s,1,1,114,0.85,114
1970s,1,1,115,0.89,115
1970s,1,1,116,0.92,116
1970s,1,1,117,0.82,117
1970s,1,1,118,0.8,118
1970s,1,1,119,0.9,119
1970s,1,1,120,0.75,120
1970s,1,1,121,0.91,121
1970s,1,1,122,0.88,122
1970s,1,1,123,0.97,123
1970s,1,1,124,0.96,124
1970s,1,1,125,0.86,125
1970s,1,1,126,0.85,126
1970s,1,1,127,0.83,127
1970s,1,1,128,0.93,128
1970s,1,1,129,0.93,129
1970s,1,1,130,0.91,130
1970s,1,1,131,0.87,131
1970s,1,1,132,0.99,132
1970s,1,1,133,0.97,133
1970s,1,1,134,0.92,134
1970s,1,1,135,0.88,135
1970s,1,1,136,0.85,136
1970s,1,1,137,0.86,137
1970s,1,1,138,0.9,138
1970s,1,1,139,0.92,139
1970s,1,1,140,0.84,140
1970s,1,1,141,0.95,141
1970s,1,1,142,0.92,142
1970s,1,1,143,0.85,143
1970s,1,1,144,0.89,144
1970s,1,1,145,0.88,145
1970s,1,1,146,0.87,146
1970s,1,1,147,0.92,147
1970s,1,1,148,0.92,148
1970s,1,1,149,0.84,149
1970s,1,1,150,0.89,150
1970s,1,1,151,0.84,151
1970s,1,1,152,0.9,152
1970s,1,1,153,0.91,153
1970s,1,1,154,0.9,154
1970s,1,1,155,0.9,155
1970s,1,1,156,0.79,156
1970s,1,1,157,0.87,157
1970s,1,1,158,0.91,158
1970s,1,1,159,0.91,159
1970s,1,1,160,0.84,160
1970s,1,1,161,0.89,161
1970s,1,1,162,0.89,162
1970s,1,1,163,0.89,163
1970s,1,1,164,0.91,164
1970s,1,1,165,0.81,165
1970s,1,1,166,0.89,166
1970s,1,1,167,0.9,167
1970s,1,1,168,0.89,168
1970s,1,1,169,0.81,169
1970s,1,1,170,0.89,170
1970s,1,1,171,0.92,171
1970s,1,1,172,0.84,172
1970s,1,1,173,0.95,173
1970s,1,1,174,0.95,174
1970s,1,1,175,0.86,175
1970s,1,1,176,0.88,176
1970s,1,1,177,0.92,177
1970s,1,1,178,0.83,178
1970s,1,1,179,0.84,179
1970s,1,1,180,0.9,180
1970s,1,1,181,0.85,181
1970s,1,1,182,0.9,182
1970s,1,1,183,0.97,183
1970s,1,1,184,0.88,184
1970s,1,1,185,0.92,185
1970s,1,1,186,0.83,186
1970s,1,1,187,0.86,187
1970s,1,1,188,0.85,188
1970s,1,1,189,0.91,189
1970s,1,1,190,0.71,190
1970s,1,1,191,0.74,191
1970s,1,1,192,0.81,192
1970s,1,1,193,0.84,193
1970s,1,1,194,0.83,194
1970s,1,1,195,0.92,195
1970s,1,1,196,0.94,196
1970s,1,1,197,0.77,197
1970s,1,1,198,0.88,198
1970s,1,1,199,0.99,199
1970s,1,1,200,0.94,200
1970s,1,1,201,0.89,201
1970s,1,1,202,0.83,202
1970s,1,1,203,0.91,203
1970s,1,1,204,0.88,204
1970s,1,1,205,0.86,205
1970s,1,1,206,0.75,206
1970s,1,1,207,0.87,207
1970s,1,1,208,0.97,208
1970s,1,1,209,0.89,209
1970s,1,1,210,0.77,210
1970s,1,1,211,0.92,211
1970s,1,1,212,0.88,212
1970s,1,1,213,0.92,213
1970s,1,1,214,0.86,214
1970s,1,1,215,0.83,215
1970s,1,1,216,0.86,216
1970s,1,1,217,0.86,217
1970s,1,1,218,0.98,218
1970s,1,1,219,0.82,219
1970s,1,1,220,0.79,220
1970s,1,1,221,0.91,221
1970s,1,1,222,0.86,222
1970s,1,1,223,0.99,223
1970s,1,1,224,0.85,224
1970s,1,1,225,0.92,225
1970s,1,1,226,0.84,226
1970s,1,1,227,0.86,227
1970s,1,1,228,0.89,228
1970s,1,1,229,0.92,229
1970s,1,1,230,0.91,230
1970s,1,1,231,0.82,231
1970s,1,1,232,0.86,232
1970s,1,1,233,0.92,233
1970s,1,1,234,0.94,234
1970s,1,1,235,0.88,235
1970s,1,1,236,0.85,236
1970s,1,1,237,0.83,237
1970s,1,1,238,0.84,238
1970s,1,1,239,0.92,239
1970s,1,1,240,0.83,240
1970s,1,1,241,0.86,241
1970s,1,1,242,0.84,242
1970s,1,1,243,0.78,243
1970s,1,1,244,0.89,244
1970s,1,1,245,0.88,245
1970s,1,1,246,0.88,246
1970s,1,1,247,0.82,247
1970s,1,1,248,0.84,248
1970s,1,1,249,0.86,249
1970s,1,1,250,0.87,250
1970s,1,2,1,0.81,251
1970s,1,2,2,0.98,252
1970s,1,2,3,0.87,253
1970s,1,2,4,0.91,254
