atlas,period,survey,site,X,Y,bioregion,nearest_distance,second_distance,assignment_margin
1,1970,AD90_1,AD90,447500.0709493527,6252499.57832838,Cluster 1,0.3370964684547521,0.47962903123546374,0.14253256278071164
1,1970,BD19_1,BD19,457500.063487968,6297499.744964002,Cluster 1,0.15901569563208967,0.21885158268759783,0.05983588705550816
1,1970,DC09_1,DC09,552499.6781305044,6347499.774804628,Cluster 1,0.06766610035159111,0.17297368301571586,0.10530758266412475
1,1970,DB11_1,DB11,557499.6898730142,6357499.755865983,Cluster 1,0.11644365866640324,0.11653045979630734,8.680112990409883e-5
1,1970,DB13_1,DB13,557499.6790873646,6367499.744899912,Cluster 2,0.23024575923500581,0.24420389638560988,0.013958137150604066
1,1970,DB14_1,DB14,557499.6920318474,6372499.795985679,Cluster 2,0.1065521050416677,0.1488038700459405,0.0422517650042728
1,1970,DB15_1,DB15,557499.6776623846,6377499.772861233,Cluster 2,0.08608418727874476,0.16907089493703487,0.08298670765829011
1,1970,DB16_1,DB16,557499.6934591797,6382499.787658613,Cluster 1,0.06815138730663833,0.15255954827886023,0.0844081609722219
1,1970,BD20_1,BD20,462500.0521724849,6252499.692892568,Cluster 1,0.1303972100270047,0.14921802932958186,0.018820819302577174
1,1970,DB20_1,DB20,562499.6596629414,6352499.822055593,Cluster 2,0.16277080895075874,0.2114960146420933,0.04872520569133457
1,1970,DB21_1,DB21,562499.6778171846,6357499.774650563,Cluster 1,0.2607800940741561,0.26630258000999013,0.005522485935834043
1,1970,DB22_1,DB22,562499.6515363256,6362499.764446196,Cluster 1,0.24477706018666645,0.34162437711056587,0.09684731692389942
1,1970,DB23_1,DB23,562499.6400820935,6367499.792328508,Cluster 1,0.21990502040038865,0.22343553503739935,0.0035305146370107066
1,1970,DB24_1,DB24,562499.6441820732,6372499.746949654,Cluster 2,0.07277617441121956,0.13761762547857784,0.06484145106735828
1,1970,DB25_1,DB25,562499.6611575983,6377499.739594084,Cluster 2,0.0470256435095484,0.1547758489703479,0.1077502054607995
1,1970,DB26_1,DB26,562499.6900292314,6382499.770230629,Cluster 2,0.10062417866830677,0.12024662173953084,0.01962244307122407
1,1970,DB31_1,DB31,567499.6497347835,6357499.773935058,Cluster 2,0.2093432625282363,0.252105726386473,0.042762463858236704
1,1970,DB32_1,DB32,567499.649767541,6362499.788996397,Cluster 2,0.10001300469544319,0.158813735789355,0.05880073109391182
1,1970,BD21_1,BD21,462500.04652625887,6257499.613366459,Cluster 2,0.14522280218956354,0.22783058429056624,0.0826077821010027
1,1970,DB33_1,DB33,567499.6483663965,6367499.730884405,Cluster 1,0.13030284358224994,0.18248798450672685,0.0521851409244769
1,1970,DB34_1,DB34,567499.6427126657,6372499.710880268,Cluster 3,0.10704066172511278,0.14106284262626803,0.03402218090115525
