atlas,row_var_raw,row_var,mean_variance,median_variance,lower_95,upper_95
1970s,tmean_breeding,Temperature,2.421401448934211,2.3720880550310657,1.651559336767607,3.4306901142294732
1990s,tmean_breeding,Temperature,2.538359069457823,2.502450705282217,1.8094825945226116,3.4849582401281274
2010s,tmean_breeding,Temperature,1.4916984556819788,1.473737876055277,1.0618519969322098,2.017758297456507
1970s,prec_breeding,Precipitation,6.671374937628912e-4,6.51947340223197e-4,4.8409536996606563e-4,9.493521037438371e-4
1990s,prec_breeding,Precipitation,2.3019735461165083e-4,2.2623233984747247e-4,1.616259789959427e-4,3.227646612468978e-4
2010s,prec_breeding,Precipitation,1.839072451591165e-4,1.8027520211182286e-4,1.2998919195859285e-4,2.557805598046923e-4
1970s,hh,Land-use heterogeneity,0.7963332307245893,0.7817202650375201,0.5453166686499588,1.1521571191489175
1990s,hh,Land-use heterogeneity,0.8320403542243731,0.8143680943275458,0.5782028571745885,1.1810531082133697
2010s,hh,Land-use heterogeneity,0.7956321624442407,0.7826840078417889,0.5643744726285779,1.104649663548847
1970s,perc_urban,Urban,2.7957750140431146,2.7452791814726254,1.9780069517403804,3.845930988512621
1990s,perc_urban,Urban,2.597356403016201,2.5386769789699954,1.850573517247311,3.6629155906888893
2010s,perc_urban,Urban,3.0185712570230514,2.971565771323897,2.171668826555618,4.045415804040727
1970s,perc_cropland,Cropland,0.940856132901471,0.9208984456049077,0.6313303785054554,1.331521931538646
1990s,perc_cropland,Cropland,1.0077146397643602,0.984391423816821,0.7212533553098466,1.4120058415122372
2010s,perc_cropland,Cropland,0.95284285441194,0.9351453172343697,0.6857327894954971,1.3081310815316354
1970s,perc_pasture,Pasture,2.439524233799335,2.402803870869655,1.8190490459753976,3.3423467193706276
1990s,perc_pasture,Pasture,2.943977965240591,2.900869869042245,2.088262089915723,4.017815540298157
2010s,perc_pasture,Pasture,3.40862829885645,3.3887175805330534,2.432224198955675,4.622288663807015
1970s,perc_forest,Forest,3.204391953870459,3.1310738968168996,2.1843316051808794,4.616978097537033
1990s,perc_forest,Forest,3.6504033435590566,3.5892687060535797,2.564655953636762,5.0136814652312065
2010s,perc_forest,Forest,3.7267065262175203,3.6686022129145246,2.7095885308007497,5.100799687535004
1970s,perc_grass_shrub,Grass/shrubland,4.383350507746846,4.350660344140261,3.078900209669253,5.987217875761671
1990s,perc_grass_shrub,Grass/shrubland,4.358661203465695,4.283864096911284,3.079294221546078,6.057097230112178
2010s,perc_grass_shrub,Grass/shrubland,6.238442348956931,6.177880107457193,4.388370464893036,8.562504411191712
