atlas,row_var_raw,col_var_raw,row_var,col_var,mean_correlation,median_correlation,lower_95,upper_95,prob_positive,supported
1970s,perc_grass_shrub,tmean_breeding,Grass/shrubland,Temperature,-0.14519105618809047,-0.14270344254418182,-0.3835657776839391,0.08328527445994416,0.108,FALSE
1970s,perc_grass_shrub,prec_breeding,Grass/shrubland,Precipitation,0.1944933427624951,0.19954467453915575,-0.03366128021619145,0.40790577478266976,0.953,TRUE
1970s,perc_grass_shrub,hh,Grass/shrubland,Land-use heterogeneity,-0.37534161551161555,-0.379944975469087,-0.5585729131638552,-0.15931758190747183,0.001,TRUE
1970s,perc_grass_shrub,perc_urban,Grass/shrubland,Urban,0.29818808536961183,0.3042720735056159,0.08200488400837025,0.4913518414069687,0.998,TRUE
1970s,perc_grass_shrub,perc_cropland,Grass/shrubland,Cropland,0.437626979707558,0.44004956034044723,0.23446335673436342,0.6127985707773307,1,TRUE
1970s,perc_grass_shrub,perc_pasture,Grass/shrubland,Pasture,0.18284546347971165,0.18775040862146236,-0.024069010350119754,0.3974484822332493,0.947,FALSE
1970s,perc_grass_shrub,perc_forest,Grass/shrubland,Forest,0.3829066053740924,0.3901703443255481,0.1674880335305201,0.5724845008260729,0.999,TRUE
1970s,perc_forest,tmean_breeding,Forest,Temperature,-0.2641649795427973,-0.26871818869394476,-0.46249514964386723,-0.050596954099328566,0.006,TRUE
1970s,perc_forest,prec_breeding,Forest,Precipitation,0.3008963081729517,0.29844296327958963,0.09681506292792214,0.5030122551641474,1,TRUE
1970s,perc_forest,hh,Forest,Land-use heterogeneity,-0.350475858773058,-0.3537840467994169,-0.5568733758401979,-0.11099119046708522,0.001,TRUE
1970s,perc_forest,perc_urban,Forest,Urban,0.3404723087355961,0.34215206907543383,0.12423193500654546,0.5352985049732978,1,TRUE
1970s,perc_forest,perc_cropland,Forest,Cropland,0.5707158377932682,0.5816029635098534,0.3934750955475554,0.7189403843502062,1,TRUE
1970s,perc_forest,perc_pasture,Forest,Pasture,0.18067283217222413,0.18665730834977162,-0.034183941603759344,0.39713355105167963,0.952,TRUE
1970s,perc_forest,perc_grass_shrub,Forest,Grass/shrubland,0.3829066053740924,0.39017034432554815,0.1674880335305201,0.5724845008260729,0.999,TRUE
1970s,perc_pasture,tmean_breeding,Pasture,Temperature,-0.04295984375768986,-0.04763373276502991,-0.2642814832545399,0.2041313553888001,0.359,FALSE
1970s,perc_pasture,prec_breeding,Pasture,Precipitation,0.17653222658139778,0.17606575724181478,-0.061952971768587384,0.4214257911340086,0.924,FALSE
1970s,perc_pasture,hh,Pasture,Land-use heterogeneity,-0.2720438252917901,-0.2726150165213269,-0.4780400295592735,-0.06136196497359263,0.006,TRUE
1970s,perc_pasture,perc_urban,Pasture,Urban,0.19471206567024685,0.1961018692287082,-0.02169575383976889,0.39879474574148166,0.955,TRUE
1970s,perc_pasture,perc_cropland,Pasture,Cropland,0.2189470568691185,0.22356854965979434,-0.017281823661064722,0.43062667011810324,0.962,TRUE
1970s,perc_pasture,perc_forest,Pasture,Forest,0.18067283217222413,0.18665730834977162,-0.03418394160375934,0.39713355105167963,0.952,TRUE
1970s,perc_pasture,perc_grass_shrub,Pasture,Grass/shrubland,0.18284546347971165,0.18775040862146236,-0.024069010350119754,0.39744848223324925,0.947,FALSE
1970s,perc_cropland,tmean_breeding,Cropland,Temperature,-0.1937965492105257,-0.19180810999133716,-0.4120253703259698,0.02705520384156409,0.049,TRUE
1970s,perc_cropland,prec_breeding,Cropland,Precipitation,0.139517190387115,0.14006667279523494,-0.10803045986620238,0.3624650810452825,0.874,FALSE
1970s,perc_cropland,hh,Cropland,Land-use heterogeneity,-0.22721970619919923,-0.22947330177027853,-0.4537701128363177,0.018376607063001944,0.036,TRUE
1970s,perc_cropland,perc_urban,Cropland,Urban,0.48783173720511835,0.49050251575997295,0.30768138376388315,0.6487016591746151,1,TRUE
1970s,perc_cropland,perc_pasture,Cropland,Pasture,0.2189470568691185,0.22356854965979434,-0.017281823661064722,0.43062667011810324,0.962,TRUE
1970s,perc_cropland,perc_forest,Cropland,Forest,0.5707158377932682,0.5816029635098534,0.3934750955475554,0.7189403843502064,1,TRUE
1970s,perc_cropland,perc_grass_shrub,Cropland,Grass/shrubland,0.437626979707558,0.44004956034044723,0.23446335673436342,0.6127985707773307,1,TRUE
1970s,perc_urban,tmean_breeding,Urban,Temperature,-0.33958733531646706,-0.3406614354146904,-0.5233112514251563,-0.12653084012334873,0.002,TRUE
1970s,perc_urban,prec_breeding,Urban,Precipitation,-0.035488975459109035,-0.03744540064070825,-0.24435798640510448,0.19161702916173284,0.373,FALSE
1970s,perc_urban,hh,Urban,Land-use heterogeneity,-0.39037400069580425,-0.39571334783020906,-0.5686239664957886,-0.17588068162767378,0.001,TRUE
1970s,perc_urban,perc_cropland,Urban,Cropland,0.48783173720511835,0.49050251575997295,0.3076813837638832,0.6487016591746151,1,TRUE
1970s,perc_urban,perc_pasture,Urban,Pasture,0.19471206567024685,0.19610186922870818,-0.02169575383976889,0.39879474574148166,0.955,TRUE
1970s,perc_urban,perc_forest,Urban,Forest,0.3404723087355961,0.34215206907543383,0.12423193500654547,0.5352985049732978,1,TRUE
1970s,perc_urban,perc_grass_shrub,Urban,Grass/shrubland,0.29818808536961183,0.3042720735056159,0.08200488400837025,0.4913518414069687,0.998,TRUE
1970s,hh,tmean_breeding,Land-use heterogeneity,Temperature,0.26914461419213875,0.2713495202787847,0.026432923859152364,0.496277214307874,0.983,TRUE
1970s,hh,prec_breeding,Land-use heterogeneity,Precipitation,-0.20084564629226206,-0.20494756177862092,-0.41756324808553413,0.022319011042159394,0.047,TRUE
1970s,hh,perc_urban,Land-use heterogeneity,Urban,-0.39037400069580425,-0.39571334783020906,-0.5686239664957885,-0.17588068162767378,0.001,TRUE
1970s,hh,perc_cropland,Land-use heterogeneity,Cropland,-0.22721970619919923,-0.22947330177027853,-0.4537701128363177,0.018376607063001944,0.036,TRUE
1970s,hh,perc_pasture,Land-use heterogeneity,Pasture,-0.2720438252917901,-0.2726150165213269,-0.4780400295592735,-0.061361964973592635,0.006,TRUE
1970s,hh,perc_forest,Land-use heterogeneity,Forest,-0.350475858773058,-0.3537840467994169,-0.5568733758401979,-0.11099119046708522,0.001,TRUE
1970s,hh,perc_grass_shrub,Land-use heterogeneity,Grass/shrubland,-0.37534161551161555,-0.37994497546908707,-0.5585729131638552,-0.15931758190747183,0.001,TRUE
1970s,prec_breeding,tmean_breeding,Precipitation,Temperature,0.18671261779167664,0.190897459894402,-0.02945182953073662,0.39814943080441206,0.958,TRUE
1970s,prec_breeding,hh,Precipitation,Land-use heterogeneity,-0.20084564629226206,-0.2049475617786209,-0.41756324808553413,0.022319011042159394,0.047,TRUE
1970s,prec_breeding,perc_urban,Precipitation,Urban,-0.035488975459109035,-0.03744540064070824,-0.24435798640510448,0.19161702916173282,0.373,FALSE
1970s,prec_breeding,perc_cropland,Precipitation,Cropland,0.139517190387115,0.14006667279523494,-0.10803045986620237,0.3624650810452825,0.874,FALSE
1970s,prec_breeding,perc_pasture,Precipitation,Pasture,0.17653222658139778,0.1760657572418148,-0.061952971768587384,0.4214257911340085,0.924,FALSE
1970s,prec_breeding,perc_forest,Precipitation,Forest,0.3008963081729517,0.29844296327958963,0.09681506292792214,0.5030122551641475,1,TRUE
1970s,prec_breeding,perc_grass_shrub,Precipitation,Grass/shrubland,0.1944933427624951,0.19954467453915575,-0.03366128021619145,0.40790577478266976,0.953,TRUE
1970s,tmean_breeding,prec_breeding,Temperature,Precipitation,0.18671261779167664,0.190897459894402,-0.02945182953073662,0.39814943080441206,0.958,TRUE
1970s,tmean_breeding,hh,Temperature,Land-use heterogeneity,0.26914461419213875,0.2713495202787847,0.026432923859152368,0.496277214307874,0.983,TRUE
1970s,tmean_breeding,perc_urban,Temperature,Urban,-0.33958733531646706,-0.34066143541469046,-0.5233112514251563,-0.12653084012334875,0.002,TRUE
1970s,tmean_breeding,perc_cropland,Temperature,Cropland,-0.1937965492105257,-0.19180810999133718,-0.4120253703259698,0.027055203841564093,0.049,TRUE
1970s,tmean_breeding,perc_pasture,Temperature,Pasture,-0.04295984375768986,-0.04763373276502991,-0.2642814832545399,0.2041313553888001,0.359,FALSE
1970s,tmean_breeding,perc_forest,Temperature,Forest,-0.2641649795427973,-0.2687181886939448,-0.4624951496438672,-0.05059695409932857,0.006,TRUE
1970s,tmean_breeding,perc_grass_shrub,Temperature,Grass/shrubland,-0.14519105618809047,-0.14270344254418182,-0.3835657776839391,0.08328527445994416,0.108,FALSE
1990s,perc_grass_shrub,tmean_breeding,Grass/shrubland,Temperature,-0.11273886099266381,-0.11234119370042439,-0.305973523786514,0.0995035852180233,0.145,FALSE
1990s,perc_grass_shrub,prec_breeding,Grass/shrubland,Precipitation,0.30323151703613993,0.3079587955761942,0.09626945708635136,0.49648366702147967,0.995,TRUE
1990s,perc_grass_shrub,hh,Grass/shrubland,Land-use heterogeneity,-0.3816559051624316,-0.38537877455141184,-0.5664810497040558,-0.17603830042028928,0,TRUE
1990s,perc_grass_shrub,perc_urban,Grass/shrubland,Urban,0.3222226564260028,0.3276896259438319,0.10951128779322566,0.5025897606749204,1,TRUE
1990s,perc_grass_shrub,perc_cropland,Grass/shrubland,Cropland,0.36635327313552,0.37092253828174626,0.15862314684190415,0.549164622460287,1,TRUE
1990s,perc_grass_shrub,perc_pasture,Grass/shrubland,Pasture,0.34170609888720394,0.34812352154025605,0.13105005636290967,0.5231994762703236,1,TRUE
1990s,perc_grass_shrub,perc_forest,Grass/shrubland,Forest,0.3958934559342193,0.3995514055528981,0.1990225176756339,0.5652973043527817,1,TRUE
1990s,perc_forest,tmean_breeding,Forest,Temperature,-0.32416473045199656,-0.327209392664778,-0.5023616552218696,-0.121543422468031,0.003,TRUE
1990s,perc_forest,prec_breeding,Forest,Precipitation,0.34926333129058224,0.35486200367313847,0.13155852333243576,0.5357619099353411,1,TRUE
1990s,perc_forest,hh,Forest,Land-use heterogeneity,-0.20496387388529747,-0.20790332942225348,-0.42869638795720694,0.05021435070268721,0.058,FALSE
1990s,perc_forest,perc_urban,Forest,Urban,0.2551586838546951,0.2572023725805638,0.04491962943891052,0.42992133245356406,0.992,TRUE
1990s,perc_forest,perc_cropland,Forest,Cropland,0.4763350076930351,0.48075549043044175,0.29043706118845986,0.635382119043135,1,TRUE
1990s,perc_forest,perc_pasture,Forest,Pasture,0.2328516590286126,0.23195144697626402,0.0076514386979052995,0.42786366732745756,0.977,TRUE
1990s,perc_forest,perc_grass_shrub,Forest,Grass/shrubland,0.3958934559342193,0.3995514055528981,0.1990225176756339,0.5652973043527817,1,TRUE
