atlas,draw,variable_raw,variable,trait_family,full_r2t_beta,drop_r2t_beta,contribution
1970s,1,tmean_breeding,Temperature,Species thermal index,0.2168636800953598,0.20786264084735867,0.009001039248001136
1970s,1,tmean_breeding,Temperature,Migratory strategy,0.2168636800953598,0.18664120633251646,0.030222473762843344
1970s,1,tmean_breeding,Temperature,Foraging guild,0.2168636800953598,0.00468136146125514,0.21218231863410467
1970s,1,prec_breeding,Precipitation,Species thermal index,0.1363503460014973,0.12682543294057713,0.009524913060920182
1970s,1,prec_breeding,Precipitation,Migratory strategy,0.1363503460014973,0.10050604045227833,0.03584430554921898
1970s,1,prec_breeding,Precipitation,Foraging guild,0.1363503460014973,0.11241339266605556,0.023936953335441755
1970s,1,hh,Land-use heterogeneity,Species thermal index,0.3052962427216972,0.29359475713718153,0.01170148558451567
1970s,1,hh,Land-use heterogeneity,Migratory strategy,0.3052962427216972,0.29493178538429715,0.010364457337400046
1970s,1,hh,Land-use heterogeneity,Foraging guild,0.3052962427216972,0.0038366295958020703,0.30145961312589514
1970s,1,perc_urban,Urban,Species thermal index,0.20873124222462366,0.19981498254739047,0.008916259677233196
1970s,1,perc_urban,Urban,Migratory strategy,0.20873124222462366,0.1782586090108847,0.03047263321373897
1970s,1,perc_urban,Urban,Foraging guild,0.20873124222462366,0.05037726248841703,0.15835397973620663
1970s,1,perc_cropland,Cropland,Species thermal index,0.2448426254044287,0.18810541657792104,0.05673720882650765
1970s,1,perc_cropland,Cropland,Migratory strategy,0.2448426254044287,0.15556464431210087,0.08927798109232782
1970s,1,perc_cropland,Cropland,Foraging guild,0.2448426254044287,0.18394260232348258,0.06090002308094611
1970s,1,perc_pasture,Pasture,Species thermal index,0.22630441033553517,0.23108702542892637,-0.0047826150933912015
1970s,1,perc_pasture,Pasture,Migratory strategy,0.22630441033553517,0.2039585041892327,0.02234590614630247
1970s,1,perc_pasture,Pasture,Foraging guild,0.22630441033553517,0.0018558007479400186,0.22444860958759516
1970s,1,perc_forest,Forest,Species thermal index,0.3729591220390088,0.36952094486278264,0.0034381771762261315
1970s,1,perc_forest,Forest,Migratory strategy,0.3729591220390088,0.2187191194018951,0.15424000263711368
1970s,1,perc_forest,Forest,Foraging guild,0.3729591220390088,0.18561530223620862,0.18734381980280015
1970s,1,perc_grass_shrub,Grass/shrubland,Species thermal index,0.28769031844277043,0.30644135139313144,-0.018751032950361013
1970s,1,perc_grass_shrub,Grass/shrubland,Migratory strategy,0.28769031844277043,0.28197659018876736,0.00571372825400307
1970s,1,perc_grass_shrub,Grass/shrubland,Foraging guild,0.28769031844277043,2.64560264560172e-4,0.28742575817821026
1970s,2,tmean_breeding,Temperature,Species thermal index,0.0844466571077786,0.08090344625343136,0.003543210854347237
1970s,2,tmean_breeding,Temperature,Migratory strategy,0.0844466571077786,0.0914264782046741,-0.006979821096895503
1970s,2,tmean_breeding,Temperature,Foraging guild,0.0844466571077786,2.446410226525556e-5,0.08442219300551335
1970s,2,prec_breeding,Precipitation,Species thermal index,0.22553539985472965,0.211585568664783,0.013949831189946638
1970s,2,prec_breeding,Precipitation,Migratory strategy,0.22553539985472965,0.18599867712091572,0.03953672273381392
1970s,2,prec_breeding,Precipitation,Foraging guild,0.22553539985472965,0.10914468412759215,0.1163907157271375
1970s,2,hh,Land-use heterogeneity,Species thermal index,0.3982606286438571,0.3789799994388957,0.019280629204961375
1970s,2,hh,Land-use heterogeneity,Migratory strategy,0.3982606286438571,0.35278785537463686,0.045472773269220224
1970s,2,hh,Land-use heterogeneity,Foraging guild,0.3982606286438571,0.06972881477629539,0.3285318138675617
1970s,2,perc_urban,Urban,Species thermal index,0.4456225787371098,0.39298574910262435,0.05263682963448546
1970s,2,perc_urban,Urban,Migratory strategy,0.4456225787371098,0.35501177617401775,0.09061080256309206
1970s,2,perc_urban,Urban,Foraging guild,0.4456225787371098,0.23586499675984327,0.20975758197726654
1970s,2,perc_cropland,Cropland,Species thermal index,0.2727966015691697,0.2495844714056336,0.02321213016353607
