atlas,draw,trait_family,full_r2t_y,drop_r2t_y,contribution
1970s,1,Species thermal index,0.0660884098485129,0.06763745971811946,-0.001549049869606564
1970s,1,Migratory strategy,0.0660884098485129,0.0181109743539724,0.047977435494540505
1970s,1,Foraging guild,0.0660884098485129,0.08075020157268291,-0.014661791724170009
1970s,2,Species thermal index,0.177694304202721,0.16998702161177595,0.007707282590945053
1970s,2,Migratory strategy,0.177694304202721,0.07952159558230572,0.09817270862041529
1970s,2,Foraging guild,0.177694304202721,0.11954776930312354,0.058146534899597466
1970s,3,Species thermal index,0.12253515815376542,0.1532508071600737,-0.03071564900630827
1970s,3,Migratory strategy,0.12253515815376542,0.03530099205769158,0.08723416609607385
1970s,3,Foraging guild,0.12253515815376542,0.0728180561855066,0.04971710196825882
1970s,4,Species thermal index,0.14259233515529432,0.14184887317902317,7.434619762711481e-4
1970s,4,Migratory strategy,0.14259233515529432,0.04300253435737599,0.09958980079791832
1970s,4,Foraging guild,0.14259233515529432,0.09276279941803528,0.04982953573725904
1970s,5,Species thermal index,0.07913017530761775,0.05550576217144083,0.02362441313617692
1970s,5,Migratory strategy,0.07913017530761775,0.03166737664770268,0.04746279865991507
1970s,5,Foraging guild,0.07913017530761775,0.08911152658743697,-0.009981351279819223
1970s,6,Species thermal index,0.277707515761921,0.2752985415446912,0.002408974217229798
1970s,6,Migratory strategy,0.277707515761921,0.19779900867983044,0.07990850708209055
1970s,6,Foraging guild,0.277707515761921,0.08566827206702844,0.19203924369489256
1970s,7,Species thermal index,0.18577630760851027,0.17704031060283107,0.008735997005679202
1970s,7,Migratory strategy,0.18577630760851027,0.12137818539570451,0.06439812221280576
1970s,7,Foraging guild,0.18577630760851027,0.09695004694075622,0.08882626066775405
1970s,8,Species thermal index,0.16281860643475757,0.1507558769979364,0.012062729436821157
1970s,8,Migratory strategy,0.16281860643475757,0.07012911296880853,0.09268949346594904
1970s,8,Foraging guild,0.16281860643475757,0.12192931712099737,0.040889289313760194
