atlas,variable,trait_family,full_r2t_beta,drop_r2t_beta,contribution_mean,contribution_median,contribution_lower_95,contribution_upper_95,prob_positive
1970s,Temperature,Foraging guild,0.17448793112380442,0.007652243054456322,0.16683568806934812,0.16851773334405468,0.024624302287422663,0.30045622217618306,0.995
1970s,Precipitation,Foraging guild,0.08915339432766621,0.038232212320711625,0.050921182006954585,0.04760754073684768,-0.03223823736338221,0.15450529269561636,0.862
1970s,Land-use heterogeneity,Foraging guild,0.1973370474162887,0.0665349769938472,0.1308020704224415,0.13199060733028442,-0.07411984568131362,0.3198502366247137,0.916
1970s,Urban,Foraging guild,0.3046666116137621,0.19712528238126725,0.10754132923249479,0.11771521152212538,-0.11865634484731785,0.2773399136598672,0.86
1970s,Cropland,Foraging guild,0.26646326879937937,0.18551013590427218,0.08095313289510717,0.08702271224770564,-0.11287070066910075,0.26537820658608036,0.791
1970s,Pasture,Foraging guild,0.15842788109476386,0.011984182095730886,0.14644369899903298,0.14605875831905113,0.029905787801814705,0.28435036762297644,0.999
1970s,Forest,Foraging guild,0.2624836453026653,0.11370913712018123,0.14877450818248408,0.15057744710652637,-0.054388962094570614,0.32619103858128856,0.933
1970s,Grass/shrubland,Foraging guild,0.1702901288119084,0.015273114377936207,0.15501701443397217,0.1508508225248831,0.017558041098143344,0.31879304875903214,0.991
1970s,Temperature,Migratory strategy,0.17448793112380442,0.16179151466091424,0.012696416462890188,0.011617218596874937,-0.01772607652132096,0.0504549583977894,0.765
1970s,Precipitation,Migratory strategy,0.08915339432766621,0.0663668051533994,0.022786589174266802,0.019982621786396315,-0.006537785810243578,0.06437715677617953,0.916
1970s,Land-use heterogeneity,Migratory strategy,0.1973370474162887,0.17917245682522692,0.01816459059106179,0.01365033243123924,-0.02366188755681015,0.07698836308323474,0.745
1970s,Urban,Migratory strategy,0.3046666116137621,0.2417169700263477,0.06294964158741434,0.058145422049899476,0.002325996723561844,0.14065966253477266,0.984
1970s,Cropland,Migratory strategy,0.26646326879937937,0.198016717508915,0.06844655129046436,0.06547477460083218,0.006152864656304618,0.14508588052191893,0.983
1970s,Pasture,Migratory strategy,0.15842788109476386,0.14205901754370834,0.01636886355105552,0.013264603885992259,-0.008246800208562392,0.06064459616619653,0.878
1970s,Forest,Migratory strategy,0.2624836453026653,0.18324808573538656,0.07923555956727875,0.07749615400907442,0.015733712639260197,0.15429654202875928,0.991
1970s,Grass/shrubland,Migratory strategy,0.1702901288119084,0.162795613078263,0.007494515733645365,0.0047973724918594154,-0.02212949017867106,0.04789879214898429,0.651
1970s,Temperature,Species thermal index,0.17448793112380442,0.16964700849090658,0.00484092263289786,0.0023285056911678675,-0.007324812622828742,0.02769240921649999,0.703
1970s,Precipitation,Species thermal index,0.08915339432766621,0.08556500121747396,0.00358839311019226,0.0020053519073917267,-0.009038790792423266,0.021691713608485385,0.696
1970s,Land-use heterogeneity,Species thermal index,0.1973370474162887,0.17033261240293476,0.027004435013353943,0.02364578294077055,-0.013326464912054864,0.08818026159443519,0.879
1970s,Urban,Species thermal index,0.3046666116137621,0.20846914174141631,0.09619746987234573,0.0933864697113171,0.028169173357929192,0.18534478094965734,0.997
1970s,Cropland,Species thermal index,0.26646326879937937,0.18982309406804482,0.07664017473133454,0.0728442410069253,0.012891545412046632,0.15518594538249156,0.993
1970s,Pasture,Species thermal index,0.15842788109476386,0.15516196591124942,0.003265915183514451,0.0010605714170272493,-0.009058960322877075,0.024194399923823162,0.642
1970s,Forest,Species thermal index,0.2624836453026653,0.2502170795321778,0.012266565770487521,0.009584533411754928,-0.021239931335910064,0.05668101225512365,0.756
1970s,Grass/shrubland,Species thermal index,0.1702901288119084,0.15981565152156846,0.010474477290339929,0.006295661888010881,-0.012640456970533941,0.04822294102408993,0.738
1990s,Temperature,Foraging guild,0.10894604426794861,0.033738333218817126,0.07520771104913149,0.07305945361692567,-0.026456456392310923,0.18973761500238512,0.898
1990s,Precipitation,Foraging guild,0.10545131550259329,0.023405591479003097,0.08204572402359019,0.07965053001222186,-0.011447172998129744,0.19804780447787249,0.949
1990s,Land-use heterogeneity,Foraging guild,0.15339027411950731,0.016622438657111598,0.1367678354623957,0.13480604174233787,0.023705255593694113,0.2648961181913829,0.989
1990s,Urban,Foraging guild,0.3085201113875771,0.17620071995733816,0.132319391430239,0.13946487146476427,-0.07346524750730442,0.3051646193653167,0.903
1990s,Cropland,Foraging guild,0.35372910400227897,0.25050091834234417,0.10322818565993476,0.11217385169150076,-0.11662298089318315,0.28867118138975234,0.835
1990s,Pasture,Foraging guild,0.27822662450862307,0.04360700555821588,0.2346196189504072,0.2332069864152087,0.08009106709370245,0.38579225258855454,0.997
1990s,Forest,Foraging guild,0.3006403534098658,0.09826885349895041,0.20237149991091535,0.20808341807207037,-0.0019498894175947815,0.3764133456586022,0.971
1990s,Grass/shrubland,Foraging guild,0.15206144368605987,0.024980574868691183,0.1270808688173687,0.1278785010436182,0.01231258832451797,0.24917955993270888,0.984
1990s,Temperature,Migratory strategy,0.10894604426794861,0.08089872406653152,0.02804732020141709,0.026006777646497975,-0.0041632769753428955,0.07221730212341036,0.946
1990s,Precipitation,Migratory strategy,0.10545131550259329,0.08866548763529954,0.016785827867293757,0.014802338400803416,-0.010492867154872286,0.05320642393259997,0.87
1990s,Land-use heterogeneity,Migratory strategy,0.15339027411950731,0.14634748422466687,0.007042789894840429,0.00525626647812389,-0.019082129350903487,0.04239495818676313,0.677
1990s,Urban,Migratory strategy,0.3085201113875771,0.25493439303491394,0.05358571835266319,0.050377332852919274,-8.839473783459433e-4,0.12721868089254837,0.973
1990s,Cropland,Migratory strategy,0.35372910400227897,0.319864880112671,0.03386422388960797,0.031268280040510604,-0.014608198048749719,0.09621454674544853,0.907
1990s,Pasture,Migratory strategy,0.27822662450862307,0.24005139399737943,0.03817523051124365,0.03499475478980845,-0.005823693723037792,0.10101744349072803,0.951
1990s,Forest,Migratory strategy,0.3006403534098658,0.26524683456955284,0.03539351884031295,0.03409594310578423,-0.014907528686485528,0.09120944007664192,0.913
1990s,Grass/shrubland,Migratory strategy,0.15206144368605987,0.14583099200242372,0.006230451683636149,0.004618702815017903,-0.018354033231326585,0.03697519883303852,0.684
1990s,Temperature,Species thermal index,0.10894604426794861,0.10275360356237481,0.006192440705573801,0.0036512452414704764,-0.0070402662531301174,0.028766408371535393,0.787
1990s,Precipitation,Species thermal index,0.10545131550259329,0.09838565055369823,0.0070656649488950556,0.004293180383144465,-0.006518656589787391,0.035208215773239744,0.784
1990s,Land-use heterogeneity,Species thermal index,0.15339027411950731,0.14001457026915684,0.013375703850350446,0.00830444880236332,-0.012528689427165786,0.061220798301682706,0.775
1990s,Urban,Species thermal index,0.3085201113875771,0.22532337674160474,0.0831967346459724,0.07936539048749103,0.01675699215271326,0.17029351951368005,0.994
1990s,Cropland,Species thermal index,0.35372910400227897,0.2006005895850738,0.15312851441720515,0.15258012728501064,0.06621999260578153,0.24229119755707365,1
1990s,Pasture,Species thermal index,0.27822662450862307,0.25631450866889993,0.021912115839723145,0.018180238623656836,-0.0073300573666208405,0.07013645646457888,0.898
1990s,Forest,Species thermal index,0.3006403534098658,0.2715515958244439,0.029088757585421846,0.026226614151150185,-0.009096111672947594,0.08133005914064215,0.937
1990s,Grass/shrubland,Species thermal index,0.15206144368605987,0.13021470420652745,0.021846739479532418,0.01865816412232711,-0.008906677776081711,0.06972353507978456,0.897
2010s,Temperature,Foraging guild,0.2373539406540113,0.1003643098171839,0.13698963083682741,0.1394326511491326,-0.007798481823392775,0.2825261312431934,0.967
2010s,Precipitation,Foraging guild,0.14413180010037455,0.03082507332647446,0.11330672677390008,0.11370930014351624,0.012726030228896948,0.22443841349362645,0.983
2010s,Land-use heterogeneity,Foraging guild,0.21098861293327442,0.051833636538698866,0.15915497639457554,0.16074275091052,0.006054390085918229,0.3208289016962596,0.982
2010s,Urban,Foraging guild,0.28475086065745214,0.15577648460257218,0.12897437605488,0.13258383143270724,-0.029504257533552306,0.26242037720599604,0.949
2010s,Cropland,Foraging guild,0.3743097308718001,0.25978912048077746,0.11452061039102261,0.1220110111730903,-0.10065064631805803,0.2817690524598853,0.869
2010s,Pasture,Foraging guild,0.2436774042397381,0.06399738236520341,0.1796800218745347,0.18458909262200301,0.043206755160556734,0.3104786784843253,0.996
2010s,Forest,Foraging guild,0.2581607783305576,0.061104363457985235,0.19705641487257236,0.2035400867509758,0.02544212044137505,0.34212778495108176,0.983
2010s,Grass/shrubland,Foraging guild,0.12811057058547487,0.029690219554970778,0.0984203510305041,0.10074200447324144,-0.024774727508634027,0.23872748912013964,0.926
2010s,Temperature,Migratory strategy,0.2373539406540113,0.13780100059658137,0.09955294005742994,0.09253669603098286,0.013962819393914706,0.21428064412211575,0.999
2010s,Precipitation,Migratory strategy,0.14413180010037455,0.13024315430449737,0.013888645795877156,0.01161156165678754,-0.020640817792117468,0.059123601268692635,0.757
2010s,Land-use heterogeneity,Migratory strategy,0.21098861293327442,0.18218416147123237,0.02880445146204206,0.024660110766977605,-0.007617643760195782,0.08765187028957007,0.916
2010s,Urban,Migratory strategy,0.28475086065745214,0.19176299687245385,0.09298786378499833,0.09188160273309497,0.026823997874454737,0.1685531594371558,0.998
2010s,Cropland,Migratory strategy,0.3743097308718001,0.30455789852516113,0.06975183234663895,0.06676902070862056,0.007704366491332833,0.15378292679129307,0.988
2010s,Pasture,Migratory strategy,0.2436774042397381,0.18899284066251276,0.054684563577225336,0.05087573155760175,-0.0011367594197263771,0.13583852922020595,0.969
2010s,Forest,Migratory strategy,0.2581607783305576,0.22109419875498662,0.03706657957557099,0.035313485640418585,-0.010001999954751864,0.09384473307105835,0.934
2010s,Grass/shrubland,Migratory strategy,0.12811057058547487,0.10873753123794683,0.019373039347528053,0.017868575321743803,-0.016204459557279626,0.06753562738700328,0.836
2010s,Temperature,Species thermal index,0.2373539406540113,0.22555390391093286,0.011800036743078448,0.006825400275095206,-0.007035678517498095,0.0560681202656381,0.776
