atlas,variable,full_r2t_beta,stacked_drop_one_contribution,shared_or_overlapping_contribution
1970s,Temperature,0.17448793112380442,0.18437302716513618,-0.009885096041331753
1970s,Precipitation,0.08915339432766621,0.07729616429141363,0.01185723003625258
1970s,Land-use heterogeneity,0.1973370474162887,0.17597109602685723,0.02136595138943148
1970s,Urban,0.3046666116137621,0.2666884406922549,0.03797817092150718
1970s,Cropland,0.26646326879937937,0.2260398589169061,0.04042340988247328
1970s,Pasture,0.15842788109476386,0.16607847773360296,-0.007650596638839102
1970s,Forest,0.2624836453026653,0.24027663352025036,0.022207011782414965
1970s,Grass/shrubland,0.1702901288119084,0.17298600745795747,-0.002695878646049088
1990s,Temperature,0.1089460442679486,0.10944747195612238,-5.014276881737806e-4
1990s,Precipitation,0.10545131550259328,0.10589721683977898,-4.4590133718570846e-4
1990s,Land-use heterogeneity,0.15339027411950731,0.15718632920758657,-0.0037960550880792587
1990s,Urban,0.3085201113875771,0.2691018444288746,0.03941826695870254
1990s,Cropland,0.35372910400227897,0.29022092396674787,0.0635081800355311
1990s,Pasture,0.27822662450862307,0.29470696530137397,-0.016480340792750903
1990s,Forest,0.3006403534098658,0.26685377633665014,0.03378657707321564
1990s,Grass/shrubland,0.15206144368605987,0.15515805998053725,-0.0030966162944773834
2010s,Temperature,0.2373539406540113,0.2483426076373358,-0.010988666983324485
2010s,Precipitation,0.14413180010037455,0.14245732663102526,0.0016744734693492913
2010s,Land-use heterogeneity,0.2109886129332744,0.22430911193107364,-0.013320498997799246
2010s,Urban,0.28475086065745214,0.2622424802723126,0.022508380385139526
2010s,Cropland,0.3743097308718001,0.3026887371533321,0.07162099371846797
2010s,Pasture,0.2436774042397381,0.2414633359750476,0.0022140682646905052
2010s,Forest,0.2581607783305576,0.24445520333907605,0.013705574991481562
2010s,Grass/shrubland,0.12811057058547487,0.12050749061364899,0.007603079971825882
