atlas,variable_raw,variable,n_permutations,n_permutations_expected,observed_r2t_beta,exported_r2t_beta,observed_export_difference,atlas_n_permutations,trait_distributions_preserved
1970s,tmean_breeding,Temperature,999,999,0.17448793112380442,0.174487931123804,4.163336342344337e-16,999,TRUE
1990s,tmean_breeding,Temperature,999,999,0.10894604426794861,0.108946044267949,-3.885780586188048e-16,999,TRUE
2010s,tmean_breeding,Temperature,999,999,0.23735394065401133,0.237353940654011,3.3306690738754696e-16,999,TRUE
1970s,prec_breeding,Precipitation,999,999,0.08915339432766621,0.0891533943276661,1.1102230246251565e-16,999,TRUE
1990s,prec_breeding,Precipitation,999,999,0.10545131550259329,0.105451315502593,2.914335439641036e-16,999,TRUE
2010s,prec_breeding,Precipitation,999,999,0.14413180010037455,0.144131800100374,5.551115123125783e-16,999,TRUE
1970s,hh,Land-use heterogeneity,999,999,0.1973370474162887,0.197337047416289,-2.7755575615628914e-16,999,TRUE
1990s,hh,Land-use heterogeneity,999,999,0.15339027411950731,0.153390274119507,3.0531133177191805e-16,999,TRUE
2010s,hh,Land-use heterogeneity,999,999,0.21098861293327442,0.210988612933275,-5.828670879282072e-16,999,TRUE
1970s,perc_urban,Urban,999,999,0.3046666116137621,0.304666611613762,5.551115123125783e-17,999,TRUE
1990s,perc_urban,Urban,999,999,0.3085201113875771,0.308520111387577,1.1102230246251565e-16,999,TRUE
2010s,perc_urban,Urban,999,999,0.28475086065745214,0.284750860657452,1.6653345369377348e-16,999,TRUE
1970s,perc_cropland,Cropland,999,999,0.26646326879937937,0.266463268799379,3.885780586188048e-16,999,TRUE
1990s,perc_cropland,Cropland,999,999,0.35372910400227897,0.353729104002278,9.43689570931383e-16,999,TRUE
2010s,perc_cropland,Cropland,999,999,0.3743097308718001,0.3743097308718,1.1102230246251565e-16,999,TRUE
1970s,perc_pasture,Pasture,999,999,0.15842788109476386,0.158427881094764,-1.3877787807814457e-16,999,TRUE
1990s,perc_pasture,Pasture,999,999,0.27822662450862307,0.278226624508623,5.551115123125783e-17,999,TRUE
2010s,perc_pasture,Pasture,999,999,0.2436774042397381,0.243677404239738,1.1102230246251565e-16,999,TRUE
1970s,perc_forest,Forest,999,999,0.2624836453026653,0.262483645302665,3.3306690738754696e-16,999,TRUE
1990s,perc_forest,Forest,999,999,0.3006403534098657,0.300640353409866,-2.7755575615628914e-16,999,TRUE
2010s,perc_forest,Forest,999,999,0.2581607783305576,0.258160778330558,-3.885780586188048e-16,999,TRUE
1970s,perc_grass_shrub,Grass/shrubland,999,999,0.1702901288119084,0.170290128811908,3.885780586188048e-16,999,TRUE
1990s,perc_grass_shrub,Grass/shrubland,999,999,0.15206144368605987,0.15206144368606,-1.3877787807814457e-16,999,TRUE
2010s,perc_grass_shrub,Grass/shrubland,999,999,0.12811057058547487,0.128110570585475,-1.3877787807814457e-16,999,TRUE
