atlas,permutation,variable_raw,variable,null_r2t_beta
1970s,1,tmean_breeding,Temperature,0.003991319716701205
1970s,1,prec_breeding,Precipitation,0.0069060551727463575
1970s,1,hh,Land-use heterogeneity,0.00510143855890793
1970s,1,perc_urban,Urban,0.002263461402275616
1970s,1,perc_cropland,Cropland,0.0032385385037541656
1970s,1,perc_pasture,Pasture,0.005554058110902813
1970s,1,perc_forest,Forest,0.003441638353617723
1970s,1,perc_grass_shrub,Grass/shrubland,0.0055703787863307175
1970s,2,tmean_breeding,Temperature,0.010302525261654764
1970s,2,prec_breeding,Precipitation,0.005599433822205608
1970s,2,hh,Land-use heterogeneity,0.005930710639179583
1970s,2,perc_urban,Urban,0.0045904802203140405
1970s,2,perc_cropland,Cropland,0.009487660678438016
1970s,2,perc_pasture,Pasture,0.006414960115635313
1970s,2,perc_forest,Forest,0.005908233527362105
1970s,2,perc_grass_shrub,Grass/shrubland,0.006911795170667219
1970s,3,tmean_breeding,Temperature,0.007963930977902598
1970s,3,prec_breeding,Precipitation,0.006729911775141175
1970s,3,hh,Land-use heterogeneity,0.0038035546913963037
1970s,3,perc_urban,Urban,0.007569738748010011
1970s,3,perc_cropland,Cropland,0.0036731077950133808
1970s,3,perc_pasture,Pasture,0.005949814313103504
1970s,3,perc_forest,Forest,0.003143759846716023
1970s,3,perc_grass_shrub,Grass/shrubland,0.004988668128110754
1970s,4,tmean_breeding,Temperature,0.0037738727834303516
1970s,4,prec_breeding,Precipitation,0.00609402473417297
1970s,4,hh,Land-use heterogeneity,0.005187380237297054
1970s,4,perc_urban,Urban,0.005601885597838621
1970s,4,perc_cropland,Cropland,0.004434964896108842
1970s,4,perc_pasture,Pasture,0.006593550292456519
1970s,4,perc_forest,Forest,0.003296003705330545
1970s,4,perc_grass_shrub,Grass/shrubland,0.005284986901623835
1970s,5,tmean_breeding,Temperature,0.004993088585314938
1970s,5,prec_breeding,Precipitation,0.007930752659318285
1970s,5,hh,Land-use heterogeneity,0.00534966798301237
1970s,5,perc_urban,Urban,0.003618434080514524
1970s,5,perc_cropland,Cropland,0.0038041056417274072
1970s,5,perc_pasture,Pasture,0.008846719680528902
1970s,5,perc_forest,Forest,0.007836010910347744
1970s,5,perc_grass_shrub,Grass/shrubland,0.004068736036891593
1970s,6,tmean_breeding,Temperature,0.004884948416988243
1970s,6,prec_breeding,Precipitation,0.006434815281060637
