atlas,variable,observed_r2t_beta,null_mean,null_median,null_lower_95,null_upper_95,empirical_p_upper,observed_minus_null_mean,standardized_effect
1970s,Temperature,0.17448793112380442,0.006481529584695254,0.005388031716460081,0.0030402430876193616,0.015822706842724698,0.001,0.16800640153910917,49.33316896677395
1990s,Temperature,0.10894604426794861,0.00630535005609061,0.005457858175825118,0.0031137046567754965,0.014319815713073147,0.001,0.10264069421185801,33.082807542102636
2010s,Temperature,0.23735394065401133,0.006365028117749791,0.005430266596117313,0.0031496232315945546,0.01411896322997699,0.001,0.23098891253626153,75.8834018859396
1970s,Precipitation,0.08915339432766621,0.006495734122588137,0.005977506974291873,0.0035991450358076244,0.012791437282144616,0.001,0.08265766020507807,35.94115247513276
1990s,Precipitation,0.10545131550259329,0.006321369471034293,0.005919078053918756,0.003932505804535425,0.011494874346547399,0.001,0.099129946031559,50.02704263179701
2010s,Precipitation,0.14413180010037455,0.006374029579603731,0.005576670922582737,0.003290708246502083,0.01409367509284447,0.001,0.13775777052077082,45.41105251066121
1970s,Land-use heterogeneity,0.1973370474162887,0.006426460926247616,0.005779276961654979,0.0037698627855894083,0.013033303311748776,0.001,0.19091058649004108,78.58675230326818
1990s,Land-use heterogeneity,0.15339027411950731,0.006182994461269427,0.005769440563431685,0.004027655284549647,0.010814466353496102,0.001,0.14720727965823788,84.92786276478161
2010s,Land-use heterogeneity,0.21098861293327442,0.006409390771163588,0.005837279574875867,0.004085180925931095,0.0117935698671156,0.001,0.20457922216211083,96.44277829480374
1970s,Urban,0.3046666116137621,0.006536831743727749,0.005165839926849517,0.0027775658239125225,0.017998732588601647,0.001,0.2981297798700343,72.92226492900899
1990s,Urban,0.3085201113875771,0.0064632777999248684,0.005142057184373996,0.0026863568144064104,0.01717742215673143,0.001,0.30205683358765223,79.64954158228508
2010s,Urban,0.28475086065745214,0.0064395195563268955,0.004855563963762643,0.002532618990974232,0.018828246844174494,0.001,0.27831134110112526,59.383673455223914
1970s,Cropland,0.26646326879937937,0.00642894928228427,0.005168393296126739,0.002991239578592851,0.017063501489745416,0.001,0.2600343195170951,66.67988767289195
1990s,Cropland,0.35372910400227897,0.006384815318484184,0.004789241757829027,0.0025346630158789266,0.02070285117660506,0.001,0.3473442886837948,76.37672527064043
2010s,Cropland,0.3743097308718001,0.0065019646127361524,0.004676331617439442,0.002383988768156098,0.020701912826522166,0.001,0.3678077662590639,74.36170412756148
1970s,Pasture,0.15842788109476386,0.0063934544122517195,0.005981485143917057,0.004111558549754248,0.011595941262988848,0.001,0.15203442668251213,82.92059387630533
1990s,Pasture,0.27822662450862307,0.006615841482540898,0.005371821904863711,0.0031094233066241064,0.017421462854122226,0.001,0.27161078302608216,69.88802424266545
2010s,Pasture,0.2436774042397381,0.006337387995131084,0.005293340806707224,0.003180358556443293,0.015503505932060733,0.001,0.23734001624460702,71.71527079922971
1970s,Forest,0.2624836453026653,0.006469272104380763,0.005064866393911986,0.002731290688558826,0.018340047912741013,0.001,0.2560143731982846,62.062610290592346
1990s,Forest,0.3006403534098657,0.006276723574569798,0.004829754151764267,0.002605678581659825,0.019122971777899747,0.001,0.2943636298352959,68.27570637520681
2010s,Forest,0.2581607783305576,0.006464816671668079,0.004989867761488213,0.0025673496688353678,0.01687356055808608,0.001,0.2516959616588895,60.20406752360996
1970s,Grass/shrubland,0.1702901288119084,0.006387364042583155,0.00584177944849174,0.003989435744327502,0.011846925286301052,0.001,0.16390276476932522,76.79551027917415
1990s,Grass/shrubland,0.15206144368605987,0.006265761153530343,0.00572177956942488,0.0036096755515628394,0.01254989450799866,0.001,0.14579568253252953,63.24299304460571
2010s,Grass/shrubland,0.12811057058547487,0.0064825321840560725,0.005914730043850091,0.0038217592833464094,0.012811823411537145,0.001,0.1216280384014188,51.99353428081702
