"group","species"
"Dabbling ducks","Anas_acuta"
"Dabbling ducks","Anas_crecca"
"Dabbling ducks","Anas_platyrhynchos"
"Dabbling ducks","Mareca_strepera"
"Dabbling ducks","Netta_rufina"
"Dabbling ducks","Spatula_clypeata"
"Dabbling ducks","Spatula_querquedula"
"Dabbling ducks","Tadorna_tadorna"
"Scolopacids","Actitis_hypoleucos"
"Scolopacids","Arenaria_interpres"
"Scolopacids","Calidris_alpina"
"Scolopacids","Calidris_pugnax"
"Scolopacids","Gallinago_gallinago"
"Scolopacids","Limosa_limosa"
"Scolopacids","Numenius_arquata"
"Scolopacids","Scolopax_rusticola"
"Scolopacids","Tringa_glareola"
"Scolopacids","Tringa_ochropus"
"Scolopacids","Tringa_totanus"
