"survey","site","atlas","period","guild_richness","species_richness"
"AD93_2","AD93","2","1990s",22,64
"AD94_2","AD94","2","1990s",23,56
"AD95_2","AD95","2","1990s",22,67
"AD96_2","AD96","2","1990s",8,15
"AE81_2","AE81","2","1990s",11,16
"AE82_2","AE82","2","1990s",15,28
"AE83_2","AE83","2","1990s",11,20
"AE90_2","AE90","2","1990s",21,44
"AE91_2","AE91","2","1990s",20,47
"AE92_2","AE92","2","1990s",18,30
"AE93_2","AE93","2","1990s",24,54
"AE97_2","AE97","2","1990s",19,58
"AE98_2","AE98","2","1990s",28,77
"AF91_2","AF91","2","1990s",25,68
"AF92_2","AF92","2","1990s",24,67
"AF93_2","AF93","2","1990s",25,70
"AF94_2","AF94","2","1990s",24,67
"AF95_2","AF95","2","1990s",23,59
"AF98_2","AF98","2","1990s",22,50
"AF99_2","AF99","2","1990s",22,39
"BC20_2","BC20","2","1990s",22,60
"BC21_2","BC21","2","1990s",22,59
"BC22_2","BC22","2","1990s",26,86
"BC23_2","BC23","2","1990s",9,27
"BC32_2","BC32","2","1990s",26,75
"BC33_2","BC33","2","1990s",26,71
"BC42_2","BC42","2","1990s",23,69
"BC44_2","BC44","2","1990s",27,74
"BC54_2","BC54","2","1990s",29,85
"BC55_2","BC55","2","1990s",29,81
"BC56_2","BC56","2","1990s",17,51
"BC60_2","BC60","2","1990s",20,56
"BC64_2","BC64","2","1990s",25,71
"BC65_2","BC65","2","1990s",25,67
"BC72_2","BC72","2","1990s",22,56
"BC75_2","BC75","2","1990s",26,66
"BC82_2","BC82","2","1990s",26,62
"BC83_2","BC83","2","1990s",28,91
"BC84_2","BC84","2","1990s",27,88
"BC85_2","BC85","2","1990s",25,52
"BC94_2","BC94","2","1990s",29,96
"BC95_2","BC95","2","1990s",24,62
"BC96_2","BC96","2","1990s",24,67
"BD02_2","BD02","2","1990s",19,42
"BD04_2","BD04","2","1990s",23,60
"BD05_2","BD05","2","1990s",25,64
"BD06_2","BD06","2","1990s",19,46
"BD07_2","BD07","2","1990s",24,61
"BD08_2","BD08","2","1990s",25,70
"BD09_2","BD09","2","1990s",20,56
"BD11_2","BD11","2","1990s",23,64
"BD12_2","BD12","2","1990s",21,48
"BD13_2","BD13","2","1990s",27,73
"BD19_2","BD19","2","1990s",24,49
"BD21_2","BD21","2","1990s",26,63
"BD22_2","BD22","2","1990s",22,55
"BD23_2","BD23","2","1990s",18,43
"BD30_2","BD30","2","1990s",19,50
"BD31_2","BD31","2","1990s",22,56
"BD32_2","BD32","2","1990s",22,67
"BD33_2","BD33","2","1990s",20,50
"BD35_2","BD35","2","1990s",23,62
"BD36_2","BD36","2","1990s",25,62
"BD39_2","BD39","2","1990s",26,76
"BD40_2","BD40","2","1990s",18,48
"BD42_2","BD42","2","1990s",27,86
"BD43_2","BD43","2","1990s",21,62
"BD44_2","BD44","2","1990s",23,65
"BD45_2","BD45","2","1990s",25,71
"BD46_2","BD46","2","1990s",20,50
"BD49_2","BD49","2","1990s",23,58
"BD50_2","BD50","2","1990s",16,42
"BD51_2","BD51","2","1990s",21,65
"BD52_2","BD52","2","1990s",21,62
"BD53_2","BD53","2","1990s",24,60
"BD54_2","BD54","2","1990s",15,39
"BD56_2","BD56","2","1990s",22,51
"BD57_2","BD57","2","1990s",26,65
"BD60_2","BD60","2","1990s",24,63
"BD61_2","BD61","2","1990s",25,77
"BD62_2","BD62","2","1990s",23,57
"BD63_2","BD63","2","1990s",24,63
"BD64_2","BD64","2","1990s",23,56
"BD66_2","BD66","2","1990s",21,57
"BD68_2","BD68","2","1990s",20,57
"BD70_2","BD70","2","1990s",23,65
"BD71_2","BD71","2","1990s",22,60
"BD72_2","BD72","2","1990s",26,63
"BD73_2","BD73","2","1990s",29,96
"BD74_2","BD74","2","1990s",22,51
"BD75_2","BD75","2","1990s",24,57
"BD76_2","BD76","2","1990s",23,59
"BD77_2","BD77","2","1990s",25,73
"BD80_2","BD80","2","1990s",24,64
"BD81_2","BD81","2","1990s",27,70
"BD82_2","BD82","2","1990s",29,82
"BD83_2","BD83","2","1990s",27,81
"BD88_2","BD88","2","1990s",25,66
"BD90_2","BD90","2","1990s",25,58
"BD91_2","BD91","2","1990s",22,58
"BD92_2","BD92","2","1990s",26,63
"BD94_2","BD94","2","1990s",13,24
"BE02_2","BE02","2","1990s",11,26
"BE03_2","BE03","2","1990s",26,68
"BE04_2","BE04","2","1990s",25,68
"BE06_2","BE06","2","1990s",29,76
"BE07_2","BE07","2","1990s",29,78
"BE08_2","BE08","2","1990s",27,78
"BE09_2","BE09","2","1990s",22,48
"BE10_2","BE10","2","1990s",17,37
"BE11_2","BE11","2","1990s",26,70
"BE12_2","BE12","2","1990s",26,67
"BE13_2","BE13","2","1990s",20,61
"BE14_2","BE14","2","1990s",23,63
"BE15_2","BE15","2","1990s",21,57
"BE16_2","BE16","2","1990s",24,63
"BE17_2","BE17","2","1990s",25,72
"BE19_2","BE19","2","1990s",21,55
"BE20_2","BE20","2","1990s",24,63
"BE22_2","BE22","2","1990s",21,57
"BE24_2","BE24","2","1990s",21,67
"BE26_2","BE26","2","1990s",20,51
"BE27_2","BE27","2","1990s",19,54
"BE30_2","BE30","2","1990s",21,57
"BE32_2","BE32","2","1990s",18,56
"BE34_2","BE34","2","1990s",23,69
"BE35_2","BE35","2","1990s",21,57
"BE36_2","BE36","2","1990s",22,62
"BE37_2","BE37","2","1990s",24,69
"BE44_2","BE44","2","1990s",21,56
"BE45_2","BE45","2","1990s",20,52
"BE46_2","BE46","2","1990s",22,58
"BE47_2","BE47","2","1990s",21,62
"BE55_2","BE55","2","1990s",19,47
"BE58_2","BE58","2","1990s",26,74
"BE59_2","BE59","2","1990s",19,54
"BE61_2","BE61","2","1990s",19,49
"BE62_2","BE62","2","1990s",22,55
"BE63_2","BE63","2","1990s",22,63
"BE66_2","BE66","2","1990s",20,54
"BE69_2","BE69","2","1990s",25,76
"BE73_2","BE73","2","1990s",22,62
"BE76_2","BE76","2","1990s",19,54
"BE77_2","BE77","2","1990s",22,63
"BE78_2","BE78","2","1990s",21,58
"BE79_2","BE79","2","1990s",18,49
"BE80_2","BE80","2","1990s",26,79
"BE82_2","BE82","2","1990s",24,72
"BE83_2","BE83","2","1990s",23,66
"BE84_2","BE84","2","1990s",24,57
"BE86_2","BE86","2","1990s",21,56
"BE87_2","BE87","2","1990s",23,66
"BE88_2","BE88","2","1990s",25,73
"BE89_2","BE89","2","1990s",21,48
"BE92_2","BE92","2","1990s",22,70
"BE93_2","BE93","2","1990s",17,49
"BE94_2","BE94","2","1990s",25,69
"BE95_2","BE95","2","1990s",18,55
"BE96_2","BE96","2","1990s",21,56
"BE98_2","BE98","2","1990s",23,68
"BE99_2","BE99","2","1990s",26,80
"BF01_2","BF01","2","1990s",21,58
"BF02_2","BF02","2","1990s",25,84
"BF03_2","BF03","2","1990s",27,85
"BF04_2","BF04","2","1990s",29,93
"BF05_2","BF05","2","1990s",26,91
"BF06_2","BF06","2","1990s",23,64
"BF07_2","BF07","2","1990s",22,59
"BF08_2","BF08","2","1990s",26,58
"BF10_2","BF10","2","1990s",19,60
"BF11_2","BF11","2","1990s",27,77
"BF13_2","BF13","2","1990s",20,53
"BF16_2","BF16","2","1990s",22,57
"BF18_2","BF18","2","1990s",20,48
"BF20_2","BF20","2","1990s",23,72
"BF21_2","BF21","2","1990s",21,65
"BF25_2","BF25","2","1990s",20,56
