"site","guild_richness_1990s","guild_richness_2010s","delta_2010s_minus_1990s"
"CF92",19,29,10
"EB03",19,28,9
"EB09",12,21,9
"EH37",15,24,9
"FH18",17,26,9
"HA07",20,29,9
"BF27",15,23,8
"CH76",15,23,8
"EF76",19,27,8
"AD96",8,15,7
"BD54",15,22,7
"BE89",21,28,7
"CB81",15,22,7
"CD71",22,29,7
"CE13",18,25,7
"DB74",18,25,7
"DC41",23,30,7
"DG95",20,27,7
"AE83",11,17,6
"BC20",22,28,6
"BG48",11,17,6
"CD05",18,24,6
"CD14",17,23,6
"CE27",16,22,6
"CE96",20,26,6
"DE40",20,26,6
"DE93",14,20,6
"DF66",21,27,6
"DG07",20,26,6
"DG64",20,26,6
"DH95",17,23,6
"EE14",16,22,6
"EG07",18,24,6
"EG36",13,19,6
"EH49",19,25,6
"FF97",22,28,6
"GE42",19,25,6
"BC23",9,14,5
"BE26",20,25,5
"BE86",21,26,5
"BE93",17,22,5
"BF07",22,27,5
"CF07",16,21,5
"CB80",18,23,5
"CD43",24,29,5
"CD72",21,26,5
"CD80",17,22,5
"CE11",22,27,5
"CE19",19,24,5
"CF73",22,27,5
"CG13",18,23,5
"CG29",19,24,5
"CG86",18,23,5
"DC09",20,25,5
"DB16",21,26,5
"DB36",22,27,5
"DB66",20,25,5
"DB77",20,25,5
"DC42",23,28,5
"DD65",23,28,5
"DE65",12,17,5
"DE94",23,28,5
"DE99",20,25,5
"DF10",16,21,5
"DF65",18,23,5
"DG43",22,27,5
"DG78",19,24,5
"DG86",18,23,5
"DH87",10,15,5
"DH97",15,20,5
"EF96",20,25,5
"EG26",23,28,5
"EH06",19,24,5
"FE82",25,30,5
"FF85",21,26,5
"FG59",20,25,5
"FH08",24,29,5
"FH10",17,22,5
"FH46",22,27,5
"GE41",17,22,5
"HA16",20,25,5
"HA43",20,25,5
"AF99",22,26,4
"BC21",22,26,4
"BD94",13,17,4
"BE10",17,21,4
"BE37",24,28,4
"BF38",24,28,4
"BF49",23,27,4
"CC30",24,28,4
"CC91",22,26,4
"CC99",17,21,4
"CD10",21,25,4
"CD60",23,27,4
"CD66",21,25,4
"CD88",18,22,4
"CE23",20,24,4
"CE35",21,25,4
"CE62",26,30,4
"CE81",23,27,4
"CF57",18,22,4
"CF74",18,22,4
"CF84",21,25,4
"CG05",23,27,4
"CG39",24,28,4
"CG75",22,26,4
"CH35",23,27,4
"CH46",23,27,4
"CH86",20,24,4
"DA80",19,23,4
"DB46",22,26,4
"DC24",20,24,4
"DC48",19,23,4
"DC63",22,26,4
"DD16",22,26,4
"DD82",20,24,4
"DE07",23,27,4
"DE26",22,26,4
"DE76",21,25,4
"DF08",25,29,4
"DF15",20,24,4
"DF51",21,25,4
"DF96",20,24,4
"DG23",24,28,4
"DG51",24,28,4
"DG87",23,27,4
"DH26",18,22,4
"EB12",24,28,4
"ED22",21,25,4
"EE28",21,25,4
"EG05",22,26,4
"EG40",19,23,4
"EH92",25,29,4
"FE80",25,29,4
"FE91",25,29,4
"FF08",17,21,4
"FF38",19,23,4
"FF73",24,28,4
"FF82",22,26,4
"FF88",21,25,4
"FH11",25,29,4
"FH45",19,23,4
"FH62",25,29,4
"GF03",22,26,4
"GF16",23,27,4
"GF56",18,22,4
"GH07",25,29,4
"HA03",21,25,4
"HA33",18,22,4
"AE81",11,14,3
"AE97",19,22,3
"BD06",19,22,3
"BD22",22,25,3
"BD50",16,19,3
"BE15",21,24,3
"BE24",21,24,3
"BE27",19,22,3
"BE61",19,22,3
"BE66",20,23,3
"BE76",19,22,3
"BE88",25,28,3
"BE95",18,21,3
"BE98",23,26,3
"BF20",23,26,3
"BF32",25,28,3
"BF33",20,23,3
"BF66",21,24,3
"BF70",19,22,3
"BF73",22,25,3
"BG78",18,21,3
"BG93",23,26,3
"CC24",21,24,3
"CC52",21,24,3
"CC61",25,28,3
"CC98",20,23,3
"CD47",20,23,3
"CD51",22,25,3
"CD61",22,25,3
"CD70",21,24,3
"CD81",25,28,3
"CD95",25,28,3
"CE30",21,24,3
"CE80",23,26,3
"CF41",21,24,3
"CF58",19,22,3
"CF67",22,25,3
"CF71",18,21,3
"CF86",21,24,3
"CF93",23,26,3
"CG76",18,21,3
"CH56",24,27,3
"CH95",19,22,3
"CH97",23,26,3
"DB45",21,24,3
"DB54",21,24,3
"DB64",23,26,3
"DB67",25,28,3
"DC01",25,28,3
"DC14",24,27,3
"DC16",20,23,3
"DC64",25,28,3
"DD09",21,24,3
"DD11",22,25,3
"DD21",26,29,3
"DD24",24,27,3
"DD58",22,25,3
"DE16",24,27,3
"DE25",23,26,3
"DE42",21,24,3
"DE80",16,19,3
"DF02",20,23,3
"DF04",20,23,3
"DF14",20,23,3
"DF16",22,25,3
"DG16",20,23,3
"DG35",16,19,3
"DG94",23,26,3
"DH09",20,23,3
"DH86",23,26,3
"EE06",22,25,3
"EE16",21,24,3
"EF61",21,24,3
"EG24",21,24,3
"EG46",19,22,3
"EH07",21,24,3
"EH13",26,29,3
"FD03",11,14,3
"FE30",28,31,3
"FE83",26,29,3
"FF24",23,26,3
"FF46",22,25,3
"FF68",14,17,3
"FF75",25,28,3
"FF92",22,25,3
"FG62",21,24,3
"FG63",24,27,3
"FH15",22,25,3
"FH36",22,25,3
"FH56",24,27,3
"FH96",19,22,3
"GE13",25,28,3
"GE23",25,28,3
"GF08",24,27,3
"GF38",24,27,3
"GF44",20,23,3
"GF55",20,23,3
"GF57",13,16,3
"GG38",16,19,3
"GH17",20,23,3
"GH19",22,25,3
"HA08",18,21,3
"HA69",14,17,3
"AD94",23,25,2
"AE90",21,23,2
"AF94",24,26,2
"BD12",21,23,2
"BD70",23,25,2
"BE35",21,23,2
"BE77",22,24,2
"BF13",20,22,2
"BF16",22,24,2
"BF21",21,23,2
"BF25",20,22,2
"BF58",19,21,2
"BF59",24,26,2
"BG30",13,15,2
"BG40",18,20,2
"BG43",17,19,2
"BG92",22,24,2
"CE01",23,25,2
"CB93",20,22,2
"CC46",25,27,2
"CC47",10,12,2
"CD23",24,26,2
"CD44",18,20,2
"CD45",16,18,2
"CD84",23,25,2
"CD91",23,25,2
"CE16",18,20,2
"CE22",23,25,2
"CE34",17,19,2
"CE38",22,24,2
"CE61",23,25,2
"CE82",27,29,2
"CE83",23,25,2
"CF31",22,24,2
"CF32",26,28,2
"CF49",25,27,2
"CF53",20,22,2
"CF59",20,22,2
"CF72",21,23,2
"CF79",21,23,2
"CF83",22,24,2
"CF98",22,24,2
"CG49",21,23,2
"CG63",20,22,2
"CG65",22,24,2
"CG69",23,25,2
"CG73",24,26,2
"CG83",23,25,2
"CH06",20,22,2
"CH77",24,26,2
"DC07",24,26,2
"DB14",20,22,2
"DB15",22,24,2
"DB47",19,21,2
"DB62",22,24,2
"DB65",24,26,2
"DB78",25,27,2
"DB89",21,23,2
"DB94",18,20,2
"DB99",12,14,2
"DC00",28,30,2
"DC12",19,21,2
"DC13",26,28,2
"DC50",21,23,2
"DC67",18,20,2
"DD01",25,27,2
"DD36",23,25,2
"DD55",21,23,2
"DD56",22,24,2
"DD57",24,26,2
"DD59",22,24,2
"DD61",21,23,2
"DD67",20,22,2
"DD71",19,21,2
"DD90",24,26,2
"DE24",24,26,2
"DE29",21,23,2
"DE68",25,27,2
"DE75",20,22,2
"DE78",20,22,2
"DE88",22,24,2
"DF69",6,8,2
"DG40",24,26,2
"DG57",20,22,2
"DG63",24,26,2
"DG65",20,22,2
"DG70",26,28,2
"DG83",25,27,2
"DG88",23,25,2
"DG91",24,26,2
"DH18",25,27,2
"DH78",15,17,2
"EE09",23,25,2
"EB02",9,11,2
"EB04",26,28,2
"EB07",27,29,2
"ED20",23,25,2
"EE26",12,14,2
"EF02",27,29,2
"EF07",19,21,2
"EF20",23,25,2
"EF85",24,26,2
"EG11",22,24,2
"EH08",24,26,2
"EH68",10,12,2
"FE40",23,25,2
"FE90",25,27,2
"FF04",22,24,2
"FF18",24,26,2
"FF19",23,25,2
"FF35",23,25,2
"FF50",22,24,2
