"species","foraging_guild"
"Apus_apus","Aerial insectivores"
"Delichon_urbicum","Aerial insectivores"
"Hirundo_rustica","Aerial insectivores"
"Riparia_riparia","Aerial insectivores"
"Alca_torda","Aquatic pursuers"
"Cepphus_grylle","Aquatic pursuers"
"Mergus_merganser","Aquatic pursuers"
"Mergus_serrator","Aquatic pursuers"
"Phalacrocorax_carbo","Aquatic pursuers"
"Podiceps_cristatus","Aquatic pursuers"
"Podiceps_grisegena","Aquatic pursuers"
"Podiceps_nigricollis","Aquatic pursuers"
"Tachybaptus_ruficollis","Aquatic pursuers"
"Uria_aalge","Aquatic pursuers"
"Emberiza_calandra","Buntings"
"Emberiza_citrinella","Buntings"
"Emberiza_schoeniclus","Buntings"
"Columba_oenas","Columbids"
"Columba_palumbus","Columbids"
"Streptopelia_decaocto","Columbids"
"Streptopelia_turtur","Columbids"
"Cuculus_canorus","Cuckoos"
"Anas_acuta","Dabbling ducks"
"Anas_crecca","Dabbling ducks"
"Anas_platyrhynchos","Dabbling ducks"
"Mareca_strepera","Dabbling ducks"
"Netta_rufina","Dabbling ducks"
"Spatula_clypeata","Dabbling ducks"
"Spatula_querquedula","Dabbling ducks"
"Tadorna_tadorna","Dabbling ducks"
"Cinclus_cinclus","Dippers"
"Accipiter_nisus","Diurnal raptors"
"Aquila_chrysaetos","Diurnal raptors"
"Astur_gentilis","Diurnal raptors"
"Buteo_buteo","Diurnal raptors"
"Circus_aeruginosus","Diurnal raptors"
"Circus_cyaneus","Diurnal raptors"
"Circus_pygargus","Diurnal raptors"
"Falco_peregrinus","Diurnal raptors"
"Falco_subbuteo","Diurnal raptors"
"Falco_tinnunculus","Diurnal raptors"
"Haliaeetus_albicilla","Diurnal raptors"
"Milvus_milvus","Diurnal raptors"
"Pandion_haliaetus","Diurnal raptors"
"Pernis_apivorus","Diurnal raptors"
"Aythya_ferina","Diving ducks"
"Aythya_fuligula","Diving ducks"
"Bucephala_clangula","Diving ducks"
"Somateria_mollissima","Diving ducks"
"Ficedula_hypoleuca","Flycatchers"
"Ficedula_parva","Flycatchers"
"Muscicapa_striata","Flycatchers"
"Curruca_communis","Foliage gleaners"
"Curruca_curruca","Foliage gleaners"
"Curruca_nisoria","Foliage gleaners"
"Fringilla_coelebs","Foliage gleaners"
"Fringilla_montifringilla","Foliage gleaners"
"Hippolais_icterina","Foliage gleaners"
"Phylloscopus_collybita","Foliage gleaners"
"Phylloscopus_sibilatrix","Foliage gleaners"
"Phylloscopus_trochiloides","Foliage gleaners"
"Phylloscopus_trochilus","Foliage gleaners"
"Sylvia_atricapilla","Foliage gleaners"
"Sylvia_borin","Foliage gleaners"
"Coturnix_coturnix","Gallinaceous birds"
"Lyrurus_tetrix","Gallinaceous birds"
"Perdix_perdix","Gallinaceous birds"
"Anser_anser","Grazing waterfowl"
"Branta_leucopsis","Grazing waterfowl"
"Cygnus_cygnus","Grazing waterfowl"
"Cygnus_olor","Grazing waterfowl"
"Mareca_penelope","Grazing waterfowl"
"Chroicocephalus_ridibundus","Gulls"
"Hydrocoloeus_minutus","Gulls"
"Ichthyaetus_melanocephalus","Gulls"
"Larus_argentatus","Gulls"
"Larus_canus","Gulls"
"Larus_fuscus","Gulls"
"Larus_marinus","Gulls"
"Rissa_tridactyla","Gulls"
"Alcedo_atthis","Kingfishers"
"Anthus_trivialis","Low flycatching feeders"
"Erithacus_rubecula","Low flycatching feeders"
"Luscinia_luscinia","Low flycatching feeders"
"Luscinia_megarhynchos","Low flycatching feeders"
"Luscinia_svecica","Low flycatching feeders"
"Oenanthe_oenanthe","Low flycatching feeders"
"Phoenicurus_ochruros","Low flycatching feeders"
"Phoenicurus_phoenicurus","Low flycatching feeders"
