"comparison","start_atlas","end_atlas","start_period","end_period","species","n_shared_cells","start_occupied_cells","end_occupied_cells","status_change_log10","start_mean_northing_m","national_mean_northing_m","distribution_class","margin_type","start_margin_northing_m","end_margin_northing_m","margin_shift_km","near_ubiquitous","margin_eligible","main_included","exclusion_reason","distribution_label"
"1970s to 1990s","1","2","1970s","1990s","Mareca_strepera",2165,17,95,0.747274683910574,6149058.82168547,6197646.36042169,"southerly","northern margin",,6201169.11580312,,FALSE,FALSE,FALSE,"start occupied cells < 40","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Mergus_merganser",2165,18,37,0.312929218963689,6103960.78246979,6197646.36042169,"southerly","northern margin",,,,FALSE,FALSE,FALSE,"start occupied cells < 40; end occupied cells < 40","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Anarhynchus_alexandrinus",2165,40,11,-0.560667306169737,6213669.11580312,6197646.36042169,"northerly","southern margin",6213669.11580312,,,FALSE,FALSE,FALSE,"end occupied cells < 40","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Chlidonias_niger",2165,37,13,-0.454258371760158,6159050.87255988,6197646.36042169,"southerly","northern margin",,,,FALSE,FALSE,FALSE,"start occupied cells < 40; end occupied cells < 40","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Larus_fuscus",2165,18,50,0.443697499232713,6210316.32744481,6197646.36042169,"northerly","southern margin",,6204351.84724831,,FALSE,FALSE,FALSE,"start occupied cells < 40","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Larus_marinus",2165,38,119,0.495763364775721,6210320.43159259,6197646.36042169,"northerly","southern margin",,6092971.60983111,,FALSE,FALSE,FALSE,"start occupied cells < 40","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Thalasseus_sandvicensis",2165,50,29,-0.236572006437063,6220994.11580312,6197646.36042169,"northerly","southern margin",6192044.11580312,,,FALSE,FALSE,FALSE,"end occupied cells < 40","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Tringa_glareola",2165,66,28,-0.372385904199649,6196915.32792433,6197646.36042169,"southerly","northern margin",6246419.11580312,,,FALSE,FALSE,FALSE,"end occupied cells < 40","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Tringa_ochropus",2165,27,38,0.148419832457823,6182954.3922263,6197646.36042169,"southerly","northern margin",,,,FALSE,FALSE,FALSE,"start occupied cells < 40; end occupied cells < 40","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Columba_palumbus",2165,1896,2054,0.0347621062592119,6195997.10815529,6197646.36042169,"southerly","northern margin",6377044.11580312,6380419.11580312,3.375,TRUE,TRUE,FALSE,"occupied cells > 2000 in at least one atlas","Southerly species
northern margin"
