"comparison","start_atlas","end_atlas","start_period","end_period","species","n_shared_cells","start_occupied_cells","end_occupied_cells","status_change_log10","start_mean_northing_m","national_mean_northing_m","distribution_class","margin_type","start_margin_northing_m","end_margin_northing_m","margin_shift_km","near_ubiquitous","margin_eligible","main_included","exclusion_reason","distribution_label"
"1970s to 1990s","1","2","1970s","1990s","Anas_acuta",2165,80,58,-0.139661993429006,6172794.11580312,6197646.36042169,"southerly","northern margin",6246544.11580312,6196044.11580312,-50.5,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Anas_crecca",2165,215,191,-0.0514050926678778,6201745.8276989,6197646.36042169,"northerly","southern margin",6090472.06724293,6097001.76776888,6.5297005259553,FALSE,TRUE,TRUE,"","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Anas_platyrhynchos",2165,1421,1866,0.118317561483011,6192155.07335641,6197646.36042169,"southerly","northern margin",6370169.11580312,6377044.11580312,6.875,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Anser_anser",2165,228,474,0.317843494673631,6143114.80903817,6197646.36042169,"southerly","northern margin",6219169.11580312,6334544.11580312,115.375,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Aythya_ferina",2165,144,227,0.197663365097873,6179203.83802534,6197646.36042169,"southerly","northern margin",6281794.11580312,6301044.11580312,19.25,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Aythya_fuligula",2165,125,371,0.472463896606989,6197864.029516,6197646.36042169,"northerly","southern margin",6119825.09615587,6081044.11580312,-38.7809803527547,FALSE,TRUE,TRUE,"","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Cygnus_olor",2165,908,999,0.0414796397048972,6176018.0337977,6197646.36042169,"southerly","northern margin",6337294.11580312,6351669.11580312,14.375,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Mergus_serrator",2165,356,359,0.00364445060544396,6170016.76203416,6197646.36042169,"southerly","northern margin",6319544.11580312,6323794.11580312,4.25,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Somateria_mollissima",2165,117,186,0.201327082471755,6164864.20424532,6197646.36042169,"southerly","northern margin",6239919.11580312,6275044.11580312,35.125,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Spatula_clypeata",2165,191,251,0.118640354233311,6170775.79119579,6197646.36042169,"southerly","northern margin",6300419.11580312,6300044.11580312,-0.375,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Spatula_querquedula",2165,114,109,-0.019478353395849,6182751.29174691,6197646.36042169,"southerly","northern margin",6283044.11580312,6293169.11580312,10.125,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Tadorna_tadorna",2165,957,1222,0.106159268129692,6192084.3346025,6197646.36042169,"southerly","northern margin",6355669.11580312,6367919.11580312,12.25,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Apus_apus",2165,471,620,0.119370782369358,6175975.04279322,6197646.36042169,"southerly","northern margin",6318669.11580312,6348919.11580312,30.25,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Caprimulgus_europaeus",2165,151,123,-0.0890718358537715,6219360.63806058,6197646.36042169,"northerly","southern margin",6129845.23732504,6157084.27391147,27.2390365864281,FALSE,TRUE,TRUE,"","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Calidris_alpina",2165,150,77,-0.289600533883199,6221894.11580312,6197646.36042169,"northerly","southern margin",6117169.11580312,6155294.11580312,38.125,FALSE,TRUE,TRUE,"","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Calidris_pugnax",2165,129,45,-0.457377196523905,6201945.27859382,6197646.36042169,"northerly","southern margin",6094919.11580312,6179419.11580312,84.5,FALSE,TRUE,TRUE,"","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Charadrius_dubius",2165,101,232,0.361166611108257,6166121.50084548,6197646.36042169,"southerly","northern margin",6218419.11580312,6302044.11580312,83.625,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Charadrius_hiaticula",2165,564,572,0.00611692480968192,6197914.683179,6197646.36042169,"northerly","southern margin",6073044.11580312,6068169.11580312,-4.875,FALSE,TRUE,TRUE,"","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Chroicocephalus_ridibundus",2165,638,419,-0.182606655754867,6202201.90127941,6197646.36042169,"northerly","southern margin",6073794.11580312,6083794.11580312,10,FALSE,TRUE,TRUE,"","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Gallinago_gallinago",2165,957,690,-0.142062847039588,6195402.35115399,6197646.36042169,"southerly","northern margin",6362419.11580312,6362169.11580312,-0.25,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Haematopus_ostralegus",2165,687,862,0.0985505287651623,6193483.50289154,6197646.36042169,"southerly","northern margin",6347044.11580312,6352044.11580312,5,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Larus_argentatus",2165,227,240,0.0241853845184833,6165855.6917642,6197646.36042169,"southerly","northern margin",6313169.11580312,6320294.11580312,7.125,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Larus_canus",2165,331,311,-0.0270676047488813,6169898.55132571,6197646.36042169,"southerly","northern margin",6333419.11580312,6328419.11580312,-5,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Limosa_limosa",2165,83,54,-0.186684332553105,6177595.3206224,6197646.36042169,"southerly","northern margin",6252794.11580312,6212919.11580312,-39.875,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Numenius_arquata",2165,145,130,-0.0474246499281381,6208501.01235484,6197646.36042169,"northerly","southern margin",6108794.11580312,6140294.11580312,31.5,FALSE,TRUE,TRUE,"","Northerly species
southern margin"
"1970s to 1990s","1","2","1970s","1990s","Recurvirostra_avosetta",2165,260,219,-0.0745292331306996,6183101.80811081,6197646.36042169,"southerly","northern margin",6324794.11580312,6325294.11580312,0.5,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Scolopax_rusticola",2165,229,359,0.195258966238431,6168965.37926759,6197646.36042169,"southerly","northern margin",6283169.11580312,6330044.11580312,46.875,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Sterna_hirundo",2165,160,106,-0.178814117391155,6188356.61580312,6197646.36042169,"southerly","northern margin",6313044.11580312,6281294.11580312,-31.75,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
"1970s to 1990s","1","2","1970s","1990s","Sterna_paradisaea",2165,228,207,-0.041964501543536,6182557.27369786,6197646.36042169,"southerly","northern margin",6326294.11580312,6323919.11580312,-2.375,FALSE,TRUE,TRUE,"","Southerly species
northern margin"
