"comparison","distribution_class","distribution_label","model_variant","model_variant_label","n_species","intercept_km","intercept_se","intercept_p_value","slope_km_per_log10_ratio","slope_se","slope_p_value","r_squared","adjusted_r_squared","strongest_decline_species"
"1970s to 1990s","southerly","Southerly species
northern margin","main","Main model",81,2.61126742440114,1.97455807370491,0.18983201153725,165.642030524915,9.84748152197521,7.83385427198237e-28,0.781730361619531,0.778967454804589,"Oriolus_oriolus"
"1970s to 1990s","southerly","Southerly species
northern margin","omit_1_strongest_decline","Omit strongest decline",80,0.823900149989022,1.87503346794443,0.661582661078644,178.46986914786,9.64611554226793,2.95221976712523e-30,0.814424534080263,0.812045361440267,"Acrocephalus_schoenobaenus"
"1970s to 1990s","southerly","Southerly species
northern margin","omit_2_strongest_declines","Omit two strongest declines",79,-0.521345513181204,1.82143640997301,0.775472428710471,187.15606536513,9.51224774675813,9.1274453684121e-32,0.834093323532902,0.831938691370992,"Sternula_albifrons"
"1970s to 1990s","southerly","Southerly species
northern margin","plus_near_ubiquitous","Include near-ubiquitous species",93,1.78809437874395,1.73031897610572,0.30415995033411,166.483269181586,9.22467587211115,8.07405373631311e-32,0.781625803426306,0.779226086980442,"Oriolus_oriolus"
"1990s to 2010s","southerly","Southerly species
northern margin","main","Main model",66,1.91266812291078,2.26478442086299,0.40152177909153,156.069373455318,12.431292621536,6.41190749869911e-19,0.711213365896468,0.7067010747386,"Oenanthe_oenanthe"
"1990s to 2010s","southerly","Southerly species
northern margin","omit_1_strongest_decline","Omit strongest decline",65,1.58938961758088,2.32951181449117,0.497560128170272,158.684611491448,13.1276408038726,4.59851166821894e-18,0.698731068035007,0.69394902149588,"Ficedula_hypoleuca"
"1990s to 2010s","southerly","Southerly species
northern margin","omit_2_strongest_declines","Omit two strongest declines",64,0.0711924838537132,2.2593692154789,0.974964119620045,170.60227392868,13.0408460799827,1.72413648485989e-19,0.734068319538598,0.729779098885994,"Mergus_serrator"
"1990s to 2010s","southerly","Southerly species
northern margin","plus_near_ubiquitous","Include near-ubiquitous species",70,1.65251656425855,2.14045622520421,0.442766003527338,156.179383421516,12.0837264538692,5.51606997284472e-20,0.710699452112695,0.706445032290822,"Oenanthe_oenanthe"
"1970s to 1990s","northerly","Northerly species
southern margin","main","Main model",29,12.952873854354,2.96129443030012,0.000163507433398419,-119.070793984581,8.93029867448581,2.14670902543787e-13,0.868150034600652,0.863266702548824,"Athene_noctua"
"1970s to 1990s","northerly","Northerly species
southern margin","omit_1_strongest_decline","Omit strongest decline",28,10.9570445961893,2.8620463858856,0.000730245077820144,-111.695635904323,8.81578891711557,1.24561870115002e-12,0.860610531986887,0.855249398601767,"Calidris_pugnax"
"1970s to 1990s","northerly","Northerly species
southern margin","omit_2_strongest_declines","Omit two strongest declines",27,9.23634994701707,2.89658078739316,0.00382018261207688,-105.513351947864,9.08946888905097,1.45810563401107e-11,0.843508228337758,0.837248557471268,"Calidris_alpina"
"1970s to 1990s","northerly","Northerly species
southern margin","plus_near_ubiquitous","Include near-ubiquitous species",29,12.952873854354,2.96129443030012,0.000163507433398419,-119.070793984581,8.93029867448581,2.14670902543787e-13,0.868150034600652,0.863266702548824,"Athene_noctua"
"1990s to 2010s","northerly","Northerly species
southern margin","main","Main model",43,-1.41446201837397,2.40194526008508,0.559171240656567,-77.3908749887623,12.2388633481875,1.5000311911487e-07,0.493733546644129,0.481385584367156,"Anas_crecca"
"1990s to 2010s","northerly","Northerly species
southern margin","omit_1_strongest_decline","Omit strongest decline",42,-2.61820608122328,2.23517862893979,0.248383301829104,-62.9730217805863,12.1970243059654,7.03399879367487e-06,0.399907470765825,0.38490515753497,"Perdix_perdix"
"1990s to 2010s","northerly","Northerly species
southern margin","omit_2_strongest_declines","Omit two strongest declines",41,-2.51803236928349,2.30062054206447,0.280448973769486,-63.7016304129404,12.7153838675719,1.21424186757196e-05,0.391558340814747,0.37595727263051,"Turdus_pilaris"
"1990s to 2010s","northerly","Northerly species
southern margin","plus_near_ubiquitous","Include near-ubiquitous species",56,-1.06117520390027,1.83698589447676,0.565886692957977,-77.3654151374206,10.6776418462356,1.64470624551975e-09,0.492948375765527,0.483558530872296,"Anas_crecca"
