"comparison","distribution_class","distribution_label","model_variant","model_variant_label","n_species","intercept_km","intercept_se","intercept_p_value","slope_km_per_log10_ratio","slope_se","slope_p_value","r_squared","adjusted_r_squared","strongest_decline_species"
"1970s to 1990s","southerly","Southerly species
northern margin","main","Main model",85,2.58765691826746,1.98444078961356,0.195847692369861,161.789360718874,9.16416647529031,7.73416109286106e-30,0.789704978938977,0.787171303986435,"Oriolus_oriolus"
"1970s to 1990s","southerly","Southerly species
northern margin","omit_1_strongest_decline","Omit strongest decline",84,0.891797500317005,1.90906071694479,0.641639070523681,172.418176934463,9.03312844490997,6.565638461503e-32,0.816277636256237,0.814037119625215,"Acrocephalus_schoenobaenus"
"1970s to 1990s","southerly","Southerly species
northern margin","omit_2_strongest_declines","Omit two strongest declines",83,-0.350128080303079,1.8758046867338,0.852397949739467,179.463804132946,8.97496105200468,4.54883829613805e-33,0.83154555611095,0.829465871618492,"Sternula_albifrons"
"1970s to 1990s","southerly","Southerly species
northern margin","plus_near_ubiquitous","Include near-ubiquitous species",97,1.79065164772527,1.74381417508601,0.307094275074966,162.758058638454,8.58598371032032,4.76428673364461e-34,0.790905229640892,0.788704232058165,"Oriolus_oriolus"
"1990s to 2010s","southerly","Southerly species
northern margin","main","Main model",69,2.30970454184925,2.19089182812611,0.295564477011803,157.051867817184,12.1533805263389,7.30136204862296e-20,0.713663708677913,0.709390032688031,"Oenanthe_oenanthe"
"1990s to 2010s","southerly","Southerly species
northern margin","omit_1_strongest_decline","Omit strongest decline",68,1.99576506177839,2.25224004099428,0.378767822534464,159.613957006515,12.8208490890813,5.56451145859091e-19,0.701346110013593,0.696821051074405,"Ficedula_hypoleuca"
"1990s to 2010s","southerly","Southerly species
northern margin","omit_2_strongest_declines","Omit two strongest declines",67,0.52498686671264,2.18633436004739,0.810991396026646,171.267902404517,12.7413457562988,1.95269815581662e-20,0.735433249972219,0.731362992279484,"Mergus_serrator"
"1990s to 2010s","southerly","Southerly species
northern margin","plus_near_ubiquitous","Include near-ubiquitous species",73,2.03518078448261,2.07652243895918,0.330369143466648,157.183242478326,11.832892177168,6.25877313807336e-21,0.713077592728484,0.709036432062688,"Oenanthe_oenanthe"
"1970s to 1990s","northerly","Northerly species
southern margin","main","Main model",31,13.1441909807678,2.80513817559933,6.07116351795683e-05,-118.679892914449,8.58249535321035,2.68524967642745e-14,0.868311878535237,0.863770908829555,"Athene_noctua"
"1970s to 1990s","northerly","Northerly species
southern margin","omit_1_strongest_decline","Omit strongest decline",30,11.1591533107641,2.7132165498935,0.000310239944269481,-111.294017435987,8.47609838143607,1.73105993852781e-13,0.86028342652946,0.855293548905513,"Calidris_pugnax"
"1970s to 1990s","northerly","Northerly species
southern margin","omit_2_strongest_declines","Omit two strongest declines",29,9.45190118997894,2.74759799794456,0.00190501153133548,-105.104901600357,8.74193587599657,2.37497510292905e-12,0.842615334385825,0.836786272696411,"Calidris_alpina"
"1970s to 1990s","northerly","Northerly species
southern margin","plus_near_ubiquitous","Include near-ubiquitous species",31,13.1441909807678,2.80513817559933,6.07116351795683e-05,-118.679892914449,8.58249535321035,2.68524967642745e-14,0.868311878535237,0.863770908829555,"Athene_noctua"
"1990s to 2010s","northerly","Northerly species
southern margin","main","Main model",46,-1.63819128571043,2.25136940373629,0.470687108184629,-75.9917144135293,11.6498669596525,5.73885087795144e-08,0.491618153459442,0.48006402058352,"Anas_crecca"
"1990s to 2010s","northerly","Northerly species
southern margin","omit_1_strongest_decline","Omit strongest decline",45,-2.67236173461665,2.07993932818034,0.205731069902238,-62.1876747404427,11.4992635549193,2.63564033891048e-06,0.404812507157945,0.390970937556967,"Perdix_perdix"
"1990s to 2010s","northerly","Northerly species
southern margin","omit_2_strongest_declines","Omit two strongest declines",44,-2.59214770839968,2.13276451827013,0.231004135740167,-62.8025287200816,11.9397449471088,4.56031918835543e-06,0.397133224540834,0.382779253696568,"Turdus_pilaris"
"1990s to 2010s","northerly","Northerly species
southern margin","plus_near_ubiquitous","Include near-ubiquitous species",59,-1.25510649832405,1.74986146268548,0.476142521467965,-75.8938931525853,10.2509182383925,6.75905951353523e-10,0.49022289759242,0.481279439655445,"Anas_crecca"
