"survey","site","atlas","period","group","species_pool_size","group_richness","hotspot_threshold","is_hotspot"
"AD90_1","AD90","1","1970s","Dabbling ducks",8,6,3,TRUE
"AE83_1","AE83","1","1970s","Dabbling ducks",8,0,3,FALSE
"BD19_1","BD19","1","1970s","Dabbling ducks",8,4,3,TRUE
"DC09_1","DC09","1","1970s","Dabbling ducks",8,2,3,FALSE
"DA80_1","DA80","1","1970s","Dabbling ducks",8,0,3,FALSE
"DA90_1","DA90","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB10_1","DB10","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB11_1","DB11","1","1970s","Dabbling ducks",8,2,3,FALSE
"DB12_1","DB12","1","1970s","Dabbling ducks",8,2,3,FALSE
"DB13_1","DB13","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB14_1","DB14","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB15_1","DB15","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB16_1","DB16","1","1970s","Dabbling ducks",8,1,3,FALSE
"BD20_1","BD20","1","1970s","Dabbling ducks",8,2,3,FALSE
"DB20_1","DB20","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB21_1","DB21","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB22_1","DB22","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB23_1","DB23","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB24_1","DB24","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB25_1","DB25","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB26_1","DB26","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB30_1","DB30","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB31_1","DB31","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB32_1","DB32","1","1970s","Dabbling ducks",8,1,3,FALSE
"BD21_1","BD21","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB33_1","DB33","1","1970s","Dabbling ducks",8,3,3,TRUE
"DB34_1","DB34","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB35_1","DB35","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB36_1","DB36","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB40_1","DB40","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB41_1","DB41","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB42_1","DB42","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB43_1","DB43","1","1970s","Dabbling ducks",8,2,3,FALSE
"DB44_1","DB44","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB45_1","DB45","1","1970s","Dabbling ducks",8,1,3,FALSE
"BD22_1","BD22","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB46_1","DB46","1","1970s","Dabbling ducks",8,2,3,FALSE
"DB47_1","DB47","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB50_1","DB50","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB51_1","DB51","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB52_1","DB52","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB53_1","DB53","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB54_1","DB54","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB55_1","DB55","1","1970s","Dabbling ducks",8,2,3,FALSE
"DB56_1","DB56","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB57_1","DB57","1","1970s","Dabbling ducks",8,0,3,FALSE
"BD23_1","BD23","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB60_1","DB60","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB61_1","DB61","1","1970s","Dabbling ducks",8,0,3,FALSE
"DB62_1","DB62","1","1970s","Dabbling ducks",8,1,3,FALSE
"DB63_1","DB63","1","1970s","Dabbling ducks",8,1,3,FALSE
