"atlas","period","species","occupied_surveys","total_surveys","occupancy_proportion"
"1","1970s","Accipiter_nisus",628,2165,0.290069284064665
"1","1970s","Astur_gentilis",207,2165,0.0956120092378753
"1","1970s","Buteo_buteo",882,2165,0.407390300230947
"1","1970s","Circus_aeruginosus",95,2165,0.0438799076212471
"1","1970s","Circus_pygargus",33,2165,0.0152424942263279
"1","1970s","Milvus_milvus",3,2165,0.00138568129330254
"1","1970s","Pernis_apivorus",177,2165,0.0817551963048499
"1","1970s","Anas_acuta",80,2165,0.0369515011547344
"1","1970s","Anas_crecca",215,2165,0.0993071593533487
"1","1970s","Anas_platyrhynchos",1421,2165,0.65635103926097
"1","1970s","Anser_anser",228,2165,0.105311778290993
"1","1970s","Aythya_ferina",144,2165,0.066512702078522
"1","1970s","Aythya_fuligula",125,2165,0.0577367205542725
"1","1970s","Bucephala_clangula",1,2165,0.00046189376443418
"1","1970s","Cygnus_olor",908,2165,0.419399538106236
"1","1970s","Mareca_penelope",3,2165,0.00138568129330254
"1","1970s","Mareca_strepera",17,2165,0.00785219399538106
"1","1970s","Mergus_merganser",18,2165,0.00831408775981524
"1","1970s","Mergus_serrator",356,2165,0.164434180138568
"1","1970s","Netta_rufina",3,2165,0.00138568129330254
"1","1970s","Somateria_mollissima",117,2165,0.0540415704387991
"1","1970s","Spatula_clypeata",191,2165,0.0882217090069284
"1","1970s","Spatula_querquedula",114,2165,0.0526558891454965
"1","1970s","Tadorna_tadorna",957,2165,0.44203233256351
"1","1970s","Apus_apus",471,2165,0.217551963048499
"1","1970s","Caprimulgus_europaeus",151,2165,0.0697459584295612
"1","1970s","Actitis_hypoleucos",18,2165,0.00831408775981524
"1","1970s","Alca_torda",1,2165,0.00046189376443418
"1","1970s","Anarhynchus_alexandrinus",40,2165,0.0184757505773672
"1","1970s","Arenaria_interpres",10,2165,0.0046189376443418
"1","1970s","Calidris_alpina",150,2165,0.069284064665127
"1","1970s","Calidris_pugnax",129,2165,0.0595842956120092
"1","1970s","Cepphus_grylle",19,2165,0.00877598152424942
"1","1970s","Charadrius_dubius",101,2165,0.0466512702078522
"1","1970s","Charadrius_hiaticula",564,2165,0.260508083140878
"1","1970s","Chlidonias_niger",37,2165,0.0170900692840647
"1","1970s","Chroicocephalus_ridibundus",638,2165,0.294688221709007
"1","1970s","Gallinago_gallinago",957,2165,0.44203233256351
"1","1970s","Gelochelidon_nilotica",11,2165,0.00508083140877598
"1","1970s","Haematopus_ostralegus",687,2165,0.317321016166282
"1","1970s","Hydrocoloeus_minutus",6,2165,0.00277136258660508
"1","1970s","Larus_argentatus",227,2165,0.104849884526559
"1","1970s","Larus_canus",331,2165,0.152886836027714
"1","1970s","Larus_fuscus",18,2165,0.00831408775981524
"1","1970s","Larus_marinus",38,2165,0.0175519630484988
"1","1970s","Limosa_limosa",83,2165,0.038337182448037
"1","1970s","Numenius_arquata",145,2165,0.0669745958429561
"1","1970s","Pluvialis_apricaria",9,2165,0.00415704387990762
"1","1970s","Recurvirostra_avosetta",260,2165,0.120092378752887
"1","1970s","Rissa_tridactyla",4,2165,0.00184757505773672
"1","1970s","Scolopax_rusticola",229,2165,0.105773672055427
"1","1970s","Sterna_hirundo",160,2165,0.0739030023094688
"1","1970s","Sterna_paradisaea",228,2165,0.105311778290993
"1","1970s","Sternula_albifrons",173,2165,0.0799076212471132
"1","1970s","Thalasseus_sandvicensis",50,2165,0.023094688221709
"1","1970s","Tringa_glareola",66,2165,0.0304849884526559
"1","1970s","Tringa_ochropus",27,2165,0.0124711316397229
"1","1970s","Tringa_totanus",743,2165,0.343187066974596
"1","1970s","Uria_aalge",1,2165,0.00046189376443418
"1","1970s","Vanellus_vanellus",1879,2165,0.867898383371824
"1","1970s","Ciconia_ciconia",63,2165,0.0290993071593533
"1","1970s","Columba_oenas",46,2165,0.0212471131639723
"1","1970s","Columba_palumbus",1896,2165,0.875750577367206
"1","1970s","Streptopelia_decaocto",1134,2165,0.52378752886836
"1","1970s","Streptopelia_turtur",18,2165,0.00831408775981524
"1","1970s","Alcedo_atthis",108,2165,0.0498845265588915
"1","1970s","Cuculus_canorus",1686,2165,0.778752886836028
"1","1970s","Falco_peregrinus",1,2165,0.00046189376443418
"1","1970s","Falco_subbuteo",8,2165,0.00369515011547344
"1","1970s","Falco_tinnunculus",767,2165,0.354272517321016
"1","1970s","Coturnix_coturnix",36,2165,0.0166281755196305
"1","1970s","Lyrurus_tetrix",65,2165,0.0300230946882217
"1","1970s","Perdix_perdix",1346,2165,0.621709006928406
"1","1970s","Crex_crex",86,2165,0.0397228637413395
"1","1970s","Fulica_atra",1318,2165,0.608775981524249
"1","1970s","Gallinula_chloropus",1343,2165,0.620323325635104
"1","1970s","Grus_grus",3,2165,0.00138568129330254
"1","1970s","Porzana_porzana",57,2165,0.0263279445727483
"1","1970s","Rallus_aquaticus",245,2165,0.113163972286374
"1","1970s","Acanthis_flammea",140,2165,0.0646651270207852
"1","1970s","Acrocephalus_arundinaceus",56,2165,0.0258660508083141
"1","1970s","Acrocephalus_palustris",837,2165,0.386605080831409
"1","1970s","Acrocephalus_schoenobaenus",1126,2165,0.520092378752887
"1","1970s","Acrocephalus_scirpaceus",1122,2165,0.51824480369515
"1","1970s","Aegithalos_caudatus",457,2165,0.21108545034642
"1","1970s","Alauda_arvensis",2076,2165,0.958891454965358
"1","1970s","Anthus_campestris",26,2165,0.0120092378752887
"1","1970s","Anthus_petrosus",18,2165,0.00831408775981524
"1","1970s","Anthus_pratensis",1229,2165,0.567667436489607
"1","1970s","Anthus_trivialis",1249,2165,0.576905311778291
"1","1970s","Carduelis_carduelis",946,2165,0.436951501154734
"1","1970s","Carpodacus_erythrinus",6,2165,0.00277136258660508
"1","1970s","Certhia_brachydactyla",32,2165,0.0147806004618938
"1","1970s","Certhia_familiaris",548,2165,0.253117782909931
"1","1970s","Chloris_chloris",1634,2165,0.75473441108545
"1","1970s","Cinclus_cinclus",12,2165,0.00554272517321016
"1","1970s","Coccothraustes_coccothraustes",341,2165,0.157505773672055
"1","1970s","Coloeus_monedula",1154,2165,0.533025404157044
"1","1970s","Corvus_corax",132,2165,0.0609699769053118
"1","1970s","Corvus_cornix",1538,2165,0.710392609699769
"1","1970s","Corvus_corone",158,2165,0.0729792147806005
"1","1970s","Corvus_frugilegus",332,2165,0.153348729792148
"1","1970s","Curruca_communis",1892,2165,0.873903002309469
"1","1970s","Curruca_curruca",1681,2165,0.776443418013857
"1","1970s","Curruca_nisoria",20,2165,0.0092378752886836
"1","1970s","Cyanistes_caeruleus",1686,2165,0.778752886836028
"1","1970s","Delichon_urbicum",1431,2165,0.660969976905312
"1","1970s","Emberiza_calandra",1740,2165,0.803695150115473
"1","1970s","Emberiza_citrinella",2023,2165,0.934411085450346
"1","1970s","Emberiza_schoeniclus",1600,2165,0.739030023094688
"1","1970s","Erithacus_rubecula",1671,2165,0.771824480369515
"1","1970s","Ficedula_hypoleuca",517,2165,0.238799076212471
"1","1970s","Ficedula_parva",8,2165,0.00369515011547344
"1","1970s","Fringilla_coelebs",1990,2165,0.919168591224019
"1","1970s","Fringilla_montifringilla",19,2165,0.00877598152424942
"1","1970s","Galerida_cristata",186,2165,0.0859122401847575
"1","1970s","Garrulus_glandarius",968,2165,0.447113163972286
"1","1970s","Hippolais_icterina",1646,2165,0.76027713625866
"1","1970s","Hirundo_rustica",1943,2165,0.897459584295612
"1","1970s","Lanius_collurio",508,2165,0.234642032332564
"1","1970s","Lanius_excubitor",23,2165,0.0106235565819861
"1","1970s","Linaria_cannabina",1846,2165,0.852655889145497
"1","1970s","Locustella_luscinioides",29,2165,0.0133949191685912
"1","1970s","Locustella_naevia",232,2165,0.10715935334873
"1","1970s","Lophophanes_cristatus",746,2165,0.344572748267898
"1","1970s","Loxia_curvirostra",153,2165,0.0706697459584296
"1","1970s","Lullula_arborea",136,2165,0.0628175519630485
"1","1970s","Luscinia_luscinia",890,2165,0.41108545034642
"1","1970s","Motacilla_alba",1662,2165,0.767667436489607
"1","1970s","Motacilla_cinerea",99,2165,0.0457274826789838
"1","1970s","Motacilla_flava",540,2165,0.249422632794457
"1","1970s","Muscicapa_striata",691,2165,0.319168591224018
"1","1970s","Nucifraga_caryocatactes",3,2165,0.00138568129330254
"1","1970s","Oenanthe_oenanthe",501,2165,0.231408775981524
"1","1970s","Oriolus_oriolus",201,2165,0.0928406466512702
"1","1970s","Panurus_biarmicus",28,2165,0.012933025404157
"1","1970s","Parus_major",1960,2165,0.905311778290993
"1","1970s","Passer_domesticus",1958,2165,0.904387990762125
"1","1970s","Passer_montanus",1673,2165,0.772748267898383
