"comparison","turnover_type","species"
"1970s to 1990s","gained","Aegolius_funereus"
"1970s to 1990s","gained","Branta_leucopsis"
"1970s to 1990s","gained","Bubo_bubo"
"1970s to 1990s","gained","Circus_cyaneus"
"1970s to 1990s","gained","Cygnus_cygnus"
"1970s to 1990s","gained","Haliaeetus_albicilla"
"1970s to 1990s","gained","Ichthyaetus_melanocephalus"
"1970s to 1990s","gained","Locustella_fluviatilis"
"1970s to 1990s","gained","Luscinia_svecica"
"1970s to 1990s","gained","Pandion_haliaetus"
"1970s to 1990s","gained","Phylloscopus_trochiloides"
"1970s to 1990s","gained","Platalea_leucorodia"
"1970s to 1990s","gained","Poecile_montanus"
"1970s to 1990s","lost","Falco_peregrinus"
"1970s to 1990s","lost","Hydrocoloeus_minutus"
"1970s to 1990s","lost","Netta_rufina"
"1990s to 2010s","gained","Aquila_chrysaetos"
"1990s to 2010s","gained","Falco_peregrinus"
"1990s to 2010s","gained","Hydrocoloeus_minutus"
"1990s to 2010s","gained","Hydroprogne_caspia"
"1990s to 2010s","gained","Loxia_leucoptera"
"1990s to 2010s","gained","Luscinia_megarhynchos"
"1990s to 2010s","gained","Netta_rufina"
"1990s to 2010s","lost","Circus_cyaneus"
"1990s to 2010s","lost","Curruca_nisoria"
"1990s to 2010s","lost","Fringilla_montifringilla"
"1990s to 2010s","lost","Lyrurus_tetrix"
