"survey","site","atlas","period","X","Y","species_richness","rarity_score","rarity_percentile","rarity_rank","is_top_decile"
"CC05_3","CC05","3","2010s",502500.018940672,6327499.55050851,76,0.523106768580429,1,1,TRUE
"AE98_3","AE98","3","2010s",447500.153133994,6242499.6437634,77,0.503997111625229,0.999474513925381,2,TRUE
"CC04_3","CC04","3","2010s",502500.015102732,6322499.62632896,94,0.491459886921224,0.998949027850762,3,TRUE
"BG45_3","BG45","3","2010s",472500.02007161,6127499.9043659,74,0.452736984512496,0.998423541776143,4,TRUE
"BG31_3","BG31","3","2010s",467499.903635527,6107499.75032856,73,0.446487766461792,0.997898055701524,5,TRUE
"DC88_3","DC88","3","2010s",592499.555488297,6342500.03654958,81,0.437138247429093,0.997372569626905,6,TRUE
"BF04_3","BF04","3","2010s",452500.126585402,6172499.76372504,90,0.424893197196743,0.996847083552286,7,TRUE
"BD08_3","BD08","3","2010s",452499.987168059,6292499.76476652,58,0.418988342926499,0.996321597477667,8,TRUE
"BH86_3","BH86","3","2010s",492500.057263492,6082499.80666465,70,0.41407452955853,0.995796111403048,9,TRUE
"BG32_3","BG32","3","2010s",467499.912146756,6112499.74607548,68,0.398483741362364,0.995270625328429,10,TRUE
"DC41_3","DC41","3","2010s",572499.821296516,6307499.92901304,94,0.386158518421033,0.99474513925381,11,TRUE
"AE95_3","AE95","3","2010s",447500.181987255,6227499.7479244,74,0.373264061110483,0.994219653179191,12,TRUE
"GG10_3","GG10","3","2010s",707500.224191048,6102499.47737853,75,0.371298492758866,0.993694167104572,13,TRUE
"GE01_3","GE01","3","2010s",702500.378710623,6207499.89230482,103,0.366977544955218,0.993168681029953,14,TRUE
"CC14_3","CC14","3","2010s",507499.94254047,6322499.64783941,64,0.362971198353297,0.992643194955334,15,TRUE
"BH76_3","BH76","3","2010s",487500.048187175,6082499.80044377,45,0.349852665942298,0.992117708880715,16,TRUE
"BF08_3","BF08","3","2010s",452500.1095007,6192499.72538707,53,0.338345565117223,0.991592222806096,17,TRUE
"HA07_3","HA07","3","2010s",863751.2660785,6137416.16692685,88,0.332212737982289,0.991066736731477,18,TRUE
"BF02_3","BF02","3","2010s",452500.152308494,6162499.7866961,80,0.330993942506759,0.990541250656858,19,TRUE
"GF43_3","GF43","3","2010s",722500.383918834,6167499.73768856,81,0.330635446158583,0.990015764582239,20,TRUE
"EF93_3","EF93","3","2010s",647500.235611454,6167499.82370214,111,0.329231709640695,0.98949027850762,21,TRUE
"BG29_3","BG29","3","2010s",462500.084871241,6147499.94167722,86,0.328269880758909,0.988964792433,22,TRUE
"GF74_3","GF74","3","2010s",737500.391410232,6172499.77742168,39,0.324087515247183,0.988439306358382,23,TRUE
"BC83_3","BC83","3","2010s",492499.997856006,6317499.64178633,57,0.316679246711299,0.987913820283763,24,TRUE
"FE82_3","FE82","3","2010s",692500.346334333,6212499.95622279,99,0.315012836315369,0.987388334209143,25,TRUE
"GH59_3","GH59","3","2010s",727500.227613787,6097499.18040168,74,0.314022401300373,0.986862848134524,26,TRUE
"BF39_3","BF39","3","2010s",467500.107024696,6197499.8285216,86,0.305976522679007,0.986337362059905,27,TRUE
"HA52_3","HA52","3","2010s",890853.200999102,6114615.58665435,70,0.305953123143674,0.985811875985286,28,TRUE
"FH11_3","FH11","3","2010s",657500.126210716,6057499.64529841,86,0.304125868279061,0.985286389910667,29,TRUE
"DF38_3","DF38","3","2010s",567499.985526249,6192499.88279332,85,0.298756161610013,0.984760903836048,30,TRUE
"DH98_3","DH98","3","2010s",597500.154992423,6092499.78831973,58,0.296210971807543,0.984235417761429,31,TRUE
"GF17_3","GF17","3","2010s",707500.349707284,6187499.74338767,91,0.294335839724043,0.98370993168681,32,TRUE
"BE07_3","BE07","3","2010s",452500.139775942,6237499.6159931,71,0.281846991524758,0.983184445612191,33,TRUE
"EG94_3","EG94","3","2010s",647500.190165515,6122499.6571959,81,0.275740459805258,0.982658959537572,34,TRUE
"HA03_3","HA03","3","2010s",865472.227274062,6117457.74120337,67,0.274531605623963,0.982133473462953,35,TRUE
"FE30_3","FE30","3","2010s",667500.269153674,6202499.83369963,104,0.274091890701601,0.981607987388334,36,TRUE
"EF09_3","EF09","3","2010s",602499.963655327,6197499.8690203,67,0.27357969062394,0.981082501313715,37,TRUE
