"hotspot_group","dominant_landcover","n_cells","group_total","percent_cells"
"Other Atlas 3 cells","Cropland",1200,1713,70.0525394045534
"Other Atlas 3 cells","Fresh/saltwater",230,1713,13.4267367192061
"Other Atlas 3 cells","Forest",156,1713,9.10683012259194
"Other Atlas 3 cells","Urban",99,1713,5.77933450087566
"Other Atlas 3 cells","Pasture",17,1713,0.99241097489784
"Other Atlas 3 cells","Grass/shrub",11,1713,0.642148277875073
"Top-decile rarity hotspots","Fresh/saltwater",61,191,31.9371727748691
"Top-decile rarity hotspots","Cropland",52,191,27.2251308900524
"Top-decile rarity hotspots","Forest",38,191,19.8952879581152
"Top-decile rarity hotspots","Pasture",23,191,12.0418848167539
"Top-decile rarity hotspots","Urban",17,191,8.90052356020942
