"hotspot_group","variable","variable_label","n_cells","mean","median","sd","q25","q75","min","max"
"Other Atlas 3 cells","tmean_year","Annual temperature",1713,9.62888114293776,9.62295275394558,0.229050532989947,9.47626684119738,9.78155829052979,9.00136662923859,10.2274215074076
"Top-decile rarity hotspots","tmean_year","Annual temperature",191,9.71906505810997,9.71953608047108,0.266692319020789,9.54560152575102,9.91545168776728,9.01713874168456,10.2651025826159
"Other Atlas 3 cells","tmean_winter","Winter temperature",1713,2.20715410042365,2.22221429287685,0.453163630985613,1.88650671620734,2.48195454587422,1.01515798579438,3.77624302894578
"Top-decile rarity hotspots","tmean_winter","Winter temperature",191,2.34915122035957,2.40272006286974,0.57883843806606,1.91006609698186,2.66747061134259,0.947117926695406,3.49820602626655
"Other Atlas 3 cells","tmean_breeding","Breeding temperature",1713,9.55448096144652,9.54634055823547,0.189980773756365,9.447761294682,9.65154491376076,8.53896461470421,10.07246739392
"Top-decile rarity hotspots","tmean_breeding","Breeding temperature",191,9.60376127994146,9.61061148435921,0.241743728074867,9.50258292758005,9.72715914717039,8.48662092784028,10.0403702168449
"Other Atlas 3 cells","prec_year","Annual precipitation",1713,569.39630006095,553.547992361664,75.128607968665,502.809266755059,632.853235775868,437.038220233358,752.77130050863
"Top-decile rarity hotspots","prec_year","Annual precipitation",191,548.372001422843,517.789194705616,69.9901397106433,495.714220758227,607.102757137109,432.589456173283,734.761739769498
"Other Atlas 3 cells","prec_winter","Winter precipitation",1713,151.164851088007,151.315117118486,23.998913060372,128.022552934575,172.557488222864,103.958056571946,201.497429749845
"Top-decile rarity hotspots","prec_winter","Winter precipitation",191,141.482224439903,137.660334344612,22.5280068749492,121.776398116026,160.650520513428,102.775568787931,195.342045057503
"Other Atlas 3 cells","prec_breeding","Breeding precipitation",1713,205.573591769641,202.148711337698,21.1322231550515,189.141391832344,221.002342766238,148.64947777565,264.45084747612
"Top-decile rarity hotspots","prec_breeding","Breeding precipitation",191,197.571404644533,194.157804835595,19.9902897180262,185.807244857902,205.119262830407,146.65715163698,263.929092214437
"Other Atlas 3 cells","hh","Habitat heterogeneity",1713,0.475068049033669,0.514438302772747,0.200271759620008,0.336766328800044,0.6364935529234,0,0.84531197802587
"Top-decile rarity hotspots","hh","Habitat heterogeneity",191,0.599837375709492,0.623637553296231,0.132794662357375,0.543146917222473,0.69127863625154,0.12059583889349,0.802961842796442
"Other Atlas 3 cells","unique","Land-cover class richness",1713,4.22942206654991,4,1.2457491102563,3,5,1,7
"Top-decile rarity hotspots","unique","Land-cover class richness",191,4.8586387434555,5,1.14979001761031,4,6,2,7
"Other Atlas 3 cells","perc_urban","Urban",1713,0.113038494474392,0.0664585101228088,0.147012315391517,0.0169410152542819,0.146128003717835,0,1
"Top-decile rarity hotspots","perc_urban","Urban",191,0.127400823771271,0.0668659685768223,0.163833117672584,0.00567221445309903,0.167696424579329,0,0.867692367873472
"Other Atlas 3 cells","perc_cropland","Cropland",1713,0.544695316298728,0.58665383701696,0.28711825866936,0.313847812658876,0.787269509856164,0,1
"Top-decile rarity hotspots","perc_cropland","Cropland",191,0.240775191782093,0.189541878438234,0.228170576123637,0.0266782931658923,0.388090437368069,0,0.901969858384062
"Other Atlas 3 cells","perc_pasture","Pasture",1713,0.0376158784587826,0,0.0766202192900518,0,0.0428044322719654,0,0.655206861004292
"Top-decile rarity hotspots","perc_pasture","Pasture",191,0.130536202249272,0.070634620935383,0.158855489911127,0,0.19639394318812,0,0.739063360937982
"Other Atlas 3 cells","perc_forest","Forest",1713,0.121130892232236,0.0517387526214163,0.168905170273275,0,0.176741121169728,0,1
"Top-decile rarity hotspots","perc_forest","Forest",191,0.194541632362205,0.126500541915977,0.219294318241514,0.00442209872899717,0.32522046442919,0,0.936694136099156
"Other Atlas 3 cells","perc_grass_shrub","Grass/shrub",1713,0.0695359857975639,0.048709333623838,0.0784172084046,0.00262918757593119,0.105477073915223,0,0.48307046552177
"Top-decile rarity hotspots","perc_grass_shrub","Grass/shrub",191,0.0488076905074236,0.0281820259185185,0.0603634974810938,0,0.0728844909466305,0,0.304564195152319
"Other Atlas 3 cells","perc_fresh_saltwater","Fresh/saltwater",1713,0.113394232169578,0,0.209387134858635,0,0.12494311179121,0,0.932257702364406
"Top-decile rarity hotspots","perc_fresh_saltwater","Fresh/saltwater",191,0.256232382614797,0.137087323149533,0.274418628683016,0,0.466837184062437,0,0.858326443970828
