bioregion,species,species_label,species_weight,rank_in_cluster,thermal_group,migratory_strategy,foraging_guild,variable,scaled_vp,variable_label,effect_size,supported,effect_sign,effect_direction,weighted_scaled_vp,weighted_supported_vp,weighted_signed_vp,effect_sign_label
Cluster 1,Alauda_arvensis,Alauda arvensis,0.01864338622033882,1,medium,sedentary and short-distance,Open-land insectivores,hh,0.005617143640605479,Land-use heterogeneity,1.211267530697611,TRUE,1,Positive,1.0472257834692802e-4,1.0472257834692802e-4,1.0472257834692802e-4,+
Cluster 1,Vanellus_vanellus,Vanellus vanellus,0.01824062498101882,2,cold,short-distance,Plovers,tmean_breeding,0.011159789260819002,Temperature,1.697024711442484,TRUE,1,Positive,2.0356153077380061e-4,2.0356153077380061e-4,2.0356153077380061e-4,+
Cluster 1,Vanellus_vanellus,Vanellus vanellus,0.01824062498101882,2,cold,short-distance,Plovers,prec_breeding,0.002158618588290386,Precipitation,-0.0102769350410404,TRUE,-1,Negative,3.937455214606119e-5,3.937455214606119e-5,-3.937455214606119e-5,-
Cluster 1,Vanellus_vanellus,Vanellus vanellus,0.01824062498101882,2,cold,short-distance,Plovers,perc_cropland,0.008158091241307789,Cropland (% coverage),0.8750600379835894,TRUE,1,Positive,1.4880868289362967e-4,1.4880868289362967e-4,1.4880868289362967e-4,+
Cluster 1,Vanellus_vanellus,Vanellus vanellus,0.01824062498101882,2,cold,short-distance,Plovers,perc_pasture,0.0021220516551070014,Pasture (% coverage),1.308545742296337,TRUE,1,Positive,3.8707548431157103e-5,3.8707548431157103e-5,3.8707548431157103e-5,+
Cluster 1,Turdus_merula,Turdus merula,0.018175567991089984,3,warm,sedentary,Thrushes,perc_urban,0.016056435426126153,Urban (% coverage),2.446728576902387,TRUE,1,Positive,2.918348337821018e-4,2.918348337821018e-4,2.918348337821018e-4,+
Cluster 1,Turdus_merula,Turdus merula,0.018175567991089984,3,warm,sedentary,Thrushes,perc_cropland,0.029867028441580814,Cropland (% coverage),1.497536729810873,TRUE,1,Positive,5.428502061317704e-4,5.428502061317704e-4,5.428502061317704e-4,+
Cluster 1,Turdus_merula,Turdus merula,0.018175567991089984,3,warm,sedentary,Thrushes,perc_forest,0.02687533464529451,Forest (% coverage),2.845904292514214,TRUE,1,Positive,4.884744721288466e-4,4.884744721288466e-4,4.884744721288466e-4,+
Cluster 1,Emberiza_citrinella,Emberiza citrinella,0.017950454117937425,4,cold,sedentary,Buntings,prec_breeding,0.004424467282198167,Precipitation,-0.02008615539849875,TRUE,-1,Negative,7.94211969454135e-5,7.94211969454135e-5,-7.94211969454135e-5,-
Cluster 1,Emberiza_citrinella,Emberiza citrinella,0.017950454117937425,4,cold,sedentary,Buntings,hh,0.0028541250139530582,Land-use heterogeneity,0.8377412352254298,TRUE,1,Positive,5.1232840109821885e-5,5.1232840109821885e-5,5.1232840109821885e-5,+
Cluster 1,Emberiza_citrinella,Emberiza citrinella,0.017950454117937425,4,cold,sedentary,Buntings,perc_cropland,0.015378196367936381,Cropland (% coverage),1.517264814761641,TRUE,1,Positive,2.7604560831927396e-4,2.7604560831927396e-4,2.7604560831927396e-4,+
Cluster 1,Emberiza_citrinella,Emberiza citrinella,0.017950454117937425,4,cold,sedentary,Buntings,perc_forest,0.00697246323409167,Forest (% coverage),2.002847209819585,TRUE,1,Positive,1.251588813725681e-4,1.251588813725681e-4,1.251588813725681e-4,+
Cluster 1,Emberiza_citrinella,Emberiza citrinella,0.017950454117937425,4,cold,sedentary,Buntings,perc_grass_shrub,0.001929974235309946,Grass/Shrubland (% coverage),2.016865757001141,TRUE,1,Positive,3.4643913959732556e-5,3.4643913959732556e-5,3.4643913959732556e-5,+
Cluster 1,Sturnus_vulgaris,Sturnus vulgaris,0.01769350094194663,5,cold,short-distance,Starlings,perc_urban,0.022339021217747095,Urban (% coverage),3.504062518141677,TRUE,1,Positive,3.9525549295837395e-4,3.9525549295837395e-4,3.9525549295837395e-4,+
Cluster 1,Sturnus_vulgaris,Sturnus vulgaris,0.01769350094194663,5,cold,short-distance,Starlings,perc_cropland,0.008560145606745583,Cropland (% coverage),0.8373735724455871,TRUE,1,Positive,1.5145894435615327e-4,1.5145894435615327e-4,1.5145894435615327e-4,+
Cluster 1,Hirundo_rustica,Hirundo rustica,0.0174220283151542,6,warm,long-distance,Aerial insectivores,perc_urban,0.003681089603067302,Urban (% coverage),1.595971292726511,TRUE,1,Positive,6.413204729525827e-5,6.413204729525827e-5,6.413204729525827e-5,+
Cluster 1,Hirundo_rustica,Hirundo rustica,0.0174220283151542,6,warm,long-distance,Aerial insectivores,perc_cropland,0.010590309324069434,Cropland (% coverage),1.19144892784362,TRUE,1,Positive,1.8450466891017922e-4,1.8450466891017922e-4,1.8450466891017922e-4,+
