bioregion,effect_direction,variable_label,n_supported_species,weighted_dependency,mean_species_weight,total_weighted_dependency,dependency_share
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252
Cluster 1,Positive,Precipitation,21,5.477242709889772e-4,0.0013732615877178633,0.03711990882570075,0.014755539232621951
Cluster 1,Positive,Land-use heterogeneity,54,0.004884054493939135,0.0057929394754272605,0.03711990882570075,0.13157506708522831
Cluster 1,Positive,Urban (% coverage),59,0.005634322282664519,0.008949846419184074,0.03711990882570075,0.1517870722452712
Cluster 1,Positive,Cropland (% coverage),59,0.006803813635124744,0.009498097252321182,0.03711990882570075,0.18329284339227633
Cluster 1,Positive,Pasture (% coverage),33,9.85019296853285e-4,0.006881689904712217,0.03711990882570075,0.026536145373592245
Cluster 1,Positive,Forest (% coverage),88,0.009150169924825787,0.006827277168909989,0.03711990882570075,0.24650302800556648
Cluster 1,Positive,Grass/Shrubland (% coverage),33,9.202270251136908e-4,0.0074352425123488525,0.03711990882570075,0.024790659627820857
Cluster 1,Negative,Temperature,23,6.546425898885913e-4,0.003066348181496214,0.020555223582436902,0.031847991692386196
Cluster 1,Negative,Precipitation,66,0.007700106723609439,0.00794889635466998,0.020555223582436902,0.3746058364545681
Cluster 1,Negative,Land-use heterogeneity,3,9.250707579745581e-5,0.009737253112931537,0.020555223582436902,0.004500416909913696
Cluster 1,Negative,Urban (% coverage),33,0.0026458361310075923,0.004426672575347637,0.020555223582436902,0.12871843112756443
Cluster 1,Negative,Cropland (% coverage),31,0.0055306792389562195,0.004459900138639766,0.020555223582436902,0.2690644164864168
Cluster 1,Negative,Pasture (% coverage),8,3.075614236772939e-4,0.009096427714110967,0.020555223582436902,0.01496268928643934
Cluster 1,Negative,Forest (% coverage),24,0.0030336190753305846,0.005555900399573079,0.020555223582436902,0.1475838520152422
Cluster 1,Negative,Grass/Shrubland (% coverage),6,5.902713241697282e-4,0.008088816873896166,0.020555223582436902,0.028716366027469367
Cluster 2,Positive,Temperature,66,0.0030368604506684264,0.0045781249053519464,0.03596579839653618,0.08443745408306862
Cluster 2,Positive,Precipitation,21,8.054626913447451e-4,0.002177478808060261,0.03596579839653618,0.022395240124081832
Cluster 2,Positive,Land-use heterogeneity,54,0.001555504563956722,0.0038022857342878444,0.03596579839653618,0.04324954910792501
Cluster 2,Positive,Urban (% coverage),59,0.0066070109032420514,0.010241276609873073,0.03596579839653618,0.18370260630383684
Cluster 2,Positive,Cropland (% coverage),59,0.008450653853728216,0.011793508789053064,0.03596579839653618,0.2349636107214038
Cluster 2,Positive,Pasture (% coverage),33,8.906663563744181e-4,0.006589839633633819,0.03596579839653618,0.0247642592708354
Cluster 2,Positive,Forest (% coverage),88,0.013908431015455254,0.008530279595981804,0.03596579839653618,0.38671270027456855
Cluster 2,Positive,Grass/Shrubland (% coverage),33,7.112085617663444e-4,0.007123720116788992,0.03596579839653618,0.019774580114279905
Cluster 2,Negative,Temperature,23,7.538755012180877e-4,0.003965843554045546,0.007221297183723947,0.10439613299910225
Cluster 2,Negative,Precipitation,66,0.003862059964138876,0.006200475283254014,0.007221297183723947,0.5348152646097376
Cluster 2,Negative,Land-use heterogeneity,3,1.1454838875088492e-4,0.01221932857730847,0.007221297183723947,0.015862577849456893
Cluster 2,Negative,Urban (% coverage),33,5.973494223595961e-4,0.0013186881225415454,0.007221297183723947,0.08272051504900804
Cluster 2,Negative,Cropland (% coverage),31,0.0010798939804713321,0.0013170688658055278,0.007221297183723947,0.1495429357076317
Cluster 2,Negative,Pasture (% coverage),8,1.806119935921338e-4,0.006588587207571029,0.007221297183723947,0.02501101796491833
Cluster 2,Negative,Forest (% coverage),24,5.191170046175255e-4,0.0014507801790164118,0.007221297183723947,0.07188694654300631
Cluster 2,Negative,Grass/Shrubland (% coverage),6,1.138409285755108e-4,0.0014449483662443425,0.007221297183723947,0.015764609277138797
Cluster 3,Positive,Temperature,66,0.0035290280688502827,0.004779690110026353,0.03709314235958959,0.0951396361796221
Cluster 3,Positive,Precipitation,21,7.920820856905317e-4,0.0023202615131574177,0.03709314235958959,0.021353868540225113
Cluster 3,Positive,Land-use heterogeneity,54,0.002278466860207915,0.0048743985044000255,0.03709314235958959,0.06142555510988864
Cluster 3,Positive,Urban (% coverage),59,0.006487565225728814,0.010611780336685575,0.03709314235958959,0.17489931596619238
Cluster 3,Positive,Cropland (% coverage),59,0.007837678716181363,0.011125803295876138,0.03709314235958959,0.21129724303756944
Cluster 3,Positive,Pasture (% coverage),33,7.057223257840566e-4,0.005970795103830925,0.03709314235958959,0.01902568186169345
Cluster 3,Positive,Forest (% coverage),88,0.014676191156552549,0.008328983671171256,0.03709314235958959,0.3956578014954388
Cluster 3,Positive,Grass/Shrubland (% coverage),33,7.864079205940784e-4,0.007143059104902186,0.03709314235958959,0.02120089780937016
Cluster 3,Negative,Temperature,23,0.0013507731934193127,0.005837686034082474,0.01115302823559894,0.12111268481396195
Cluster 3,Negative,Precipitation,66,0.0063033316095427614,0.007116945643387035,0.01115302823559894,0.5651677263241734
Cluster 3,Negative,Land-use heterogeneity,3,1.1368240542979285e-4,0.011469315407190407,0.01115302823559894,0.010192963115338861
Cluster 3,Negative,Urban (% coverage),33,7.875213637344734e-4,0.0016283711719906851,0.01115302823559894,0.0706105415586426
