bioregion,effect_direction,variable_label,n_supported_species,weighted_dependency,mean_species_weight,total_weighted_dependency,dependency_share,raw_tiles,tile_n,remainder,tile_within_variable,tile_id,tile_col,tile_row
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,1,1,1,10
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,2,2,2,10
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,3,3,3,10
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,4,4,4,10
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,5,5,5,10
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,6,6,6,10
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,7,7,7,10
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,8,8,8,10
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,9,9,9,10
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,10,10,10,10
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,11,11,1,9
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,12,12,2,9
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,13,13,3,9
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,14,14,4,9
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,15,15,5,9
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,16,16,6,9
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,17,17,7,9
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,18,18,8,9
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,19,19,9,9
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,20,20,10,9
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,21,21,1,8
Cluster 1,Positive,Temperature,66,0.00819457789619061,0.006154329127485303,0.03711990882570075,0.22075964503762252,22.07596450376225,22,0.0759645037622505,22,22,2,8
Cluster 1,Positive,Precipitation,21,5.477242709889772e-4,0.0013732615877178633,0.03711990882570075,0.014755539232621951,1.475553923262195,1,0.47555392326219503,1,23,3,8
Cluster 1,Positive,Land-use heterogeneity,54,0.004884054493939135,0.0057929394754272605,0.03711990882570075,0.13157506708522831,13.157506708522831,13,0.15750670852283122,1,24,4,8
Cluster 1,Positive,Land-use heterogeneity,54,0.004884054493939135,0.0057929394754272605,0.03711990882570075,0.13157506708522831,13.157506708522831,13,0.15750670852283122,2,25,5,8
Cluster 1,Positive,Land-use heterogeneity,54,0.004884054493939135,0.0057929394754272605,0.03711990882570075,0.13157506708522831,13.157506708522831,13,0.15750670852283122,3,26,6,8
Cluster 1,Positive,Land-use heterogeneity,54,0.004884054493939135,0.0057929394754272605,0.03711990882570075,0.13157506708522831,13.157506708522831,13,0.15750670852283122,4,27,7,8
Cluster 1,Positive,Land-use heterogeneity,54,0.004884054493939135,0.0057929394754272605,0.03711990882570075,0.13157506708522831,13.157506708522831,13,0.15750670852283122,5,28,8,8
Cluster 1,Positive,Land-use heterogeneity,54,0.004884054493939135,0.0057929394754272605,0.03711990882570075,0.13157506708522831,13.157506708522831,13,0.15750670852283122,6,29,9,8
Cluster 1,Positive,Land-use heterogeneity,54,0.004884054493939135,0.0057929394754272605,0.03711990882570075,0.13157506708522831,13.157506708522831,13,0.15750670852283122,7,30,10,8
Cluster 1,Positive,Land-use heterogeneity,54,0.004884054493939135,0.0057929394754272605,0.03711990882570075,0.13157506708522831,13.157506708522831,13,0.15750670852283122,8,31,1,7
