bioregion,species,expected_occurrence_sum,expected_occurrence_share,n_sites,mean_predicted_probability,rank_in_cluster,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,species_label
Cluster 1,Alauda_arvensis,399.821774352843,0.01864338622033882,401,0.9970617814285362,1,medium,sedentary and short-distance,Open-land insectivores,12.1983199326,Alauda arvensis
Cluster 1,Vanellus_vanellus,391.1842494181401,0.01824062498101882,401,0.9755218189978556,2,cold,short-distance,Plovers,11.532605723,Vanellus vanellus
Cluster 1,Turdus_merula,389.78905217017314,0.018175567991089984,401,0.972042524115145,3,warm,sedentary,Thrushes,12.5843398181,Turdus merula
Cluster 1,Emberiza_citrinella,384.96131180522235,0.017950454117937425,401,0.9600032713347191,4,cold,sedentary,Buntings,11.5528442066,Emberiza citrinella
Cluster 1,Sturnus_vulgaris,379.4507530721656,0.01769350094194663,401,0.9462612296063979,5,cold,short-distance,Starlings,11.8027600322,Sturnus vulgaris
Cluster 1,Hirundo_rustica,373.62881353556116,0.0174220283151542,401,0.9317426771460379,6,warm,long-distance,Aerial insectivores,12.4305273248,Hirundo rustica
Cluster 1,Passer_domesticus,373.2828179702534,0.017405894804254255,401,0.9308798453123527,7,medium,sedentary,Passerine seedeaters,12.2628071769,Passer domesticus
Cluster 1,Emberiza_schoeniclus,371.7249754081975,0.017333253786636093,401,0.9269949511426372,8,cold,sedentary and short-distance,Buntings,11.2704483494,Emberiza schoeniclus
Cluster 1,Fringilla_coelebs,367.22135640478683,0.01712325344684533,401,0.9157639810593188,9,medium,sedentary and short-distance,Foliage gleaners,12.2951633877,Fringilla coelebs
Cluster 1,Curruca_communis,363.5637553866534,0.016952702284314624,401,0.9066427815128514,10,warm,long-distance,Foliage gleaners,12.6535890847,Curruca communis
Cluster 1,Parus_major,362.80909695580533,0.016917513133814985,401,0.9047608402887913,11,medium,sedentary and short-distance,Tit-like birds,12.343727765,Parus major
Cluster 1,Linaria_cannabina,362.20980210168466,0.016889568469112024,401,0.9032663394056974,12,very warm,short-distance,Passerine seedeaters,13.1603552715,Linaria cannabina
Cluster 1,Cuculus_canorus,349.0237238633285,0.016274711637647085,401,0.8703833512801209,13,medium,long-distance,Cuckoos,12.1394391784,Cuculus canorus
Cluster 1,Columba_palumbus,348.65840550084147,0.016257677119363902,401,0.8694723329198042,14,medium,sedentary and short-distance,Columbids,12.2214205187,Columba palumbus
Cluster 1,Phylloscopus_trochilus,348.1472728659086,0.016233843392103056,401,0.8681976879449091,15,very cold,long-distance,Foliage gleaners,10.4596695622,Phylloscopus trochilus
Cluster 1,Emberiza_calandra,333.16588212895397,0.015535272499912564,401,0.8308376112941496,16,very warm,sedentary,Buntings,14.2313581317,Emberiza calandra
Cluster 1,Motacilla_alba,332.27337252223214,0.015493655453591337,401,0.8286119015517011,17,medium,short-distance,Open-land insectivores,11.9859302219,Motacilla alba
Cluster 1,Anas_platyrhynchos,331.82896757885726,0.015472933187999433,401,0.8275036597976491,18,cold,sedentary and short-distance,Dabbling ducks,11.8110548425,Anas platyrhynchos
Cluster 1,Turdus_philomelos,325.3866752775119,0.015172533982096498,401,0.8114380929613764,19,cold,short-distance,Thrushes,11.3956704897,Turdus philomelos
Cluster 1,Anthus_pratensis,325.28183384867776,0.015167645305753617,401,0.811176643014159,20,very cold,short-distance,Open-land insectivores,9.9487726902,Anthus pratensis
Cluster 1,Acrocephalus_schoenobaenus,320.5187243905258,0.01494554512278632,401,0.7992985645649022,21,cold,long-distance,Marsh warblers,11.3913898283,Acrocephalus schoenobaenus
Cluster 1,Fulica_atra,318.77893860845785,0.014864420230755996,401,0.7949599466545083,22,warm,sedentary and short-distance,Rails,12.9624637063,Fulica atra
Cluster 1,Hippolais_icterina,317.26250852079136,0.014793710245422483,401,0.7911783254882577,23,cold,long-distance,Foliage gleaners,11.3916568563,Hippolais icterina
Cluster 1,Curruca_curruca,314.4468109935691,0.014662416404398878,401,0.7841566358941873,24,cold,long-distance,Foliage gleaners,11.6399285102,Curruca curruca
Cluster 1,Pica_pica,310.4353395396419,0.01447536453172766,401,0.7741529664330222,25,medium,sedentary,Omnivorous corvids,12.155826028,Pica pica
Cluster 1,Passer_montanus,309.72036538286585,0.014442025828842074,401,0.7723699884859497,26,very warm,sedentary,Passerine seedeaters,13.070887931,Passer montanus
Cluster 1,Sylvia_borin,306.9525980621771,0.014312966937011699,401,0.7654678255914641,27,cold,long-distance,Foliage gleaners,11.3163422901,Sylvia borin
Cluster 1,Tringa_totanus,305.8269896665096,0.014260480670881613,401,0.7626608221109964,28,cold,short-distance,Scolopacids,11.0359375128,Tringa totanus
Cluster 1,Troglodytes_troglodytes,301.1823741348254,0.014043905769871457,401,0.7510782397377193,29,medium,sedentary,Low flycatching feeders,12.2368253494,Troglodytes troglodytes
Cluster 1,Acrocephalus_scirpaceus,299.87790918237295,0.013983079558095394,401,0.7478252099311046,30,very warm,long-distance,Marsh warblers,13.1524057431,Acrocephalus scirpaceus
Cluster 1,Gallinula_chloropus,298.6393502954104,0.01392532649618762,401,0.7447365344025196,31,very warm,sedentary and short-distance,Rails,13.3437206998,Gallinula chloropus
Cluster 1,Cyanistes_caeruleus,293.73001329701844,0.013696407833878729,401,0.7324937987456819,32,warm,sedentary,Tit-like birds,12.7367473555,Cyanistes caeruleus
Cluster 1,Prunella_modularis,293.0271777680611,0.013663635146005647,401,0.7307410916909255,33,very cold,sedentary and short-distance,Low flycatching feeders,10.9083374064,Prunella modularis
Cluster 1,Chloris_chloris,289.7959950677256,0.013512967546352431,401,0.7226832794706374,34,warm,sedentary and short-distance,Passerine seedeaters,12.6006224966,Chloris chloris
Cluster 1,Tadorna_tadorna,287.4776440180888,0.013404864594524293,401,0.7169018554067053,35,medium,short-distance,Dabbling ducks,12.0434493446,Tadorna tadorna
Cluster 1,Perdix_perdix,283.7891971983613,0.013232875115650451,401,0.7077037336617489,36,warm,sedentary,Gallinaceous birds,12.8463889005,Perdix perdix
Cluster 1,Erithacus_rubecula,278.55949550014105,0.012989018090267338,401,0.6946620835414989,37,medium,sedentary,Low flycatching feeders,11.998445823500001,Erithacus rubecula
Cluster 1,Gallinago_gallinago,274.48665515059065,0.012799104632518942,401,0.6845053744403757,38,very cold,short-distance,Scolopacids,10.2670472691,Gallinago gallinago
Cluster 1,Haematopus_ostralegus,274.2926795239243,0.012790059696106644,401,0.6840216446980655,39,very cold,short-distance,Plovers,10.4739718085,Haematopus ostralegus
Cluster 1,Corvus_cornix,274.24644536595423,0.012787903832372102,401,0.6839063475460205,40,medium,sedentary,Omnivorous corvids,12.1293990446,Corvus cornix
Cluster 1,Cygnus_olor,260.48496480686646,0.012146216426922436,401,0.649588440914879,41,medium,sedentary and short-distance,Grazing waterfowl,12.1899516659,Cygnus olor
Cluster 1,Delichon_urbicum,253.1496704313102,0.011804177211312612,401,0.6312959362376813,42,warm,long-distance,Aerial insectivores,12.3470551373,Delichon urbicum
Cluster 1,Saxicola_rubetra,243.38677102315006,0.011348940613477848,401,0.606949553673691,43,cold,long-distance,Low flycatching feeders,11.2990488425,Saxicola rubetra
Cluster 1,Sylvia_atricapilla,239.28983327209815,0.01115790351216645,401,0.5967327513019904,44,warm,short-distance,Foliage gleaners,12.6192368528,Sylvia atricapilla
Cluster 1,Streptopelia_decaocto,236.12919792301497,0.011010525482017917,401,0.5888508676384413,45,warm,sedentary,Columbids,12.9162282666,Streptopelia decaocto
Cluster 1,Charadrius_hiaticula,230.0226994407297,0.01072578408732167,401,0.5736226918721439,46,very cold,short-distance,Plovers,8.2214626932,Charadrius hiaticula
Cluster 1,Coloeus_monedula,224.08731767197978,0.010449021735248495,401,0.5588212410772563,47,warm,sedentary and short-distance,Omnivorous corvids,12.9581704982,Coloeus monedula
Cluster 1,Motacilla_flava,219.97582004751197,0.010257305718078022,401,0.5485681297942941,48,medium,long-distance,Open-land insectivores,12.136968586,Motacilla flava
Cluster 1,Chroicocephalus_ridibundus,212.67378623111298,0.009916817417125802,401,0.5303585691548952,49,cold,short-distance,Gulls,11.0679667544,Chroicocephalus ridibundus
Cluster 1,Riparia_riparia,210.3018891238197,0.009806217653224128,401,0.5244436137751115,50,medium,long-distance,Aerial insectivores,11.9550761988,Riparia riparia
Cluster 1,Regulus_regulus,192.05145769113534,0.00895521387175655,401,0.4789313159379934,51,very cold,short-distance,Tit-like birds,10.8075146552,Regulus regulus
