bioregion,variable,variable_label,n_species,weighted_mean_scaled_vp,supported_species_weight_share,positive_species_weight_share,negative_species_weight_share,supported_vp_weight,signed_weighted_vp,vp_weighted_direction_score,supported_vp_share,weighted_mean_supported_beta,relative_vp_share,direction_class
Cluster 1,hh,Land-use heterogeneity,157,0.006146457920818105,0.34203049101186667,0.31281873167307206,0.029211759338794607,0.004976561569736591,0.0047915474181416794,0.9628228950848277,0.809663327049053,0.9397392644851231,0.09629508635408161,Mostly positive
Cluster 1,perc_cropland,Cropland (% coverage),157,0.01325141764881594,0.6986446421847823,0.5603877378869496,0.13825690429783274,0.012334492874080963,0.0012731343961685274,0.10321740903055879,0.930805533488192,0.4741558018088352,0.20760679130084858,Mixed
Cluster 1,perc_forest,Forest (% coverage),157,0.012628953975291417,0.7341420004538332,0.6008003908640793,0.1333416095897539,0.012183789000156365,0.006116550849495207,0.5020237012818186,0.9647504475821181,1.0435415757789612,0.1978548017864805,Mostly positive
Cluster 1,perc_grass_shrub,Grass/Shrubland (% coverage),157,0.002218746354282907,0.2938959041508892,0.2453630029075121,0.048532901243376995,0.001510498349283419,3.2995570094396226e-4,0.2184416163715064,0.6807891070413085,0.885982173426828,0.034760568531646024,Mixed
Cluster 1,perc_pasture,Pasture (% coverage),157,0.0020230439531724914,0.29986718856839095,0.22709576685550317,0.07277142171288774,0.0012925807205305788,6.774578731759915e-4,0.5241126240053375,0.6389286394413641,0.741071022279021,0.03169454581459467,Mostly positive
Cluster 1,perc_urban,Urban (% coverage),157,0.008682701898634142,0.6741211337183323,0.5280409387318603,0.146080194986472,0.008280158413672108,0.0029884861516569286,0.3609213740068514,0.9536384538290601,0.9539266474717782,0.13602981422582267,Mostly positive
Cluster 1,prec_breeding,Precipitation,157,0.009154206226633554,0.5534656527502941,0.028838493342075125,0.5246271594082188,0.008247830994598419,-0.007152382452620461,-0.8671834397800613,0.9009881130492673,-0.017694245106831902,0.14341675977494037,Mostly negative
Cluster 1,tmean_breeding,Temperature,157,0.009723875510472185,0.47671173058844296,0.40618572241403,0.07052600817441292,0.008849220486079208,0.0075399353063020196,0.8520451398135195,0.9100507792956612,1.0554168998408502,0.15234163221158553,Mostly positive
Cluster 2,hh,Land-use heterogeneity,157,0.002951273338967701,0.24198141538346887,0.20532342965154352,0.03665798573192541,0.001670052952707607,0.0014409561752058374,0.8628206506085081,0.5658753903465138,0.595259145529858,0.05956163594008431,Mostly positive
Cluster 2,perc_cropland,Cropland (% coverage),157,0.01036036272463037,0.7366461533941022,0.6958170185541309,0.04082913483997138,0.009530547834199547,0.007370759873256885,0.7733826010302945,0.9199048418972775,0.7880343472545509,0.20908946137381393,Mostly positive
