dependency_feature,variable_label,effect_direction,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,loading_strength,loading_label
Temperature | Positive,Temperature,Positive,0.29911013553126925,-0.018965940686219054,0.018396691072468465,0.018351537476340184,-0.2827938345707863,-0.12415016595022352,0.44320122860447586,-0.4494466356392648,-0.3001224946901303,-0.008019494189263931,-0.40144579632888805,-0.033199504524273525,0.1347202328906489,0.3312074607340966,-0.012636398068564285,-0.18782070838021686,0.29971082743812816,Temperature +
Precipitation | Positive,Precipitation,Positive,-0.02633425215899514,0.07729322991271124,0.013710862438669657,0.5772436476875159,-0.09026962807011123,0.19466797747227008,0.6200515873995438,0.3592407899380367,0.1124402033972715,0.24580375801749196,0.14279796023569635,0.0051012294724120865,0.033586509259497285,-0.07151300582549279,0.016650241307106444,0.019311729706575454,0.08165620752345029,Precipitation +
Land-use heterogeneity | Positive,Land-use heterogeneity,Positive,0.3674941873350574,-0.11620063846688937,0.04375054083543518,0.117739616517392,0.04381845133815571,0.07608163048303712,0.04361882579474581,-9.712157254579908e-4,-0.01950608216738036,-0.6492538046587851,0.4042808282421502,0.297032222576269,0.3289106920815176,-0.04992401018512035,0.16606851453229698,-0.11925254403907613,0.385427770282795,Heterogeneity +
Urban (% coverage) | Positive,Urban (% coverage),Positive,-0.1179698270861886,-0.3688240350962939,-0.445642682978839,-0.26034927142648556,0.07594101816127467,-0.1768697648079213,0.21163557367552824,0.044415513438594983,0.007793662418633446,0.1786897473411811,0.4684346596037124,0.0058289544351787315,-0.056591716146297495,0.48538424312494116,0.09069580621353276,-0.037128319439696855,0.38723126031798816,Urban +
Cropland (% coverage) | Positive,Cropland (% coverage),Positive,-0.11830959470423778,-0.452495772709403,-0.2684723146126103,0.10858080311653286,0.27910935271082393,-0.12040847291963942,0.1310481008533574,-0.36893156375085756,0.19267989771852312,0.09856115657971805,-0.14222283966923796,-0.0575429982190503,0.3176744540036312,-0.5272304992848589,-0.04918659049211251,-0.0034857203070053017,0.46770672917861755,Cropland +
Pasture (% coverage) | Positive,Pasture (% coverage),Positive,-0.047779093310467605,-0.235500754357384,-0.11321539041490787,0.2599829907540576,-0.5270452501535219,0.37034923902369027,-0.3912500268917011,-0.23947164640746899,-0.28547387318372125,0.2792134986417075,0.2355872502526868,0.11965436325789817,0.0524038119710325,-0.06674695655969046,0.0037091208672033423,-2.505621999288573e-4,0.24029866221114773,Pasture +
Forest (% coverage) | Positive,Forest (% coverage),Positive,-0.11015896714539285,-0.3427697084656377,-0.0834754701922447,0.5728986002400431,0.16936730080976067,-0.18363323402329576,-0.1773448226450866,0.046157005117065254,-0.16417248578728333,-0.33782954590135916,-0.21628408268960095,-0.0819712157199797,-0.44632427572057604,0.20797079803438692,0.016812242669447915,0.04342247035892331,0.36003620801824643,Forest +
Grass/Shrubland (% coverage) | Positive,Grass/Shrubland (% coverage),Positive,-0.04820769871623069,-0.37761969089999486,0.32155741192571224,-0.06277464641974966,-0.14082529905665395,0.40037765130277514,-0.02157513641218641,-0.05413487426022556,0.6234834132674479,-0.09729072812006984,-0.15911708016462817,-0.17625890409246134,0.05189916266934609,0.3233774531826472,0.048426579096124085,-0.0039152326511752485,0.380684401008135,Grass/shrub +
Temperature | Negative,Temperature,Negative,-0.04465354951754347,-0.3664900582384699,0.4102187612396475,-0.009865773329862545,0.019955017692434636,-0.2917279247555391,-0.1461070317908007,0.46174557575378194,-0.28806662459066723,0.20917096984606007,-0.11405684094865517,-0.003756847192330495,0.46480681025151865,0.07738318712000357,-0.001562359012552964,-0.11602062197355968,0.3692003551896352,Temperature -
Precipitation | Negative,Precipitation,Negative,0.10141356262005664,-0.3713599818949657,0.4541541320981902,-0.26665551307467505,-0.07184132138907848,-0.024129375357945106,0.2953142487669612,-0.07288014290863125,-0.1687155762040647,0.02065768879921707,0.18582577386278673,0.1273324758104693,-0.5207633261250577,-0.32837662368663806,-0.067627055334036415,0.11377592459516743,0.3849583702640084,Precipitation -
