atlas,period,survey,site,X,Y,bioregion,nearest_distance,second_distance,assignment_margin,low_confidence,reference_cluster,validation_match
1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,Cluster 1,0.2215114453344832,0.36438260816165946,0.14287116282717627,FALSE,Cluster 1,TRUE
1,1970s,BD19_1,BD19,457500.063487968,6297499.744964002,Cluster 1,0.10996837756951074,0.1890492099395739,0.07908083237006315,FALSE,Cluster 1,TRUE
1,1970s,DC09_1,DC09,552499.6781305044,6347499.774804628,Cluster 1,0.09755169264270863,0.12024979927827109,0.02269810663556246,FALSE,Cluster 1,TRUE
1,1970s,DB11_1,DB11,557499.6898730142,6357499.755865983,Cluster 2,0.09183667470416704,0.11319099481433081,0.021354320110163777,FALSE,Cluster 2,TRUE
1,1970s,DB13_1,DB13,557499.6790873646,6367499.744899912,Cluster 3,0.15075157130954878,0.17980920123286545,0.029057629923316675,FALSE,Cluster 3,TRUE
1,1970s,DB14_1,DB14,557499.6920318474,6372499.795985679,Cluster 3,0.07272826878625627,0.15672407797647822,0.08399580919022195,FALSE,Cluster 3,TRUE
1,1970s,DB15_1,DB15,557499.6776623846,6377499.772861233,Cluster 3,0.06847679697000113,0.1442906993249737,0.07581390235497258,FALSE,Cluster 3,TRUE
1,1970s,DB16_1,DB16,557499.6934591797,6382499.787658613,Cluster 1,0.10841083792133786,0.13074441895533473,0.022333581033996866,FALSE,Cluster 1,TRUE
1,1970s,BD20_1,BD20,462500.0521724849,6252499.692892568,Cluster 3,0.06989771047685653,0.15306651949125497,0.08316880901439844,FALSE,Cluster 3,TRUE
1,1970s,DB20_1,DB20,562499.6596629414,6352499.822055593,Cluster 3,0.11075307407227312,0.187631951036945,0.07687887696467187,FALSE,Cluster 3,TRUE
1,1970s,DB21_1,DB21,562499.6778171846,6357499.774650563,Cluster 3,0.1620802016009559,0.18176793558944115,0.01968773398848525,FALSE,Cluster 3,TRUE
1,1970s,DB22_1,DB22,562499.6515363256,6362499.764446196,Cluster 1,0.1316944180216794,0.22387190985318978,0.09217749183151039,FALSE,Cluster 1,TRUE
1,1970s,DB23_1,DB23,562499.6400820935,6367499.792328508,Cluster 3,0.153681733933768,0.1829234107502909,0.0292416768165229,FALSE,Cluster 3,TRUE
1,1970s,DB24_1,DB24,562499.6441820732,6372499.746949654,Cluster 3,0.08249271823568602,0.10015605320501329,0.017663334969327274,FALSE,Cluster 3,TRUE
1,1970s,DB25_1,DB25,562499.6611575983,6377499.739594084,Cluster 3,0.08145258401474735,0.11525054791730091,0.03379796390255356,FALSE,Cluster 3,TRUE
1,1970s,DB26_1,DB26,562499.6900292314,6382499.770230629,Cluster 3,0.09301719730398274,0.13082628241525363,0.03780908511127089,FALSE,Cluster 3,TRUE
1,1970s,DB31_1,DB31,567499.6497347835,6357499.773935058,Cluster 3,0.13803826459818702,0.1796701487582207,0.04163188416003369,FALSE,Cluster 3,TRUE
1,1970s,DB32_1,DB32,567499.649767541,6362499.788996397,Cluster 3,0.0931794959516507,0.12873087118717064,0.03555137523551993,FALSE,Cluster 3,TRUE
1,1970s,BD21_1,BD21,462500.04652625887,6257499.613366459,Cluster 3,0.13479030063531633,0.1770511772663875,0.04226087663107117,FALSE,Cluster 3,TRUE
1,1970s,DB33_1,DB33,567499.6483663965,6367499.730884405,Cluster 1,0.10036158389255356,0.13985616701081033,0.039494583118256765,FALSE,Cluster 1,TRUE
1,1970s,DB34_1,DB34,567499.6427126657,6372499.710880268,Cluster 2,0.11542683108908984,0.1322093573129979,0.016782526223908065,FALSE,Cluster 2,TRUE
1,1970s,DB35_1,DB35,567499.6318198992,6377499.728951592,Cluster 3,0.09134566820226594,0.13713464888271865,0.0457889806804527,FALSE,Cluster 3,TRUE
1,1970s,DB36_1,DB36,567499.676348217,6382499.674741831,Cluster 3,0.0844768500497621,0.1566893129132695,0.07221246286350741,FALSE,Cluster 3,TRUE
1,1970s,DB40_1,DB40,572499.6344654928,6352499.8530826,Cluster 2,0.11310996643837898,0.14352956214420337,0.030419595705824393,FALSE,Cluster 2,TRUE
1,1970s,DB41_1,DB41,572499.6216895938,6357499.864695008,Cluster 3,0.11730492247608507,0.15589845125030943,0.03859352877422437,FALSE,Cluster 3,TRUE
1,1970s,DB42_1,DB42,572499.5906535387,6362499.80320541,Cluster 2,0.13448464008102254,0.1397438507071653,0.005259210626142763,TRUE,Cluster 2,TRUE
1,1970s,DB43_1,DB43,572499.5984189146,6367499.780956781,Cluster 3,0.06771033380995632,0.11352504660227784,0.04581471279232152,FALSE,Cluster 3,TRUE
1,1970s,DB44_1,DB44,572499.5838254265,6372499.796851205,Cluster 2,0.12361146091225514,0.13393056030810088,0.010319099395845743,TRUE,Cluster 2,TRUE
1,1970s,DB45_1,DB45,572499.6077339851,6377499.740606079,Cluster 3,0.07974421182233404,0.13530284227523326,0.055558630452899216,FALSE,Cluster 3,TRUE
1,1970s,BD22_1,BD22,462500.04672205047,6262499.682150681,Cluster 3,0.1093707295950423,0.20888606294878742,0.09951533335374513,FALSE,Cluster 3,TRUE
1,1970s,DB46_1,DB46,572499.6071544627,6382499.722435604,Cluster 3,0.1660390787721349,0.18286129655670288,0.016822217784567994,FALSE,Cluster 3,TRUE
1,1970s,DB52_1,DB52,577499.5523310879,6362499.807698655,Cluster 3,0.08440618648254708,0.15185365409973106,0.06744746761718398,FALSE,Cluster 3,TRUE
