reference_bioregion,assigned_bioregion,n,prop,target_period
Cluster 1,Cluster 1,218,0.5575447570332481,1990s
Cluster 1,Cluster 2,142,0.3631713554987212,1990s
Cluster 1,Cluster 3,31,0.0792838874680307,1990s
Cluster 2,Cluster 1,24,0.027906976744186046,1990s
Cluster 2,Cluster 2,799,0.9290697674418604,1990s
Cluster 2,Cluster 3,37,0.04302325581395349,1990s
Cluster 3,Cluster 1,11,0.023157894736842106,1990s
Cluster 3,Cluster 2,219,0.4610526315789474,1990s
Cluster 3,Cluster 3,245,0.5157894736842106,1990s
Cluster 1,Cluster 1,141,0.3516209476309227,2010s
Cluster 1,Cluster 2,245,0.6109725685785536,2010s
Cluster 1,Cluster 3,15,0.03740648379052369,2010s
Cluster 2,Cluster 1,7,0.007963594994311717,2010s
Cluster 2,Cluster 2,870,0.9897610921501706,2010s
Cluster 2,Cluster 3,2,0.0022753128555176336,2010s
Cluster 3,Cluster 1,4,0.008064516129032258,2010s
Cluster 3,Cluster 2,392,0.7903225806451613,2010s
Cluster 3,Cluster 3,100,0.20161290322580644,2010s
