k,mean_silhouette,min_cluster_n,min_cluster_prop,scope
2,0.2297930176087385,2615,0.472875226039783,All atlas periods
3,0.20919853334232108,1487,0.2688969258589512,All atlas periods
4,0.20343325683330668,979,0.17703435804701628,All atlas periods
5,0.18060090838214055,864,0.1562386980108499,All atlas periods
6,0.18524009580753084,592,0.10705244122965642,All atlas periods
7,0.178327639750436,316,0.05714285714285714,All atlas periods
8,0.169800629885542,314,0.05678119349005425,All atlas periods
2,0.23669343031647685,821,0.4622747747747748,1970s
3,0.2535122602665558,424,0.23873873873873874,1970s
4,0.21755567950276028,258,0.14527027027027026,1970s
5,0.2026834257729109,195,0.1097972972972973,1970s
6,0.19165103614488999,140,0.07882882882882883,1970s
7,0.1920969443768085,132,0.07432432432432433,1970s
8,0.18720794312216513,132,0.07432432432432433,1970s
2,0.2466101666220496,842,0.45513513513513515,1990s
3,0.22453970532525852,471,0.2545945945945946,1990s
4,0.20405162463566962,387,0.2091891891891892,1990s
5,0.21477687886630376,218,0.11783783783783784,1990s
6,0.20574262993194767,178,0.09621621621621622,1990s
7,0.18661466730402346,154,0.08324324324324324,1990s
8,0.17954515074952207,151,0.08162162162162162,1990s
2,0.2827179562794388,831,0.4364495798319328,2010s
3,0.20314501614674257,577,0.30304621848739494,2010s
4,0.19848913454126385,452,0.23739495798319327,2010s
5,0.1987489386963013,292,0.15336134453781514,2010s
6,0.2091950453015791,177,0.09296218487394958,2010s
7,0.19051923325113201,181,0.09506302521008403,2010s
8,0.18991472900149883,108,0.05672268907563025,2010s
