Species,variable,beta_mean,prob_positive,atlas,period,certainty_weight,predictor_sd,standardized_beta,weighted_standardized_beta,variable_label
Accipiter_nisus,tmean_breeding,-0.58656305305038,0.01,1,1970s,0.98,0.19201524932505465,-0.11262905087633399,-0.11037646985880731,Temperature
Accipiter_nisus,prec_breeding,0.002590508196449753,0.724,1,1970s,0.44799999999999995,12.290676940288781,0.031839099353734066,0.01426391651047286,Precipitation
Accipiter_nisus,hh,-0.03981703422454179,0.455,1,1970s,0.08999999999999997,0.22882328977267316,-0.00911106476025077,-8.19995828422569e-4,Land-use heterogeneity
Accipiter_nisus,perc_urban,0.1699733686854475,0.669,1,1970s,0.3380000000000001,0.14084422666790042,0.023939767666639772,0.008091641471324245,Urban (% coverage)
Accipiter_nisus,perc_cropland,0.4430905334573409,0.971,1,1970s,0.942,0.32723748714239265,0.14499583274516248,0.13658607444594303,Cropland (% coverage)
Accipiter_nisus,perc_pasture,0.3156783303804773,0.753,1,1970s,0.506,0.0993572956234167,0.03136494519351969,0.015870662267920964,Pasture (% coverage)
Accipiter_nisus,perc_forest,2.585640008739882,1,1,1970s,1,0.16236497160786373,0.4198173666072074,0.4198173666072074,Forest (% coverage)
Accipiter_nisus,perc_grass_shrub,1.427862860194557,0.996,1,1970s,0.992,0.0765990783954602,0.1093729791660089,0.10849799533268083,Grass/Shrubland (% coverage)
Astur_gentilis,tmean_breeding,0.9880750047368444,1,1,1970s,1,0.19201524932505465,0.18972546838639973,0.18972546838639973,Temperature
Astur_gentilis,prec_breeding,0.02768865695531236,1,1,1970s,1,12.290676940288781,0.3403123375482242,0.3403123375482242,Precipitation
Astur_gentilis,hh,0.3643484024829625,0.864,1,1970s,0.728,0.22882328977267316,0.08337140007956949,0.06069437925792658,Land-use heterogeneity
Astur_gentilis,perc_urban,-0.3676494983381231,0.225,1,1970s,0.55,0.14084422666790042,-0.05178130927827449,-0.028479720103050974,Urban (% coverage)
Astur_gentilis,perc_cropland,0.5299832274223973,0.967,1,1970s,0.9339999999999999,0.32723748714239265,0.1734303795693205,0.16198397451774535,Cropland (% coverage)
Astur_gentilis,perc_pasture,0.2316792884236071,0.656,1,1970s,0.31200000000000006,0.0993572956234167,0.023019027549727154,0.007181936595514873,Pasture (% coverage)
Astur_gentilis,perc_forest,3.539386885001755,1,1,1970s,1,0.16236497160786373,0.5746724510925552,0.5746724510925552,Forest (% coverage)
Astur_gentilis,perc_grass_shrub,0.6486447519127208,0.826,1,1970s,0.6519999999999999,0.0765990783954602,0.049685590202566327,0.03239500481207324,Grass/Shrubland (% coverage)
Buteo_buteo,tmean_breeding,0.2276344928465369,0.783,1,1970s,0.5660000000000001,0.19201524932505465,0.04370929389891015,0.02473946034678315,Temperature
Buteo_buteo,prec_breeding,0.01404855563350859,0.994,1,1970s,0.988,12.290676940288781,0.17266625876912808,0.17059426366389854,Precipitation
Buteo_buteo,hh,0.4511918225504749,0.951,1,1970s,0.9019999999999999,0.22882328977267316,0.10324319715452784,0.0931253638333841,Land-use heterogeneity
Buteo_buteo,perc_urban,-0.1831415438376864,0.328,1,1970s,0.344,0.14084422666790042,-0.025794429112584324,-0.008873283614729006,Urban (% coverage)
Buteo_buteo,perc_cropland,1.051198854756433,1,1,1970s,1,0.32723748714239265,0.34399167171745615,0.34399167171745615,Cropland (% coverage)
Buteo_buteo,perc_pasture,1.131261657186248,0.993,1,1970s,0.986,0.0993572956234167,0.11239909890049032,0.11082551151588346,Pasture (% coverage)
Buteo_buteo,perc_forest,4.21214252225318,1,1,1970s,1,0.16236497160786373,0.6839044010339131,0.6839044010339131,Forest (% coverage)
Buteo_buteo,perc_grass_shrub,1.397760263201138,0.991,1,1970s,0.982,0.0765990783954602,0.10706714797900305,0.10513993931538099,Grass/Shrubland (% coverage)
Circus_aeruginosus,tmean_breeding,2.868047116006168,1,1,1970s,1,0.19201524932505465,0.5507087820559283,0.5507087820559283,Temperature
Circus_aeruginosus,prec_breeding,-0.004196467887600997,0.302,1,1970s,0.396,12.290676940288781,-0.05157743109679994,-0.02042466271433278,Precipitation
Circus_aeruginosus,hh,1.252537456936928,0.996,1,1970s,0.992,0.22882328977267316,0.28660974145980583,0.2843168635281274,Land-use heterogeneity
Circus_aeruginosus,perc_urban,-1.843454304553786,0.004,1,1970s,0.992,0.14084422666790042,-0.25963989592249015,-0.25756277675511025,Urban (% coverage)
Circus_aeruginosus,perc_cropland,0.3546402696044273,0.856,1,1970s,0.712,0.32723748714239265,0.11605159066485343,0.08262873255337563,Cropland (% coverage)
Circus_aeruginosus,perc_pasture,0.8548924442479763,0.878,1,1970s,0.756,0.0993572956234167,0.08493980130937147,0.06421448978988482,Pasture (% coverage)
Circus_aeruginosus,perc_forest,0.07188014996578981,0.552,1,1970s,0.10400000000000009,0.16236497160786373,0.01167081850836445,0.001213765124869904,Forest (% coverage)
Circus_aeruginosus,perc_grass_shrub,0.9471865353662319,0.828,1,1970s,0.6559999999999999,0.0765990783954602,0.07255361567764232,0.047595171884533355,Grass/Shrubland (% coverage)
Circus_pygargus,tmean_breeding,4.381070776040425,1,1,1970s,1,0.19201524932505465,0.8412323973721129,0.8412323973721129,Temperature
Circus_pygargus,prec_breeding,0.03282289977339159,1,1,1970s,1,12.290676940288781,0.40341565735823387,0.40341565735823387,Precipitation
Circus_pygargus,hh,0.6018136443760881,0.866,1,1970s,0.732,0.22882328977267316,0.13770897793621809,0.10080297184931164,Land-use heterogeneity
Circus_pygargus,perc_urban,-2.130530842412191,0.019,1,1970s,0.962,0.14084422666790042,-0.30007296889165547,-0.28867019607377253,Urban (% coverage)
Circus_pygargus,perc_cropland,0.1946675107975518,0.675,1,1970s,0.3500000000000001,0.32723748714239265,0.06370250706165544,0.02229587747157941,Cropland (% coverage)
Circus_pygargus,perc_pasture,0.7174470987720644,0.787,1,1970s,0.5740000000000001,0.0993572956234167,0.07128360348685864,0.04091678840145686,Pasture (% coverage)
Circus_pygargus,perc_forest,1.266554411284166,0.966,1,1970s,0.9319999999999999,0.16236497160786373,0.20564407102796817,0.19166027419806633,Forest (% coverage)
Circus_pygargus,perc_grass_shrub,1.347620677575543,0.869,1,1970s,0.738,0.0765990783954602,0.1032265019289522,0.07618115842356672,Grass/Shrubland (% coverage)
Pernis_apivorus,tmean_breeding,-0.6100349626670799,0.036,1,1970s,0.928,0.19201524932505465,-0.11713601545351976,-0.10870222234086634,Temperature
Pernis_apivorus,prec_breeding,0.004789826141882046,0.789,1,1970s,0.5780000000000001,12.290676940288781,0.05887020571002204,0.034026978900392746,Precipitation
Pernis_apivorus,hh,0.5578418442212227,0.939,1,1970s,0.8779999999999999,0.22882328977267316,0.12764720596755524,0.11207424683951349,Land-use heterogeneity
Pernis_apivorus,perc_urban,-0.3983462041724106,0.216,1,1970s,0.5680000000000001,0.14084422666790042,-0.05610476307275674,-0.031867505425325834,Urban (% coverage)
Pernis_apivorus,perc_cropland,0.5174727694492275,0.958,1,1970s,0.9159999999999999,0.32723748714239265,0.1693364887391799,0.15511222368508876,Cropland (% coverage)
Pernis_apivorus,perc_pasture,0.09521246373185721,0.578,1,1970s,0.15599999999999992,0.0993572956234167,0.009460052906039977,0.0014757682533422358,Pasture (% coverage)
Pernis_apivorus,perc_forest,2.77686339146681,1,1,1970s,1,0.16236497160786373,0.4508653457144248,0.4508653457144248,Forest (% coverage)
Pernis_apivorus,perc_grass_shrub,0.5107948356744074,0.738,1,1970s,0.476,0.0765990783954602,0.03912641366182014,0.018624172903026384,Grass/Shrubland (% coverage)
Anas_acuta,tmean_breeding,2.037702358477139,1,1,1970s,1,0.19201524932505465,0.3912699264132397,0.3912699264132397,Temperature
Anas_acuta,prec_breeding,-0.01982046633914755,0.025,1,1970s,0.95,12.290676940288781,-0.24360694858033077,-0.23142660115131422,Precipitation
Anas_acuta,hh,0.8203274122219373,0.963,1,1970s,0.9259999999999999,0.22882328977267316,0.18771001715532745,0.1738194758858332,Land-use heterogeneity
Anas_acuta,perc_urban,-3.218285587007511,0,1,1970s,1,0.14084422666790042,-0.4532769446985228,-0.4532769446985228,Urban (% coverage)
Anas_acuta,perc_cropland,-1.195719554505507,0,1,1970s,1,0.32723748714239265,-0.3912842623434033,-0.3912842623434033,Cropland (% coverage)
Anas_acuta,perc_pasture,0.0162433973849459,0.529,1,1970s,0.05800000000000005,0.0993572956234167,0.0016139000359047038,9.36062020824729e-5,Pasture (% coverage)
Anas_acuta,perc_forest,-1.023680192991696,0.064,1,1970s,0.872,0.16236497160786373,-0.1662098054706292,-0.14493495037038864,Forest (% coverage)
Anas_acuta,perc_grass_shrub,0.05053349813193866,0.532,1,1970s,0.06400000000000006,0.0765990783954602,0.0038708193850052106,2.477324406403337e-4,Grass/Shrubland (% coverage)
Anas_crecca,tmean_breeding,1.109972899992664,0.999,1,1970s,0.998,0.19201524932505465,0.2131317231361453,0.21270545968987303,Temperature
