atlas,period,bioregion,species,expected_occurrence_sum,mean_predicted_probability,n_sites,expected_occurrence_share,rank_in_cluster,thermal_group,migratory_strategy,foraging_guild,species_thermal_index
1,1970s,Cluster 1,Alauda_arvensis,399.821774352843,0.9970617814285357,401,0.01864338622033883,1,medium,sedentary and short-distance,Open-land insectivores,12.1983199326
1,1970s,Cluster 1,Vanellus_vanellus,391.1842494181401,0.9755218189978556,401,0.018240624981018826,2,cold,short-distance,Plovers,11.532605723
1,1970s,Cluster 1,Turdus_merula,389.78905217017314,0.972042524115145,401,0.01817556799108999,3,warm,sedentary,Thrushes,12.5843398181
1,1970s,Cluster 1,Emberiza_citrinella,384.96131180522235,0.9600032713347182,401,0.017950454117937432,4,cold,sedentary,Buntings,11.5528442066
1,1970s,Cluster 1,Sturnus_vulgaris,379.4507530721656,0.9462612296063985,401,0.017693500941946636,5,cold,short-distance,Starlings,11.8027600322
1,1970s,Cluster 1,Hirundo_rustica,373.62881353556116,0.9317426771460369,401,0.017422028315154207,6,warm,long-distance,Aerial insectivores,12.4305273248
1,1970s,Cluster 1,Passer_domesticus,373.2828179702534,0.9308798453123522,401,0.017405894804254262,7,medium,sedentary,Passerine seedeaters,12.2628071769
1,1970s,Cluster 1,Emberiza_schoeniclus,371.7249754081975,0.9269949511426362,401,0.017333253786636096,8,cold,sedentary and short-distance,Buntings,11.2704483494
1,1970s,Cluster 1,Fringilla_coelebs,367.22135640478683,0.9157639810593189,401,0.017123253446845333,9,medium,sedentary and short-distance,Foliage gleaners,12.2951633877
1,1970s,Cluster 1,Curruca_communis,363.5637553866534,0.9066427815128509,401,0.01695270228431463,10,warm,long-distance,Foliage gleaners,12.6535890847
1,1970s,Cluster 1,Parus_major,362.80909695580533,0.9047608402887908,401,0.01691751313381499,11,medium,sedentary and short-distance,Tit-like birds,12.343727765
1,1970s,Cluster 1,Linaria_cannabina,362.20980210168466,0.9032663394056983,401,0.016889568469112028,12,very warm,short-distance,Passerine seedeaters,13.1603552715
1,1970s,Cluster 1,Cuculus_canorus,349.0237238633285,0.8703833512801203,401,0.01627471163764709,13,medium,long-distance,Cuckoos,12.1394391784
1,1970s,Cluster 1,Columba_palumbus,348.65840550084147,0.8694723329198042,401,0.01625767711936391,14,medium,sedentary and short-distance,Columbids,12.2214205187
1,1970s,Cluster 1,Phylloscopus_trochilus,348.1472728659086,0.8681976879449091,401,0.016233843392103063,15,very cold,long-distance,Foliage gleaners,10.4596695622
1,1970s,Cluster 2,Turdus_merula,877.831301047141,0.9986704221241657,879,0.016891679171170123,1,warm,sedentary,Thrushes,12.5843398181
1,1970s,Cluster 2,Alauda_arvensis,873.5832375824851,0.9938375854180715,879,0.01680993575981291,2,medium,sedentary and short-distance,Open-land insectivores,12.1983199326
1,1970s,Cluster 2,Parus_major,871.1574472899922,0.9910778694994223,879,0.016763257461478765,3,medium,sedentary and short-distance,Tit-like birds,12.343727765
1,1970s,Cluster 2,Fringilla_coelebs,870.7032407882247,0.9905611385531568,879,0.016754517387507644,4,medium,sedentary and short-distance,Foliage gleaners,12.2951633877
1,1970s,Cluster 2,Sturnus_vulgaris,869.5773360933794,0.989280245840023,879,0.016732852153128377,5,cold,short-distance,Starlings,11.8027600322
1,1970s,Cluster 2,Emberiza_citrinella,869.5024123458969,0.989195008357108,879,0.016731410432033147,6,cold,sedentary,Buntings,11.5528442066
1,1970s,Cluster 2,Turdus_philomelos,866.1301209780847,0.985358499406239,879,0.01666651907558591,7,cold,short-distance,Thrushes,11.3956704897
1,1970s,Cluster 2,Phylloscopus_trochilus,861.5805040194195,0.9801825984293726,879,0.016578973017561078,8,very cold,long-distance,Foliage gleaners,10.4596695622
1,1970s,Cluster 2,Passer_domesticus,859.9174497562599,0.9782906140571789,879,0.016546971676273715,9,medium,sedentary,Passerine seedeaters,12.2628071769
